,Total Confirmed,Total Deaths,Total Recovered_Old,Total Recovered,Total Active,Total Active_Old,Change in Confirmed,Change in Deaths,Change in Recovered_Old,Change in Recovered,Change in Active,Change in Active_Old
2020-01-22,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-01-23,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-01-24,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-01-25,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-01-26,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-01-27,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-01-28,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-01-29,4,0,0,0,4,4,4,0,0,0,4,4.0
2020-01-30,4,0,0,0,4,4,0,0,0,0,0,0.0
2020-01-31,4,0,0,0,4,4,0,0,0,0,0,0.0
2020-02-01,4,0,0,0,4,4,0,0,0,0,0,0.0
2020-02-02,5,0,0,0,5,5,1,0,0,0,1,1.0
2020-02-03,5,0,0,0,5,5,0,0,0,0,0,0.0
2020-02-04,5,0,0,0,5,5,0,0,0,0,0,0.0
2020-02-05,5,0,0,0,5,5,0,0,0,0,0,0.0
2020-02-06,5,0,0,0,5,5,0,0,0,0,0,0.0
2020-02-07,5,0,0,0,5,5,0,0,0,0,0,0.0
2020-02-08,7,0,0,0,7,7,2,0,0,0,2,2.0
2020-02-09,7,0,0,0,7,7,0,0,0,0,0,0.0
2020-02-10,8,0,0,0,8,8,1,0,0,0,1,1.0
2020-02-11,8,0,0,0,8,8,0,0,0,0,0,0.0
2020-02-12,8,0,1,0,8,7,0,0,1,0,0,-1.0
2020-02-13,8,0,1,0,8,7,0,0,0,0,0,0.0
2020-02-14,8,0,1,0,8,7,0,0,0,0,0,0.0
2020-02-15,8,0,3,0,8,5,0,0,2,0,0,-2.0
2020-02-16,9,0,4,0,9,5,1,0,1,0,1,0.0
2020-02-17,9,0,4,0,9,5,0,0,0,0,0,0.0
2020-02-18,9,0,4,0,9,5,0,0,0,0,0,0.0
2020-02-19,9,0,4,0,9,5,0,0,0,0,0,0.0
2020-02-20,9,0,4,0,9,5,0,0,0,0,0,0.0
2020-02-21,9,0,4,0,9,5,0,0,0,0,0,0.0
2020-02-22,13,0,4,0,13,9,4,0,0,0,4,4.0
2020-02-23,13,0,4,0,13,9,0,0,0,0,0,0.0
2020-02-24,13,0,4,0,13,9,0,0,0,0,0,0.0
2020-02-25,13,0,4,0,13,9,0,0,0,0,0,0.0
2020-02-26,13,0,4,0,13,9,0,0,0,0,0,0.0
2020-02-27,13,0,4,0,13,9,0,0,0,0,0,0.0
2020-02-28,19,0,5,0,19,14,6,0,1,0,6,5.0
2020-02-29,21,0,5,0,21,16,2,0,0,0,2,2.0
2020-03-01,21,0,5,0,21,16,0,0,0,0,0,0.0
2020-03-02,21,0,5,0,21,16,0,0,0,0,0,0.0
2020-03-03,27,0,5,0,27,22,6,0,0,0,6,6.0
2020-03-04,27,0,5,0,27,22,0,0,0,0,0,0.0
2020-03-05,29,0,5,0,29,24,2,0,0,0,2,2.0
2020-03-06,29,0,5,0,29,24,0,0,0,0,0,0.0
2020-03-07,45,0,7,0,45,38,16,0,2,0,16,14.0
2020-03-08,45,0,7,0,45,38,0,0,0,0,0,0.0
2020-03-09,45,0,7,0,45,38,0,0,0,0,0,0.0
2020-03-10,74,0,12,0,74,62,29,0,5,0,29,24.0
2020-03-11,74,0,17,1,73,57,0,0,5,1,-1,-5.0
2020-03-12,85,0,17,2,83,68,11,0,0,1,10,11.0
2020-03-13,85,0,17,3,82,68,0,0,0,1,-1,0.0
2020-03-14,85,0,17,4,81,68,0,0,0,1,-1,0.0
2020-03-15,98,0,23,5,93,75,13,0,6,1,12,7.0
2020-03-16,98,0,23,6,92,75,0,0,0,1,-1,0.0
2020-03-17,98,0,23,8,90,75,0,0,0,2,-2,0.0
2020-03-18,113,0,26,10,103,87,15,0,3,2,13,12.0
2020-03-19,140,0,31,12,128,109,27,0,5,2,25,22.0
2020-03-20,140,2,31,14,124,107,0,2,0,2,-4,-2.0
2020-03-21,153,2,38,17,134,113,13,0,7,3,10,6.0
2020-03-22,153,2,38,20,131,113,0,0,0,3,-3,0.0
2020-03-23,198,2,38,23,173,158,45,0,0,3,42,45.0
2020-03-24,248,2,45,27,219,201,50,0,7,4,46,43.0
2020-03-25,333,2,52,31,300,279,85,0,7,4,81,78.0
2020-03-26,333,2,52,35,296,279,0,0,0,4,-4,0.0
2020-03-27,405,2,52,40,363,351,72,0,0,5,67,72.0
2020-03-28,468,2,52,45,421,414,63,0,0,5,58,63.0
