,Total Confirmed,Total Deaths,Total Recovered_Old,Total Recovered,Total Active,Total Active_Old,Change in Confirmed,Change in Deaths,Change in Recovered_Old,Change in Recovered,Change in Active,Change in Active_Old
2020-01-22,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-01-23,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-01-24,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-01-25,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-01-26,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-01-27,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-01-28,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-01-29,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-01-30,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-01-31,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-01,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-02,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-03,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-04,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-05,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-06,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-07,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-08,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-09,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-10,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-11,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-12,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-13,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-14,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-15,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-16,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-17,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-18,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-19,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-20,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-21,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-22,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-23,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-24,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-25,2,0,0,0,2,2,2,0,0,0,2,2.0
2020-02-26,2,0,0,0,2,2,0,0,0,0,0,0.0
2020-02-27,3,0,0,0,3,3,1,0,0,0,1,1.0
2020-02-28,3,0,0,0,3,3,0,0,0,0,0,0.0
2020-02-29,9,0,0,0,9,9,6,0,0,0,6,6.0
2020-03-01,14,0,0,0,14,14,5,0,0,0,5,5.0
2020-03-02,18,0,0,0,18,18,4,0,0,0,4,4.0
2020-03-03,21,0,0,1,20,21,3,0,0,1,2,3.0
2020-03-04,29,0,0,2,27,29,8,0,0,1,7,8.0
2020-03-05,41,0,0,4,37,41,12,0,0,2,10,12.0
2020-03-06,55,0,0,6,49,55,14,0,0,2,12,14.0
2020-03-07,79,0,0,9,70,79,24,0,0,3,21,24.0
2020-03-08,104,0,0,13,91,104,25,0,0,4,21,25.0
2020-03-09,131,0,2,18,113,129,27,0,2,5,22,25.0
2020-03-10,182,0,4,24,158,178,51,0,2,6,45,49.0
2020-03-11,246,0,4,31,215,242,64,0,0,7,57,64.0
2020-03-12,302,1,4,40,261,297,56,1,0,9,46,55.0
2020-03-13,504,1,6,51,452,497,202,0,2,11,191,200.0
2020-03-14,655,1,6,64,590,648,151,0,0,13,138,151.0
2020-03-15,860,1,6,80,779,853,205,0,0,16,189,205.0
2020-03-16,1018,3,6,98,917,1009,158,2,0,18,138,156.0
2020-03-17,1332,3,1,120,1209,1328,314,0,-5,22,292,319.0
2020-03-18,1646,4,9,146,1496,1633,314,1,8,26,287,305.0
2020-03-19,2013,6,9,176,1831,1998,367,2,0,30,335,365.0
2020-03-20,2388,6,9,211,2171,2373,375,0,0,35,340,375.0
2020-03-21,2814,8,9,252,2554,2797,426,2,0,41,383,424.0
2020-03-22,3582,16,9,299,3267,3557,768,8,0,47,713,760.0
2020-03-23,4474,21,9,352,4101,4444,892,5,0,53,834,887.0
2020-03-24,5283,28,9,413,4842,5246,809,7,0,61,741,802.0
2020-03-25,5588,30,9,482,5076,5549,305,2,0,69,234,303.0
2020-03-26,6909,49,112,560,6300,6748,1321,19,103,78,1224,1199.0
2020-03-27,7657,58,225,647,6952,7374,748,9,113,87,652,626.0
2020-03-28,8271,68,225,744,7459,7978,614,10,0,97,507,604.0
