,Total Confirmed,Total Deaths,Total Recovered,Total Recovered_Est,Total Active_Est,Total Active,Daily New Confirmed,Daily New Deaths,Daily New Recovered,Daily New Recovered_Est,Daily New Active_Est,Daily New Active,Total Mortality_Rate,Total Recovery_Rate,Total Activity_Rate,Change in Mortality_Rate,Change in Recovery_Rate,Change in Activity_Rate
2020-01-22,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-23,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-24,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-25,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-26,1,0,0,0,1,1,1,0,0,0,1,1,0.0,0.0,100.0,0.0,0.0,100.0
2020-01-27,1,0,0,0,1,1,0,0,0,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0
2020-01-28,2,0,0,0,2,2,1,0,0,0,1,1,0.0,0.0,100.0,0.0,0.0,0.0
2020-01-29,2,0,0,0,2,2,0,0,0,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0
2020-01-30,2,0,0,0,2,2,0,0,0,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0
2020-01-31,4,0,0,0,4,4,2,0,0,0,2,2,0.0,0.0,100.0,0.0,0.0,0.0
2020-02-01,4,0,0,0,4,4,0,0,0,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0
2020-02-02,4,0,0,0,4,4,0,0,0,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0
2020-02-03,4,0,0,0,4,4,0,0,0,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0
2020-02-04,4,0,0,0,4,4,0,0,0,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0
2020-02-05,5,0,0,0,5,5,1,0,0,0,1,1,0.0,0.0,100.0,0.0,0.0,0.0
2020-02-06,5,0,0,0,5,5,0,0,0,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0
2020-02-07,7,0,0,0,7,7,2,0,0,0,2,2,0.0,0.0,100.0,0.0,0.0,0.0
2020-02-08,7,0,0,0,7,7,0,0,0,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0
2020-02-09,7,0,0,0,7,7,0,0,0,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0
2020-02-10,7,0,0,0,7,7,0,0,0,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0
2020-02-11,7,0,0,0,7,7,0,0,0,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0
2020-02-12,7,0,1,0,7,6,0,0,1,0,0,-1,0.0,14.29,85.71,0.0,14.29,-14.29
2020-02-13,7,0,1,0,7,6,0,0,0,0,0,0,0.0,14.29,85.71,0.0,0.0,0.0
2020-02-14,7,0,1,0,7,6,0,0,0,0,0,0,0.0,14.29,85.71,0.0,0.0,0.0
2020-02-15,7,0,1,0,7,6,0,0,0,0,0,0,0.0,14.29,85.71,0.0,0.0,0.0
2020-02-16,7,0,1,0,7,6,0,0,0,0,0,0,0.0,14.29,85.71,0.0,0.0,0.0
2020-02-17,8,0,1,0,8,7,1,0,0,0,1,1,0.0,12.5,87.5,0.0,-1.78,1.79
2020-02-18,8,0,1,0,8,7,0,0,0,0,0,0,0.0,12.5,87.5,0.0,0.0,0.0
2020-02-19,8,0,1,0,8,7,0,0,0,0,0,0,0.0,12.5,87.5,0.0,0.0,0.0
2020-02-20,8,0,1,0,8,7,0,0,0,0,0,0,0.0,12.5,87.5,0.0,0.0,0.0
2020-02-21,9,0,3,0,9,6,1,0,2,0,1,-1,0.0,33.33,66.67,0.0,20.83,-20.83
2020-02-22,9,0,3,0,9,6,0,0,0,0,0,0,0.0,33.33,66.67,0.0,0.0,0.0
2020-02-23,9,0,3,0,9,6,0,0,0,0,0,0,0.0,33.33,66.67,0.0,0.0,0.0
2020-02-24,10,0,3,0,10,7,1,0,0,0,1,1,0.0,30.0,70.0,0.0,-3.32,3.32
2020-02-25,11,0,3,0,11,8,1,0,0,0,1,1,0.0,27.27,72.73,0.0,-2.73,2.73
2020-02-26,11,0,3,0,11,8,0,0,0,0,0,0,0.0,27.27,72.73,0.0,0.0,0.0
2020-02-27,13,0,6,0,13,7,2,0,3,0,2,-1,0.0,46.15,53.85,0.0,18.88,-18.88
2020-02-28,14,0,6,0,14,8,1,0,0,0,1,1,0.0,42.86,57.14,0.0,-3.28,3.28
2020-02-29,20,0,6,0,20,14,6,0,0,0,6,6,0.0,30.0,70.0,0.0,-12.86,12.86
2020-03-01,24,0,6,0,24,18,4,0,0,0,4,4,0.0,25.0,75.0,0.0,-5.0,5.0
2020-03-02,27,0,6,0,27,21,3,0,0,0,3,3,0.0,22.22,77.78,0.0,-2.78,2.78
2020-03-03,30,0,6,0,30,24,3,0,0,0,3,3,0.0,20.0,80.0,0.0,-2.21,2.21
2020-03-04,33,0,6,0,33,27,3,0,0,0,3,3,0.0,18.18,81.82,0.0,-1.82,1.81
2020-03-05,37,0,6,1,36,31,4,0,0,1,3,4,0.0,16.22,83.78,0.0,-1.96,1.96
2020-03-06,49,0,6,2,47,43,12,0,0,1,11,12,0.0,12.24,87.76,0.0,-3.97,3.98
2020-03-07,54,0,8,3,51,46,5,0,2,1,4,3,0.0,14.81,85.19,0.0,2.57,-2.57
2020-03-08,64,0,8,5,59,56,10,0,0,2,8,10,0.0,12.5,87.5,0.0,-2.31,2.31
2020-03-09,77,1,8,7,69,68,13,1,0,2,10,12,1.3,10.39,88.31,1.3,-2.1,0.81
2020-03-10,79,1,8,10,68,70,2,0,0,3,-1,2,1.27,10.13,88.61,-0.03,-0.25,0.29
2020-03-11,108,1,8,13,94,99,29,0,0,3,26,29,0.93,7.41,91.67,-0.34,-2.72,3.06
2020-03-12,117,1,8,17,99,108,9,0,0,4,5,9,0.85,6.84,92.31,-0.08,-0.57,0.64
2020-03-13,193,1,8,22,170,184,76,0,0,5,71,76,0.52,4.15,95.34,-0.32,-2.68,3.03
2020-03-14,198,1,8,29,168,189,5,0,0,7,-2,5,0.51,4.04,95.45,-0.01,-0.11,0.1
2020-03-15,252,1,8,37,214,243,54,0,0,8,46,54,0.4,3.17,96.43,-0.1,-0.87,0.98
2020-03-16,415,4,9,47,364,402,163,3,1,10,150,159,0.96,2.17,96.87,0.55,-1.0,0.43
2020-03-17,478,5,9,59,414,464,63,1,0,12,50,62,1.05,1.88,97.07,0.09,-0.29,0.19
2020-03-18,657,8,9,74,575,640,179,3,0,15,161,176,1.22,1.37,97.41,0.16,-0.5,0.34
2020-03-19,800,9,9,92,699,782,143,1,0,18,124,142,1.12,1.12,97.75,-0.09,-0.25,0.34
2020-03-20,943,12,9,114,817,922,143,3,0,22,118,140,1.27,0.95,97.77,0.14,-0.17,0.01
