,2020-01-22,2020-01-23,2020-01-24,2020-01-25,2020-01-26,2020-01-27,2020-01-28,2020-01-29,2020-01-30,2020-01-31,2020-02-01,2020-02-02,2020-02-03,2020-02-04,2020-02-05,2020-02-06,2020-02-07,2020-02-08,2020-02-09,2020-02-10,2020-02-11,2020-02-12,2020-02-13,2020-02-14,2020-02-15,2020-02-16,2020-02-17,2020-02-18,2020-02-19,2020-02-20,2020-02-21,2020-02-22,2020-02-23,2020-02-24,2020-02-25,2020-02-26,2020-02-27,2020-02-28,2020-02-29,2020-03-01,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20
Total Confirmed,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,2.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,8.0,8.0,8.0,8.0,9.0,9.0,9.0,10.0,11.0,11.0,13.0,14.0,20.0,24.0,27.0,30.0,33.0,37.0,49.0,54.0,64.0,77.0,79.0,108.0,117.0,193.0,198.0,252.0,415.0,478.0,657.0,800.0,943.0,1277.0,1469.0,2088.0,2790.0,3251.0,4042.0,4682.0,5576.0,6280.0,7398.0,8527.0,9560.0,11284.0,12437.0,12978.0,15756.0,16563.0,17872.0,19141.0,20654.0,22059.0,23316.0,24298.0,25679.0,27034.0,28208.0,30808.0,32813.0,34355.0,35632.0,36039.0
Total Deaths,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,5.0,8.0,9.0,12.0,19.0,21.0,25.0,26.0,30.0,38.0,54.0,61.0,64.0,80.0,101.0,109.0,139.0,179.0,218.0,259.0,339.0,375.0,407.0,503.0,557.0,654.0,714.0,779.0,899.0,1006.0,1257.0,1354.0,1399.0,1563.0,1625.0
Total Recovered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,9.0,9.0,9.0,9.0,9.0,10.0,10.0,10.0,110.0,183.0,184.0,256.0,466.0,466.0,466.0,1592.0,1324.0,1735.0,2175.0,2577.0,3012.0,3256.0,3791.0,4154.0,5162.0,5855.0,6589.0,7123.0,7758.0,8210.0,8966.0,9698.0,10545.0,10964.0,11847.0,11852.0
Total Recovered_Est,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,5.0,7.0,10.0,13.0,17.0,22.0,29.0,37.0,47.0,59.0,74.0,92.0,114.0,140.0,171.0,208.0,251.0,302.0,362.0,431.0,511.0,604.0,710.0,832.0,971.0,1129.0,1307.0,1507.0,1731.0,1981.0,2258.0,2564.0,2901.0,3270.0,3673.0,4111.0,4585.0,5096.0,5645.0,6232.0,6857.0,7519.0,8218.0,8953.0
Total Active_Est,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,2.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,8.0,8.0,8.0,8.0,9.0,9.0,9.0,10.0,11.0,11.0,13.0,14.0,20.0,24.0,27.0,30.0,33.0,36.0,47.0,51.0,59.0,69.0,68.0,94.0,99.0,170.0,168.0,214.0,364.0,414.0,575.0,699.0,817.0,1118.0,1277.0,1855.0,2513.0,2919.0,3642.0,4197.0,5004.0,5612.0,6608.0,7594.0,8480.0,10016.0,10951.0,11253.0,13766.0,14243.0,15239.0,16170.0,17250.0,18232.0,18989.0,19473.0,20315.0,21039.0,21557.0,23319.0,24602.0,25437.0,25851.0,25461.0
Total Active,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,2.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,7.0,7.0,7.0,7.0,7.0,6.0,6.0,6.0,6.0,6.0,7.0,7.0,7.0,7.0,6.0,6.0,6.0,7.0,8.0,8.0,7.0,8.0,14.0,18.0,21.0,24.0,27.0,31.0,43.0,46.0,56.0,68.0,70.0,99.0,108.0,184.0,189.0,243.0,402.0,464.0,640.0,782.0,922.0,1248.0,1438.0,2053.0,2654.0,3038.0,3820.0,4372.0,5049.0,5750.0,6852.0,6834.0,8127.0,9410.0,10083.0,10183.0,12485.0,12968.0,13706.0,14580.0,14989.0,15647.0,16073.0,16461.0,17142.0,17925.0,18236.0,19853.0,20914.0,21992.0,22222.0,22562.0
Daily New Confirmed,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,2.0,1.0,6.0,4.0,3.0,3.0,3.0,4.0,12.0,5.0,10.0,13.0,2.0,29.0,9.0,76.0,5.0,54.0,163.0,63.0,179.0,143.0,143.0,334.0,192.0,619.0,702.0,461.0,791.0,640.0,894.0,704.0,1118.0,1129.0,1033.0,1724.0,1153.0,541.0,2778.0,807.0,1309.0,1269.0,1513.0,1405.0,1257.0,982.0,1381.0,1355.0,1174.0,2600.0,2005.0,1542.0,1277.0,407.0
Daily New Deaths,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,3.0,1.0,3.0,7.0,2.0,4.0,1.0,4.0,8.0,16.0,7.0,3.0,16.0,21.0,8.0,30.0,40.0,39.0,41.0,80.0,36.0,32.0,96.0,54.0,97.0,60.0,65.0,120.0,107.0,251.0,97.0,45.0,164.0,62.0
Daily New Recovered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,100.0,73.0,1.0,72.0,210.0,0.0,0.0,1126.0,-268.0,411.0,440.0,402.0,435.0,244.0,535.0,363.0,1008.0,693.0,734.0,534.0,635.0,452.0,756.0,732.0,847.0,419.0,883.0,5.0
Daily New Recovered_Est,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,2.0,3.0,3.0,4.0,5.0,7.0,8.0,10.0,12.0,15.0,18.0,22.0,26.0,31.0,37.0,43.0,51.0,60.0,69.0,80.0,93.0,106.0,122.0,139.0,158.0,178.0,200.0,224.0,250.0,277.0,306.0,337.0,369.0,403.0,438.0,474.0,511.0,549.0,587.0,625.0,662.0,699.0,735.0
