,Total Confirmed,Total Deaths,Total Recovered,Total Recovered_Est,Total Active_Est,Total Active,Daily New Confirmed,Daily New Deaths,Daily New Recovered,Daily New Recovered_Est,Daily New Active_Est,Daily New Active,Total Mortality_Rate,Total Recovery_Rate,Total Activity_Rate,Change in Mortality_Rate,Change in Recovery_Rate,Change in Activity_Rate
2020-01-22,548,17,28,19,512,503,548,17,28,19,512,503,3.1,5.11,91.79,3.1,5.11,91.79
2020-01-23,643,18,30,43,582,595,95,1,2,24,70,92,2.8,4.67,92.53,-0.3,-0.44,0.73
2020-01-24,920,26,36,74,820,858,277,8,6,31,238,263,2.83,3.91,93.26,0.03,-0.75,0.73
2020-01-25,1406,42,39,113,1251,1325,486,16,3,39,431,467,2.99,2.77,94.24,0.16,-1.14,0.97
2020-01-26,2075,56,49,163,1856,1970,669,14,10,50,605,645,2.7,2.36,94.94,-0.29,-0.41,0.7
2020-01-27,2877,82,58,225,2570,2737,802,26,9,62,714,767,2.85,2.02,95.13,0.14,-0.33,0.18
2020-01-28,5509,131,101,304,5074,5277,2632,49,43,79,2504,2540,2.38,1.83,95.79,-0.47,-0.18,0.66
2020-01-29,6087,133,120,400,5554,5834,578,2,19,96,480,557,2.18,1.97,95.84,-0.19,0.13,0.04
2020-01-30,8141,171,135,517,7453,7835,2054,38,15,117,1899,2001,2.1,1.66,96.24,-0.08,-0.31,0.39
2020-01-31,9802,213,214,658,8931,9375,1661,42,79,141,1478,1540,2.17,2.18,95.64,0.06,0.52,-0.59
2020-02-01,11891,259,275,829,10803,11357,2089,46,61,171,1872,1982,2.18,2.31,95.51,0.01,0.12,-0.12
2020-02-02,16630,361,463,1030,15239,15806,4739,102,188,201,4436,4449,2.17,2.78,95.05,-0.01,0.46,-0.46
2020-02-03,19716,425,614,1265,18026,18677,3086,64,151,235,2787,2871,2.16,3.11,94.73,0.0,0.33,-0.31
2020-02-04,23707,491,843,1540,21676,22373,3991,66,229,275,3650,3696,2.07,3.56,94.37,-0.09,0.45,-0.35
2020-02-05,27440,563,1115,1860,25017,25762,3733,72,272,320,3341,3389,2.05,4.06,93.88,-0.02,0.49,-0.49
2020-02-06,30587,633,1477,2226,27728,28477,3147,70,362,366,2711,2715,2.07,4.83,93.1,0.02,0.77,-0.78
2020-02-07,34110,718,1999,2647,30745,31393,3523,85,522,421,3017,2916,2.1,5.86,92.03,0.03,1.03,-1.06
2020-02-08,36814,805,2596,3125,32884,33413,2704,87,597,478,2139,2020,2.19,7.05,90.76,0.08,1.18,-1.26
2020-02-09,39829,905,3219,3670,35254,35705,3015,100,623,545,2370,2292,2.27,8.08,89.65,0.08,1.03,-1.1
2020-02-10,42354,1012,3918,4285,37057,37424,2525,107,699,615,1803,1719,2.39,9.25,88.36,0.12,1.17,-1.29
2020-02-11,44386,1112,4636,4971,38303,38638,2032,100,718,686,1246,1214,2.51,10.44,87.05,0.11,1.18,-1.31
2020-02-12,44759,1117,5082,5737,37905,38560,373,5,446,766,-398,-78,2.5,11.35,86.15,0.0,0.91,-0.89
2020-02-13,59895,1369,6217,6589,51937,52309,15136,252,1135,852,14032,13749,2.29,10.38,87.33,-0.2,-0.96,1.17
2020-02-14,66358,1521,7977,7527,57310,56860,6463,152,1760,938,5373,4551,2.29,12.02,85.69,0.0,1.63,-1.64
2020-02-15,68413,1663,9298,8556,58194,57452,2055,142,1321,1029,884,592,2.43,13.59,83.98,0.14,1.57,-1.7
2020-02-16,70513,1766,10755,9678,59069,57992,2100,103,1457,1122,875,540,2.5,15.25,82.24,0.06,1.66,-1.74
2020-02-17,72434,1864,12462,10899,59671,58108,1921,98,1707,1221,602,116,2.57,17.2,80.22,0.06,1.94,-2.01
2020-02-18,74211,2003,14206,12214,59994,58002,1777,139,1744,1315,323,-106,2.7,19.14,78.16,0.13,1.94,-2.06
2020-02-19,74619,2116,15962,13629,58874,56541,408,113,1756,1415,-1120,-1461,2.84,21.39,75.77,0.13,2.25,-2.39
2020-02-20,75077,2238,18014,15141,57698,54825,458,122,2052,1512,-1176,-1716,2.98,23.99,73.03,0.14,2.59,-2.73
2020-02-21,75550,2238,18704,16745,56567,54608,473,0,690,1604,-1131,-217,2.96,24.76,72.28,-0.02,0.77,-0.75
2020-02-22,77001,2443,22699,18438,56120,51859,1451,205,3995,1693,-447,-2749,3.17,29.48,67.35,0.2,4.71,-4.93
2020-02-23,77022,2445,23187,20224,54353,51390,21,2,488,1786,-1767,-469,3.17,30.1,66.72,0.0,0.62,-0.62
2020-02-24,77241,2595,25015,22092,52554,49631,219,150,1828,1868,-1799,-1759,3.36,32.39,64.25,0.18,2.28,-2.46
2020-02-25,77754,2665,27676,24039,51050,47413,513,70,2661,1947,-1504,-2218,3.43,35.59,60.98,0.07,3.2,-3.27
2020-02-26,78166,2717,30084,26057,49392,45365,412,52,2408,2018,-1658,-2048,3.48,38.49,58.04,0.04,2.89,-2.93
2020-02-27,78600,2746,32930,28136,47718,42924,434,29,2846,2079,-1674,-2441,3.49,41.9,54.61,0.01,3.4,-3.43
2020-02-28,78928,2790,36329,30269,45869,39809,328,44,3399,2133,-1849,-3115,3.53,46.03,50.44,0.03,4.13,-4.17
2020-02-29,79356,2837,39320,32449,44070,37199,428,47,2991,2180,-1799,-2610,3.58,49.55,46.88,0.05,3.51,-3.55
2020-03-01,79932,2872,42162,34662,42398,34898,576,35,2842,2213,-1672,-2301,3.59,52.75,43.66,0.0,3.2,-3.22
2020-03-02,80136,2914,44854,36898,40324,32368,204,42,2692,2236,-2074,-2530,3.64,55.97,40.39,0.05,3.21,-3.26
2020-03-03,80261,2947,47450,39146,38168,29864,125,33,2596,2248,-2156,-2504,3.67,59.12,37.21,0.02,3.14,-3.18
2020-03-04,80386,2983,50001,41396,36007,27402,125,36,2551,2250,-2161,-2462,3.71,62.2,34.09,0.04,3.08,-3.11
2020-03-05,80537,3015,52292,43636,33886,25230,151,32,2291,2240,-2121,-2172,3.74,64.93,31.33,0.03,2.73,-2.76
2020-03-06,80690,3044,53944,45854,31792,23702,153,29,1652,2218,-2094,-1528,3.77,66.85,29.37,0.02,1.91,-1.95
2020-03-07,80770,3072,55539,48040,29658,22159,80,28,1595,2186,-2134,-1543,3.8,68.76,27.43,0.02,1.91,-1.94
2020-03-08,80823,3100,57388,50182,27541,20335,53,28,1849,2142,-2117,-1824,3.84,71.0,25.16,0.04,2.23,-2.26
2020-03-09,80860,3123,58804,52273,25464,18933,37,23,1416,2091,-2077,-1402,3.86,72.72,23.41,0.02,1.71,-1.75
2020-03-10,80887,3139,60181,54304,23444,17567,27,16,1377,2031,-2020,-1366,3.88,74.4,21.72,0.02,1.68,-1.69
2020-03-11,80921,3161,61644,56263,21497,16116,34,22,1463,1959,-1947,-1451,3.91,76.18,19.92,0.03,1.78,-1.79
2020-03-12,80932,3172,62901,58150,19610,14859,11,11,1257,1887,-1887,-1257,3.92,77.72,18.36,0.0,1.53,-1.56
2020-03-13,80945,3180,64196,59956,17809,13569,13,8,1295,1806,-1801,-1290,3.93,79.31,16.76,0.01,1.59,-1.59
2020-03-14,80977,3193,65660,61672,16112,12124,32,13,1464,1716,-1697,-1445,3.94,81.08,14.97,0.0,1.76,-1.79
2020-03-15,81003,3203,67017,63300,14500,10783,26,10,1357,1628,-1612,-1341,3.95,82.73,13.31,0.01,1.65,-1.66
2020-03-16,81033,3217,67910,64836,12980,9906,30,14,893,1536,-1520,-877,3.97,83.81,12.22,0.02,1.07,-1.08
2020-03-17,81058,3230,68798,66278,11550,9030,25,13,888,1442,-1430,-876,3.98,84.88,11.14,0.0,1.06,-1.08
2020-03-18,81102,3241,69755,67621,10240,8106,44,11,957,1343,-1310,-924,4.0,86.01,9.99,0.02,1.13,-1.15
2020-03-19,81156,3249,70535,68870,9037,7372,54,8,780,1249,-1203,-734,4.0,86.91,9.08,0.0,0.89,-0.91
2020-03-20,81250,3253,71266,70022,7975,6731,94,4,731,1152,-1062,-641,4.0,87.71,8.28,0.0,0.79,-0.8
2020-03-21,81305,3259,71857,71087,6959,6189,55,6,591,1065,-1016,-542,4.01,88.38,7.61,0.0,0.67,-0.66
2020-03-22,81435,3274,72362,72061,6100,5799,130,15,505,974,-859,-390,4.02,88.86,7.12,0.0,0.48,-0.49
2020-03-23,81498,3274,72814,72954,5270,5410,63,0,452,893,-830,-389,4.02,89.34,6.64,0.0,0.48,-0.48
2020-03-24,81591,3281,73280,73762,4548,5030,93,7,466,808,-722,-380,4.02,89.81,6.16,0.0,0.46,-0.47
2020-03-25,81661,3285,73773,74497,3879,4603,70,4,493,735,-669,-427,4.02,90.34,5.64,0.0,0.53,-0.52
2020-03-26,81782,3291,74181,75161,3330,4310,121,6,408,664,-549,-293,4.02,90.71,5.27,0.0,0.36,-0.37
2020-03-27,81897,3296,74720,75757,2844,3881,115,5,539,596,-486,-429,4.02,91.24,4.74,0.0,0.53,-0.52
2020-03-28,81999,3299,75100,76292,2408,3600,102,3,380,535,-436,-281,4.02,91.59,4.39,0.0,0.35,-0.35
2020-03-29,82122,3304,75582,76772,2046,3236,123,5,482,480,-362,-364,4.02,92.04,3.94,0.0,0.45,-0.44
2020-03-30,82198,3308,75923,77197,1693,2967,76,4,341,425,-353,-269,4.02,92.37,3.61,0.0,0.32,-0.33
2020-03-31,82279,3309,76206,77576,1394,2764,81,1,283,379,-299,-203,4.02,92.62,3.36,0.0,0.25,-0.25
2020-04-01,82361,3316,76405,77913,1132,2640,82,7,199,337,-262,-124,4.03,92.77,3.21,0.01,0.14,-0.14
2020-04-02,82432,3322,76565,78215,895,2545,71,6,160,302,-237,-95,4.03,92.88,3.09,0.0,0.1,-0.12
2020-04-03,82511,3326,76760,78482,703,2425,79,4,195,267,-192,-120,4.03,93.03,2.94,0.0,0.15,-0.14
2020-04-04,82543,3330,76946,78717,496,2267,32,4,186,235,-207,-158,4.03,93.22,2.75,0.0,0.18,-0.18
2020-04-05,82602,3333,77207,78926,343,2062,59,3,261,209,-153,-205,4.04,93.47,2.5,0.0,0.25,-0.25
2020-04-06,82665,3335,77310,79111,219,2020,63,2,103,185,-124,-42,4.03,93.52,2.44,0.0,0.04,-0.06
2020-04-07,82718,3335,77410,79275,108,1973,53,0,100,164,-111,-47,4.03,93.58,2.39,0.0,0.06,-0.04
2020-04-08,82809,3337,77567,79423,49,1905,91,2,157,148,-59,-68,4.03,93.67,2.3,0.0,0.09,-0.09
2020-04-09,82883,3339,77679,79559,-15,1865,74,2,112,136,-64,-40,4.03,93.72,2.25,0.0,0.04,-0.04
