,2020-01-22,2020-01-23,2020-01-24,2020-01-25,2020-01-26,2020-01-27,2020-01-28,2020-01-29,2020-01-30,2020-01-31,2020-02-01,2020-02-02,2020-02-03,2020-02-04,2020-02-05,2020-02-06,2020-02-07,2020-02-08,2020-02-09,2020-02-10,2020-02-11,2020-02-12,2020-02-13,2020-02-14,2020-02-15,2020-02-16,2020-02-17,2020-02-18,2020-02-19,2020-02-20,2020-02-21,2020-02-22,2020-02-23,2020-02-24,2020-02-25,2020-02-26,2020-02-27,2020-02-28,2020-02-29,2020-03-01,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20
Total Confirmed,548.0,643.0,920.0,1406.0,2075.0,2877.0,5509.0,6087.0,8141.0,9802.0,11891.0,16630.0,19716.0,23707.0,27440.0,30587.0,34110.0,36814.0,39829.0,42354.0,44386.0,44759.0,59895.0,66358.0,68413.0,70513.0,72434.0,74211.0,74619.0,75077.0,75550.0,77001.0,77022.0,77241.0,77754.0,78166.0,78600.0,78928.0,79356.0,79932.0,80136.0,80261.0,80386.0,80537.0,80690.0,80770.0,80823.0,80860.0,80887.0,80921.0,80932.0,80945.0,80977.0,81003.0,81033.0,81058.0,81102.0,81156.0,81250.0,81305.0,81435.0,81498.0,81591.0,81661.0,81782.0,81897.0,81999.0,82122.0,82198.0,82279.0,82361.0,82432.0,82511.0,82543.0,82602.0,82665.0,82718.0,82809.0,82883.0,82941.0,83014.0,83134.0,83213.0,83306.0,83356.0,83403.0,83760.0,83787.0,83805.0,83817.0
Total Deaths,17.0,18.0,26.0,42.0,56.0,82.0,131.0,133.0,171.0,213.0,259.0,361.0,425.0,491.0,563.0,633.0,718.0,805.0,905.0,1012.0,1112.0,1117.0,1369.0,1521.0,1663.0,1766.0,1864.0,2003.0,2116.0,2238.0,2238.0,2443.0,2445.0,2595.0,2665.0,2717.0,2746.0,2790.0,2837.0,2872.0,2914.0,2947.0,2983.0,3015.0,3044.0,3072.0,3100.0,3123.0,3139.0,3161.0,3172.0,3180.0,3193.0,3203.0,3217.0,3230.0,3241.0,3249.0,3253.0,3259.0,3274.0,3274.0,3281.0,3285.0,3291.0,3296.0,3299.0,3304.0,3308.0,3309.0,3316.0,3322.0,3326.0,3330.0,3333.0,3335.0,3335.0,3337.0,3339.0,3340.0,3343.0,3343.0,3345.0,3345.0,3346.0,3346.0,4636.0,4636.0,4636.0,4636.0
Total Recovered,28.0,30.0,36.0,39.0,49.0,58.0,101.0,120.0,135.0,214.0,275.0,463.0,614.0,843.0,1115.0,1477.0,1999.0,2596.0,3219.0,3918.0,4636.0,5082.0,6217.0,7977.0,9298.0,10755.0,12462.0,14206.0,15962.0,18014.0,18704.0,22699.0,23187.0,25015.0,27676.0,30084.0,32930.0,36329.0,39320.0,42162.0,44854.0,47450.0,50001.0,52292.0,53944.0,55539.0,57388.0,58804.0,60181.0,61644.0,62901.0,64196.0,65660.0,67017.0,67910.0,68798.0,69755.0,70535.0,71266.0,71857.0,72362.0,72814.0,73280.0,73773.0,74181.0,74720.0,75100.0,75582.0,75923.0,76206.0,76405.0,76565.0,76760.0,76946.0,77207.0,77310.0,77410.0,77567.0,77679.0,77791.0,77877.0,77956.0,78039.0,78200.0,78311.0,78401.0,77552.0,77614.0,77690.0,77706.0
Total Recovered_Est,19.0,43.0,74.0,113.0,163.0,225.0,304.0,400.0,517.0,658.0,829.0,1030.0,1265.0,1540.0,1860.0,2226.0,2647.0,3125.0,3670.0,4285.0,4971.0,5737.0,6589.0,7527.0,8556.0,9678.0,10899.0,12214.0,13629.0,15141.0,16745.0,18438.0,20224.0,22092.0,24039.0,26057.0,28136.0,30269.0,32449.0,34662.0,36898.0,39146.0,41396.0,43636.0,45854.0,48040.0,50182.0,52273.0,54304.0,56263.0,58150.0,59956.0,61672.0,63300.0,64836.0,66278.0,67621.0,68870.0,70022.0,71087.0,72061.0,72954.0,73762.0,74497.0,75161.0,75757.0,76292.0,76772.0,77197.0,77576.0,77913.0,78215.0,78482.0,78717.0,78926.0,79111.0,79275.0,79423.0,79559.0,79683.0,79797.0,79902.0,79999.0,80091.0,80174.0,80253.0,80329.0,80402.0,80471.0,80540.0
Total Active_Est,512.0,582.0,820.0,1251.0,1856.0,2570.0,5074.0,5554.0,7453.0,8931.0,10803.0,15239.0,18026.0,21676.0,25017.0,27728.0,30745.0,32884.0,35254.0,37057.0,38303.0,37905.0,51937.0,57310.0,58194.0,59069.0,59671.0,59994.0,58874.0,57698.0,56567.0,56120.0,54353.0,52554.0,51050.0,49392.0,47718.0,45869.0,44070.0,42398.0,40324.0,38168.0,36007.0,33886.0,31792.0,29658.0,27541.0,25464.0,23444.0,21497.0,19610.0,17809.0,16112.0,14500.0,12980.0,11550.0,10240.0,9037.0,7975.0,6959.0,6100.0,5270.0,4548.0,3879.0,3330.0,2844.0,2408.0,2046.0,1693.0,1394.0,1132.0,895.0,703.0,496.0,343.0,219.0,108.0,49.0,-15.0,-82.0,-126.0,-111.0,-131.0,-130.0,-164.0,-196.0,-1205.0,-1251.0,-1302.0,-1359.0
Total Active,503.0,595.0,858.0,1325.0,1970.0,2737.0,5277.0,5834.0,7835.0,9375.0,11357.0,15806.0,18677.0,22373.0,25762.0,28477.0,31393.0,33413.0,35705.0,37424.0,38638.0,38560.0,52309.0,56860.0,57452.0,57992.0,58108.0,58002.0,56541.0,54825.0,54608.0,51859.0,51390.0,49631.0,47413.0,45365.0,42924.0,39809.0,37199.0,34898.0,32368.0,29864.0,27402.0,25230.0,23702.0,22159.0,20335.0,18933.0,17567.0,16116.0,14859.0,13569.0,12124.0,10783.0,9906.0,9030.0,8106.0,7372.0,6731.0,6189.0,5799.0,5410.0,5030.0,4603.0,4310.0,3881.0,3600.0,3236.0,2967.0,2764.0,2640.0,2545.0,2425.0,2267.0,2062.0,2020.0,1973.0,1905.0,1865.0,1810.0,1794.0,1835.0,1829.0,1761.0,1699.0,1656.0,1572.0,1537.0,1479.0,1475.0
Daily New Confirmed,548.0,95.0,277.0,486.0,669.0,802.0,2632.0,578.0,2054.0,1661.0,2089.0,4739.0,3086.0,3991.0,3733.0,3147.0,3523.0,2704.0,3015.0,2525.0,2032.0,373.0,15136.0,6463.0,2055.0,2100.0,1921.0,1777.0,408.0,458.0,473.0,1451.0,21.0,219.0,513.0,412.0,434.0,328.0,428.0,576.0,204.0,125.0,125.0,151.0,153.0,80.0,53.0,37.0,27.0,34.0,11.0,13.0,32.0,26.0,30.0,25.0,44.0,54.0,94.0,55.0,130.0,63.0,93.0,70.0,121.0,115.0,102.0,123.0,76.0,81.0,82.0,71.0,79.0,32.0,59.0,63.0,53.0,91.0,74.0,58.0,73.0,120.0,79.0,93.0,50.0,47.0,357.0,27.0,18.0,12.0
Daily New Deaths,17.0,1.0,8.0,16.0,14.0,26.0,49.0,2.0,38.0,42.0,46.0,102.0,64.0,66.0,72.0,70.0,85.0,87.0,100.0,107.0,100.0,5.0,252.0,152.0,142.0,103.0,98.0,139.0,113.0,122.0,0.0,205.0,2.0,150.0,70.0,52.0,29.0,44.0,47.0,35.0,42.0,33.0,36.0,32.0,29.0,28.0,28.0,23.0,16.0,22.0,11.0,8.0,13.0,10.0,14.0,13.0,11.0,8.0,4.0,6.0,15.0,0.0,7.0,4.0,6.0,5.0,3.0,5.0,4.0,1.0,7.0,6.0,4.0,4.0,3.0,2.0,0.0,2.0,2.0,1.0,3.0,0.0,2.0,0.0,1.0,0.0,1290.0,0.0,0.0,0.0
Daily New Recovered,28.0,2.0,6.0,3.0,10.0,9.0,43.0,19.0,15.0,79.0,61.0,188.0,151.0,229.0,272.0,362.0,522.0,597.0,623.0,699.0,718.0,446.0,1135.0,1760.0,1321.0,1457.0,1707.0,1744.0,1756.0,2052.0,690.0,3995.0,488.0,1828.0,2661.0,2408.0,2846.0,3399.0,2991.0,2842.0,2692.0,2596.0,2551.0,2291.0,1652.0,1595.0,1849.0,1416.0,1377.0,1463.0,1257.0,1295.0,1464.0,1357.0,893.0,888.0,957.0,780.0,731.0,591.0,505.0,452.0,466.0,493.0,408.0,539.0,380.0,482.0,341.0,283.0,199.0,160.0,195.0,186.0,261.0,103.0,100.0,157.0,112.0,112.0,86.0,79.0,83.0,161.0,111.0,90.0,-849.0,62.0,76.0,16.0
Daily New Recovered_Est,19.0,24.0,31.0,39.0,50.0,62.0,79.0,96.0,117.0,141.0,171.0,201.0,235.0,275.0,320.0,366.0,421.0,478.0,545.0,615.0,686.0,766.0,852.0,938.0,1029.0,1122.0,1221.0,1315.0,1415.0,1512.0,1604.0,1693.0,1786.0,1868.0,1947.0,2018.0,2079.0,2133.0,2180.0,2213.0,2236.0,2248.0,2250.0,2240.0,2218.0,2186.0,2142.0,2091.0,2031.0,1959.0,1887.0,1806.0,1716.0,1628.0,1536.0,1442.0,1343.0,1249.0,1152.0,1065.0,974.0,893.0,808.0,735.0,664.0,596.0,535.0,480.0,425.0,379.0,337.0,302.0,267.0,235.0,209.0,185.0,164.0,148.0,136.0,124.0,114.0,105.0,97.0,92.0,83.0,79.0,76.0,73.0,69.0,69.0
