,2020-01-22,2020-01-23,2020-01-24,2020-01-25,2020-01-26,2020-01-27,2020-01-28,2020-01-29,2020-01-30,2020-01-31,2020-02-01,2020-02-02,2020-02-03,2020-02-04,2020-02-05,2020-02-06,2020-02-07,2020-02-08,2020-02-09,2020-02-10,2020-02-11,2020-02-12,2020-02-13,2020-02-14,2020-02-15,2020-02-16,2020-02-17,2020-02-18,2020-02-19,2020-02-20,2020-02-21,2020-02-22,2020-02-23,2020-02-24,2020-02-25,2020-02-26,2020-02-27,2020-02-28,2020-02-29,2020-03-01,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20
Total Confirmed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,3.0,9.0,9.0,13.0,22.0,34.0,54.0,65.0,93.0,102.0,128.0,196.0,231.0,277.0,378.0,470.0,491.0,539.0,608.0,702.0,798.0,906.0,1065.0,1161.0,1267.0,1406.0,1485.0,1579.0,1780.0,2054.0,2223.0,2473.0,2709.0,2776.0,2852.0,2979.0,3105.0,3233.0,3439.0,3439.0,3792.0,3792.0
Total Deaths,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,3.0,4.0,6.0,6.0,6.0,10.0,12.0,16.0,17.0,19.0,25.0,32.0,35.0,46.0,50.0,54.0,69.0,80.0,100.0,109.0,112.0,127.0,131.0,144.0,153.0,153.0,179.0,179.0
Total Recovered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,6.0,8.0,8.0,10.0,10.0,10.0,15.0,31.0,39.0,55.0,55.0,85.0,88.0,88.0,100.0,123.0,174.0,197.0,214.0,270.0,319.0,354.0,452.0,550.0,634.0,634.0,711.0,711.0
Total Recovered_Est,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,4.0,6.0,8.0,11.0,14.0,18.0,23.0,29.0,35.0,43.0,52.0,62.0,74.0,87.0,102.0,119.0,138.0,160.0,184.0,211.0,241.0,274.0,310.0,350.0,393.0,440.0,490.0,544.0,602.0,664.0,730.0,800.0,874.0,951.0
Total Active_Est,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,3.0,9.0,9.0,13.0,22.0,33.0,52.0,62.0,89.0,96.0,120.0,185.0,215.0,256.0,352.0,437.0,450.0,490.0,550.0,630.0,712.0,803.0,946.0,1023.0,1104.0,1214.0,1266.0,1322.0,1489.0,1726.0,1844.0,2043.0,2216.0,2227.0,2250.0,2308.0,2372.0,2425.0,2556.0,2486.0,2739.0,2662.0
Total Active,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,3.0,9.0,9.0,13.0,22.0,34.0,54.0,64.0,92.0,101.0,127.0,195.0,226.0,271.0,369.0,458.0,477.0,523.0,592.0,682.0,771.0,859.0,1009.0,1087.0,1187.0,1289.0,1362.0,1445.0,1630.0,1877.0,1980.0,2196.0,2395.0,2397.0,2421.0,2498.0,2522.0,2539.0,2652.0,2652.0,2902.0,2902.0
Daily New Confirmed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,6.0,0.0,4.0,9.0,12.0,20.0,11.0,28.0,9.0,26.0,68.0,35.0,46.0,101.0,92.0,21.0,48.0,69.0,94.0,96.0,108.0,159.0,96.0,106.0,139.0,79.0,94.0,201.0,274.0,169.0,250.0,236.0,67.0,76.0,127.0,126.0,128.0,206.0,0.0,353.0,0.0
Daily New Deaths,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,2.0,0.0,0.0,4.0,2.0,4.0,1.0,2.0,6.0,7.0,3.0,11.0,4.0,4.0,15.0,11.0,20.0,9.0,3.0,15.0,4.0,13.0,9.0,0.0,26.0,0.0
Daily New Recovered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,2.0,0.0,2.0,0.0,0.0,5.0,16.0,8.0,16.0,0.0,30.0,3.0,0.0,12.0,23.0,51.0,23.0,17.0,56.0,49.0,35.0,98.0,98.0,84.0,0.0,77.0,0.0
Daily New Recovered_Est,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,2.0,3.0,3.0,4.0,5.0,6.0,6.0,8.0,9.0,10.0,12.0,13.0,15.0,17.0,19.0,22.0,24.0,27.0,30.0,33.0,36.0,40.0,43.0,47.0,50.0,54.0,58.0,62.0,66.0,70.0,74.0,77.0
