,2020-01-22,2020-01-23,2020-01-24,2020-01-25,2020-01-26,2020-01-27,2020-01-28,2020-01-29,2020-01-30,2020-01-31,2020-02-01,2020-02-02,2020-02-03,2020-02-04,2020-02-05,2020-02-06,2020-02-07,2020-02-08,2020-02-09,2020-02-10,2020-02-11,2020-02-12,2020-02-13,2020-02-14,2020-02-15,2020-02-16,2020-02-17,2020-02-18,2020-02-19,2020-02-20,2020-02-21,2020-02-22,2020-02-23,2020-02-24,2020-02-25,2020-02-26,2020-02-27,2020-02-28,2020-02-29,2020-03-01,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20
Total Confirmed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,5.0,8.0,12.0,18.0,19.0,31.0,31.0,41.0,91.0,94.0,141.0,189.0,253.0,298.0,396.0,464.0,694.0,833.0,995.0,1120.0,1236.0,1394.0,1654.0,1925.0,2279.0,2631.0,2817.0,3001.0,3308.0,3508.0,3858.0,4091.0,4472.0,4587.0,4822.0,5017.0,5312.0,5569.0,5732.0,5831.0,5991.0,6059.0,6111.0,6216.0,6433.0,6549.0,6606.0,6746.0,6787.0
Total Deaths,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,6.0,9.0,9.0,11.0,16.0,23.0,31.0,39.0,44.0,53.0,59.0,67.0,78.0,88.0,99.0,112.0,119.0,129.0,138.0,143.0,161.0,166.0,169.0,173.0,181.0,186.0,188.0
Total Recovered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,3.0,4.0,6.0,6.0,6.0,10.0,10.0,10.0,11.0,11.0,11.0,25.0,45.0,61.0,67.0,72.0,78.0,96.0,121.0,172.0,233.0,301.0,346.0,411.0,464.0,519.0,642.0,819.0,972.0,1174.0,1227.0,1298.0,1311.0
Total Recovered_Est,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,5.0,7.0,10.0,14.0,19.0,25.0,32.0,40.0,49.0,60.0,73.0,88.0,106.0,127.0,151.0,178.0,209.0,244.0,283.0,327.0,376.0,430.0,490.0,556.0,628.0,707.0,793.0,886.0,986.0,1093.0,1207.0,1328.0,1455.0,1589.0,1729.0,1875.0,2027.0,2184.0,2346.0,2512.0,2681.0
Total Active_Est,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,5.0,8.0,12.0,18.0,19.0,30.0,29.0,38.0,86.0,87.0,131.0,175.0,234.0,273.0,364.0,424.0,645.0,773.0,922.0,1031.0,1129.0,1264.0,1497.0,1738.0,2061.0,2376.0,2518.0,2651.0,2901.0,3039.0,3324.0,3482.0,3785.0,3813.0,3951.0,4043.0,4227.0,4364.0,4406.0,4374.0,4398.0,4327.0,4221.0,4175.0,4237.0,4192.0,4079.0,4048.0,3918.0
Total Active,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,5.0,8.0,12.0,18.0,19.0,31.0,31.0,41.0,91.0,94.0,141.0,189.0,253.0,295.0,393.0,461.0,691.0,829.0,989.0,1113.0,1229.0,1381.0,1638.0,1906.0,2259.0,2609.0,2790.0,2953.0,3232.0,3408.0,3747.0,3966.0,4335.0,4424.0,4623.0,4757.0,4980.0,5156.0,5267.0,5291.0,5389.0,5397.0,5308.0,5231.0,5292.0,5202.0,5198.0,5262.0,5288.0
Daily New Confirmed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,3.0,4.0,6.0,1.0,12.0,0.0,10.0,50.0,3.0,47.0,48.0,64.0,45.0,98.0,68.0,230.0,139.0,162.0,125.0,116.0,158.0,260.0,271.0,354.0,352.0,186.0,184.0,307.0,200.0,350.0,233.0,381.0,115.0,235.0,195.0,295.0,257.0,163.0,99.0,160.0,68.0,52.0,105.0,217.0,116.0,57.0,140.0,41.0
Daily New Deaths,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,3.0,3.0,0.0,2.0,5.0,7.0,8.0,8.0,5.0,9.0,6.0,8.0,11.0,10.0,11.0,13.0,7.0,10.0,9.0,5.0,18.0,5.0,3.0,4.0,8.0,5.0,2.0
Daily New Recovered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,14.0,20.0,16.0,6.0,5.0,6.0,18.0,25.0,51.0,61.0,68.0,45.0,65.0,53.0,55.0,123.0,177.0,153.0,202.0,53.0,71.0,13.0
Daily New Recovered_Est,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,11.0,13.0,15.0,18.0,21.0,24.0,27.0,31.0,35.0,39.0,44.0,49.0,54.0,60.0,66.0,72.0,79.0,86.0,93.0,100.0,107.0,114.0,121.0,127.0,134.0,140.0,146.0,152.0,157.0,162.0,166.0,169.0
