,Total Confirmed,Total Deaths,Total Recovered,Total Recovered_Est,Total Active_Est,Total Active,Daily New Confirmed,Daily New Deaths,Daily New Recovered,Daily New Recovered_Est,Daily New Active_Est,Daily New Active,Total Mortality_Rate,Total Recovery_Rate,Total Activity_Rate,Change in Mortality_Rate,Change in Recovery_Rate,Change in Activity_Rate
2020-01-22,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-23,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-24,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-25,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-26,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-27,1,0,0,0,1,1,1,0,0,0,1,1,0.0,0.0,100.0,0.0,0.0,100.0
2020-01-28,4,0,0,0,4,4,3,0,0,0,3,3,0.0,0.0,100.0,0.0,0.0,0.0
2020-01-29,4,0,0,0,4,4,0,0,0,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0
2020-01-30,4,0,0,0,4,4,0,0,0,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0
2020-01-31,5,0,0,0,5,5,1,0,0,0,1,1,0.0,0.0,100.0,0.0,0.0,0.0
2020-02-01,8,0,0,0,8,8,3,0,0,0,3,3,0.0,0.0,100.0,0.0,0.0,0.0
2020-02-02,10,0,0,0,10,10,2,0,0,0,2,2,0.0,0.0,100.0,0.0,0.0,0.0
2020-02-03,12,0,0,0,12,12,2,0,0,0,2,2,0.0,0.0,100.0,0.0,0.0,0.0
2020-02-04,12,0,0,0,12,12,0,0,0,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0
2020-02-05,12,0,0,0,12,12,0,0,0,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0
2020-02-06,12,0,0,0,12,12,0,0,0,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0
2020-02-07,13,0,0,0,13,13,1,0,0,0,1,1,0.0,0.0,100.0,0.0,0.0,0.0
2020-02-08,13,0,0,0,13,13,0,0,0,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0
2020-02-09,14,0,0,0,14,14,1,0,0,0,1,1,0.0,0.0,100.0,0.0,0.0,0.0
2020-02-10,14,0,0,0,14,14,0,0,0,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0
2020-02-11,16,0,0,0,16,16,2,0,0,0,2,2,0.0,0.0,100.0,0.0,0.0,0.0
2020-02-12,16,0,0,0,16,16,0,0,0,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0
2020-02-13,16,0,1,0,16,15,0,0,1,0,0,-1,0.0,6.25,93.75,0.0,6.25,-6.25
2020-02-14,16,0,1,0,16,15,0,0,0,0,0,0,0.0,6.25,93.75,0.0,0.0,0.0
2020-02-15,16,0,1,0,16,15,0,0,0,0,0,0,0.0,6.25,93.75,0.0,0.0,0.0
2020-02-16,16,0,1,0,16,15,0,0,0,0,0,0,0.0,6.25,93.75,0.0,0.0,0.0
2020-02-17,16,0,1,0,16,15,0,0,0,0,0,0,0.0,6.25,93.75,0.0,0.0,0.0
2020-02-18,16,0,12,0,16,4,0,0,11,0,0,-11,0.0,75.0,25.0,0.0,68.75,-68.75
2020-02-19,16,0,12,0,16,4,0,0,0,0,0,0,0.0,75.0,25.0,0.0,0.0,0.0
2020-02-20,16,0,12,0,16,4,0,0,0,0,0,0,0.0,75.0,25.0,0.0,0.0,0.0
2020-02-21,16,0,14,0,16,2,0,0,2,0,0,-2,0.0,87.5,12.5,0.0,12.5,-12.5
2020-02-22,16,0,14,1,15,2,0,0,0,1,-1,0,0.0,87.5,12.5,0.0,0.0,0.0
2020-02-23,16,0,14,2,14,2,0,0,0,1,-1,0,0.0,87.5,12.5,0.0,0.0,0.0
2020-02-24,16,0,14,3,13,2,0,0,0,1,-1,0,0.0,87.5,12.5,0.0,0.0,0.0
2020-02-25,17,0,14,4,13,3,1,0,0,1,0,1,0.0,82.35,17.65,0.0,-5.15,5.14
2020-02-26,27,0,15,6,21,12,10,0,1,2,8,9,0.0,55.56,44.44,0.0,-26.78,26.79
2020-02-27,46,0,16,8,38,30,19,0,1,2,17,18,0.0,34.78,65.22,0.0,-20.78,20.78
2020-02-28,48,0,16,11,37,32,2,0,0,3,-1,2,0.0,33.33,66.67,0.0,-1.45,1.45
2020-02-29,79,0,16,15,64,63,31,0,0,4,27,31,0.0,20.25,79.75,0.0,-13.07,13.07
2020-03-01,130,0,16,21,109,114,51,0,0,6,45,51,0.0,12.31,87.69,0.0,-7.94,7.93
2020-03-02,159,0,16,28,131,143,29,0,0,7,22,29,0.0,10.06,89.94,0.0,-2.25,2.25
2020-03-03,196,0,16,38,158,180,37,0,0,10,27,37,0.0,8.16,91.84,0.0,-1.9,1.9
2020-03-04,262,0,16,50,212,246,66,0,0,12,54,66,0.0,6.11,93.89,0.0,-2.04,2.04
2020-03-05,482,0,16,66,416,466,220,0,0,16,204,220,0.0,3.32,96.68,0.0,-2.79,2.79
2020-03-06,670,0,17,86,584,653,188,0,1,20,168,187,0.0,2.54,97.46,0.0,-0.77,0.77
2020-03-07,799,0,18,110,689,781,129,0,1,24,105,128,0.0,2.25,97.75,0.0,-0.29,0.29
2020-03-08,1040,0,18,140,900,1022,241,0,0,30,211,241,0.0,1.73,98.27,0.0,-0.52,0.51
2020-03-09,1176,2,18,177,997,1156,136,2,0,37,97,134,0.17,1.53,98.3,0.17,-0.19,0.03
2020-03-10,1457,2,18,223,1232,1437,281,0,0,46,235,281,0.14,1.24,98.63,-0.03,-0.29,0.32
2020-03-11,1908,3,25,279,1626,1880,451,1,7,56,394,443,0.16,1.31,98.53,0.01,0.07,-0.09
2020-03-12,2078,3,25,347,1728,2050,170,0,0,68,102,170,0.14,1.2,98.65,-0.01,-0.11,0.12
2020-03-13,3675,7,46,430,3238,3622,1597,4,21,83,1510,1572,0.19,1.25,98.56,0.04,0.05,-0.09
2020-03-14,4585,9,46,529,4047,4530,910,2,0,99,809,908,0.2,1.0,98.8,0.01,-0.25,0.23
2020-03-15,5795,11,46,648,5136,5738,1210,2,0,119,1089,1208,0.19,0.79,99.02,-0.01,-0.2,0.21
2020-03-16,7272,17,67,789,6466,7188,1477,6,21,141,1330,1450,0.23,0.92,98.84,0.04,0.13,-0.17
2020-03-17,9257,24,67,956,8277,9166,1985,7,0,167,1811,1978,0.26,0.72,99.02,0.03,-0.2,0.17
2020-03-18,12327,28,105,1153,11146,12194,3070,4,38,197,2869,3028,0.23,0.85,98.92,-0.03,0.13,-0.09
2020-03-19,15320,44,113,1384,13892,15163,2993,16,8,231,2746,2969,0.29,0.74,98.98,0.05,-0.1,0.06
