,Total Confirmed,Total Deaths,Total Recovered,Total Recovered_Est,Total Active_Est,Total Active,Daily New Confirmed,Daily New Deaths,Daily New Recovered,Daily New Recovered_Est,Daily New Active_Est,Daily New Active,Total Mortality_Rate,Total Recovery_Rate,Total Activity_Rate,Change in Mortality_Rate,Change in Recovery_Rate,Change in Activity_Rate
2020-01-22,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-23,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-24,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-25,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-26,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-27,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-28,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-29,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-30,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-31,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-02,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-03,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-04,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-05,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-06,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-07,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-08,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-09,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-10,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-11,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-12,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-13,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-14,1,0,0,0,1,1,1,0,0,0,1,1,0.0,0.0,100.0,0.0,0.0,100.0
2020-02-15,1,0,0,0,1,1,0,0,0,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0
2020-02-16,1,0,0,0,1,1,0,0,0,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0
2020-02-17,1,0,0,0,1,1,0,0,0,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0
2020-02-18,1,0,0,0,1,1,0,0,0,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0
2020-02-19,1,0,0,0,1,1,0,0,0,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0
2020-02-20,1,0,0,0,1,1,0,0,0,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0
2020-02-21,1,0,0,0,1,1,0,0,0,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0
2020-02-22,1,0,0,0,1,1,0,0,0,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0
2020-02-23,1,0,0,0,1,1,0,0,0,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0
2020-02-24,1,0,0,0,1,1,0,0,0,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0
2020-02-25,1,0,0,0,1,1,0,0,0,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0
2020-02-26,1,0,0,0,1,1,0,0,0,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0
2020-02-27,1,0,0,0,1,1,0,0,0,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0
2020-02-28,1,0,1,0,1,0,0,0,1,0,0,-1,0.0,100.0,0.0,0.0,100.0,-100.0
2020-02-29,1,0,1,0,1,0,0,0,0,0,0,0,0.0,100.0,0.0,0.0,0.0,0.0
2020-03-01,2,0,1,0,2,1,1,0,0,0,1,1,0.0,50.0,50.0,0.0,-50.0,50.0
2020-03-02,2,0,1,0,2,1,0,0,0,0,0,0,0.0,50.0,50.0,0.0,0.0,0.0
2020-03-03,2,0,1,0,2,1,0,0,0,0,0,0,0.0,50.0,50.0,0.0,0.0,0.0
2020-03-04,2,0,1,0,2,1,0,0,0,0,0,0,0.0,50.0,50.0,0.0,0.0,0.0
2020-03-05,3,0,1,0,3,2,1,0,0,0,1,1,0.0,33.33,66.67,0.0,-16.67,16.67
2020-03-06,15,0,1,0,15,14,12,0,0,0,12,12,0.0,6.67,93.33,0.0,-26.65,26.65
2020-03-07,15,0,1,0,15,14,0,0,0,0,0,0,0.0,6.67,93.33,0.0,0.0,0.0
2020-03-08,49,1,1,0,48,47,34,1,0,0,33,33,2.04,2.04,95.92,2.04,-4.63,2.59
2020-03-09,55,1,1,0,54,53,6,0,0,0,6,6,1.82,1.82,96.36,-0.21,-0.21,0.43
2020-03-10,59,1,1,0,58,57,4,0,0,0,4,4,1.69,1.69,96.61,-0.13,-0.13,0.25
2020-03-11,60,1,27,1,58,32,1,0,26,1,0,-25,1.67,45.0,53.33,-0.02,43.31,-43.28
2020-03-12,67,1,27,2,64,39,7,0,0,1,6,7,1.49,40.3,58.21,-0.17,-4.7,4.88
2020-03-13,80,2,27,3,75,51,13,1,0,1,11,12,2.5,33.75,63.75,1.01,-6.54,5.53
2020-03-14,109,2,27,4,103,80,29,0,0,1,28,29,1.83,24.77,73.39,-0.67,-8.98,9.64
2020-03-15,110,2,21,5,103,87,1,0,-6,1,0,7,1.82,19.09,79.09,-0.01,-5.68,5.7
2020-03-16,150,2,27,7,141,121,40,0,6,2,38,34,1.33,18.0,80.67,-0.49,-1.08,1.57
2020-03-17,196,4,32,9,183,160,46,2,5,2,42,39,2.04,16.33,81.63,0.71,-1.67,0.95
2020-03-18,196,6,32,11,179,158,0,2,0,2,-4,-2,3.06,16.33,80.61,1.02,0.0,-1.01
2020-03-19,256,6,32,14,236,218,60,0,0,3,57,60,2.34,12.5,85.16,-0.72,-3.82,4.54
2020-03-20,285,8,39,17,260,238,29,2,7,3,24,20,2.81,13.68,83.51,0.47,1.17,-1.64
2020-03-21,294,10,41,21,263,243,9,2,2,4,3,5,3.4,13.95,82.65,0.58,0.26,-0.85
