,Total Confirmed,Total Deaths,Total Recovered,Total Recovered_Est,Total Active_Est,Total Active,Daily New Confirmed,Daily New Deaths,Daily New Recovered,Daily New Recovered_Est,Daily New Active_Est,Daily New Active,Total Mortality_Rate,Total Recovery_Rate,Total Activity_Rate,Change in Mortality_Rate,Change in Recovery_Rate,Change in Activity_Rate
2020-01-22,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-23,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-24,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-25,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-26,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-27,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-28,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-29,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-30,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-31,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-01,1,0,0,0,1,1,1,0,0,0,1,1,0.0,0.0,100.0,0.0,0.0,100.0
2020-02-02,1,0,0,0,1,1,0,0,0,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0
2020-02-03,1,0,0,0,1,1,0,0,0,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0
2020-02-04,1,0,0,0,1,1,0,0,0,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0
2020-02-05,1,0,0,0,1,1,0,0,0,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0
2020-02-06,1,0,0,0,1,1,0,0,0,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0
2020-02-07,1,0,0,0,1,1,0,0,0,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0
2020-02-08,1,0,0,0,1,1,0,0,0,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0
2020-02-09,2,0,0,0,2,2,1,0,0,0,1,1,0.0,0.0,100.0,0.0,0.0,0.0
2020-02-10,2,0,0,0,2,2,0,0,0,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0
2020-02-11,2,0,0,0,2,2,0,0,0,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0
2020-02-12,2,0,0,0,2,2,0,0,0,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0
2020-02-13,2,0,0,0,2,2,0,0,0,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0
2020-02-14,2,0,0,0,2,2,0,0,0,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0
2020-02-15,2,0,2,0,2,0,0,0,2,0,0,-2,0.0,100.0,0.0,0.0,100.0,-100.0
2020-02-16,2,0,2,0,2,0,0,0,0,0,0,0,0.0,100.0,0.0,0.0,0.0,0.0
2020-02-17,2,0,2,0,2,0,0,0,0,0,0,0,0.0,100.0,0.0,0.0,0.0,0.0
2020-02-18,2,0,2,0,2,0,0,0,0,0,0,0,0.0,100.0,0.0,0.0,0.0,0.0
2020-02-19,2,0,2,0,2,0,0,0,0,0,0,0,0.0,100.0,0.0,0.0,0.0,0.0
2020-02-20,2,0,2,0,2,0,0,0,0,0,0,0,0.0,100.0,0.0,0.0,0.0,0.0
2020-02-21,2,0,2,0,2,0,0,0,0,0,0,0,0.0,100.0,0.0,0.0,0.0,0.0
2020-02-22,2,0,2,0,2,0,0,0,0,0,0,0,0.0,100.0,0.0,0.0,0.0,0.0
2020-02-23,2,0,2,0,2,0,0,0,0,0,0,0,0.0,100.0,0.0,0.0,0.0,0.0
2020-02-24,2,0,2,0,2,0,0,0,0,0,0,0,0.0,100.0,0.0,0.0,0.0,0.0
2020-02-25,6,0,2,1,5,4,4,0,0,1,3,4,0.0,33.33,66.67,0.0,-66.67,66.67
2020-02-26,13,0,2,2,11,11,7,0,0,1,6,7,0.0,15.38,84.62,0.0,-17.94,17.95
2020-02-27,15,0,2,4,11,13,2,0,0,2,0,2,0.0,13.33,86.67,0.0,-2.05,2.04
2020-02-28,32,0,2,7,25,30,17,0,0,3,14,17,0.0,6.25,93.75,0.0,-7.08,7.07
2020-02-29,45,0,2,11,34,43,13,0,0,4,9,13,0.0,4.44,95.56,0.0,-1.8,1.81
2020-03-01,84,0,2,17,67,82,39,0,0,6,33,39,0.0,2.38,97.62,0.0,-2.06,2.06
2020-03-02,120,0,2,25,95,118,36,0,0,8,28,36,0.0,1.67,98.33,0.0,-0.71,0.7
2020-03-03,165,1,2,35,129,162,45,1,0,10,34,44,0.61,1.21,98.18,0.61,-0.46,-0.14
2020-03-04,222,2,2,48,172,218,57,1,0,13,43,56,0.9,0.9,98.2,0.29,-0.3,0.01
2020-03-05,259,3,2,65,191,254,37,1,0,17,19,36,1.16,0.77,98.07,0.25,-0.13,-0.13
2020-03-06,400,5,2,87,308,393,141,2,0,22,117,139,1.25,0.5,98.25,0.09,-0.27,0.18
2020-03-07,500,10,30,114,376,460,100,5,28,27,68,67,2.0,6.0,92.0,0.75,5.5,-6.25
2020-03-08,673,17,30,149,507,626,173,7,0,35,131,166,2.53,4.46,93.02,0.52,-1.54,1.01
2020-03-09,1073,28,32,192,853,1013,400,11,2,43,346,387,2.61,2.98,94.41,0.08,-1.48,1.39
2020-03-10,1695,35,32,246,1414,1628,622,7,0,54,561,615,2.06,1.89,96.05,-0.54,-1.09,1.64
2020-03-11,2277,54,183,313,1910,2040,582,19,151,67,496,412,2.37,8.04,89.59,0.31,6.15,-6.45
2020-03-12,2277,55,183,395,1827,2039,0,1,0,82,-83,-1,2.42,8.04,89.55,0.04,0.0,-0.04
2020-03-13,5232,133,193,494,4605,4906,2955,78,10,99,2778,2867,2.54,3.69,93.77,0.12,-4.34,4.21
2020-03-14,6391,195,517,614,5582,5679,1159,62,324,120,977,773,3.05,8.09,88.86,0.5,4.4,-4.9
2020-03-15,7798,289,517,758,6751,6992,1407,94,0,144,1169,1313,3.71,6.63,89.66,0.66,-1.46,0.79
2020-03-16,9942,342,530,930,8670,9070,2144,53,13,172,1919,2078,3.44,5.33,91.23,-0.27,-1.29,1.57
2020-03-17,11748,533,1028,1135,10080,10187,1806,191,498,205,1410,1117,4.54,8.75,86.71,1.1,3.42,-4.52
2020-03-18,13910,623,1081,1377,11910,12206,2162,90,53,242,1830,2019,4.48,7.77,87.75,-0.05,-0.98,1.04
2020-03-19,17963,830,1107,1662,15471,16026,4053,207,26,285,3561,3820,4.62,6.16,89.22,0.13,-1.6,1.46
