,Total Confirmed,Total Deaths,Total Recovered,Total Recovered_Est,Total Active_Est,Total Active,Daily New Confirmed,Daily New Deaths,Daily New Recovered,Daily New Recovered_Est,Daily New Active_Est,Daily New Active,Total Mortality_Rate,Total Recovery_Rate,Total Activity_Rate,Change in Mortality_Rate,Change in Recovery_Rate,Change in Activity_Rate
2020-01-22,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-23,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-24,2,0,0,0,2,2,2,0,0,0,2,2,0.0,0.0,100.0,0.0,0.0,100.0
2020-01-25,3,0,0,0,3,3,1,0,0,0,1,1,0.0,0.0,100.0,0.0,0.0,0.0
2020-01-26,3,0,0,0,3,3,0,0,0,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0
2020-01-27,3,0,0,0,3,3,0,0,0,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0
2020-01-28,4,0,0,0,4,4,1,0,0,0,1,1,0.0,0.0,100.0,0.0,0.0,0.0
2020-01-29,5,0,0,0,5,5,1,0,0,0,1,1,0.0,0.0,100.0,0.0,0.0,0.0
2020-01-30,5,0,0,0,5,5,0,0,0,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0
2020-01-31,5,0,0,0,5,5,0,0,0,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0
2020-02-01,6,0,0,0,6,6,1,0,0,0,1,1,0.0,0.0,100.0,0.0,0.0,0.0
2020-02-02,6,0,0,0,6,6,0,0,0,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0
2020-02-03,6,0,0,0,6,6,0,0,0,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0
2020-02-04,6,0,0,0,6,6,0,0,0,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0
2020-02-05,6,0,0,0,6,6,0,0,0,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0
2020-02-06,6,0,0,0,6,6,0,0,0,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0
2020-02-07,6,0,0,0,6,6,0,0,0,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0
2020-02-08,11,0,0,0,11,11,5,0,0,0,5,5,0.0,0.0,100.0,0.0,0.0,0.0
2020-02-09,11,0,0,0,11,11,0,0,0,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0
2020-02-10,11,0,0,0,11,11,0,0,0,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0
2020-02-11,11,0,0,0,11,11,0,0,0,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0
2020-02-12,11,0,2,0,11,9,0,0,2,0,0,-2,0.0,18.18,81.82,0.0,18.18,-18.18
2020-02-13,11,0,2,0,11,9,0,0,0,0,0,0,0.0,18.18,81.82,0.0,0.0,0.0
2020-02-14,11,0,2,0,11,9,0,0,0,0,0,0,0.0,18.18,81.82,0.0,0.0,0.0
2020-02-15,12,1,4,0,11,7,1,1,2,0,0,-2,8.33,33.33,58.33,8.33,15.14,-23.48
2020-02-16,12,1,4,0,11,7,0,0,0,0,0,0,8.33,33.33,58.33,0.0,0.0,0.0
2020-02-17,12,1,4,0,11,7,0,0,0,0,0,0,8.33,33.33,58.33,0.0,0.0,0.0
2020-02-18,12,1,4,0,11,7,0,0,0,0,0,0,8.33,33.33,58.33,0.0,0.0,0.0
2020-02-19,12,1,4,0,11,7,0,0,0,0,0,0,8.33,33.33,58.33,0.0,0.0,0.0
2020-02-20,12,1,4,0,11,7,0,0,0,0,0,0,8.33,33.33,58.33,0.0,0.0,0.0
2020-02-21,12,1,4,0,11,7,0,0,0,0,0,0,8.33,33.33,58.33,0.0,0.0,0.0
2020-02-22,12,1,4,0,11,7,0,0,0,0,0,0,8.33,33.33,58.33,0.0,0.0,0.0
2020-02-23,12,1,4,1,10,7,0,0,0,1,-1,0,8.33,33.33,58.33,0.0,0.0,0.0
2020-02-24,12,1,4,2,9,7,0,0,0,1,-1,0,8.33,33.33,58.33,0.0,0.0,0.0
2020-02-25,14,1,11,3,10,2,2,0,7,1,1,-5,7.14,78.57,14.29,-1.19,45.23,-44.04
2020-02-26,18,2,11,5,11,5,4,1,0,2,1,3,11.11,61.11,27.78,3.97,-17.45,13.49
2020-02-27,38,2,11,7,29,25,20,0,0,2,18,20,5.26,28.95,65.79,-5.85,-32.15,38.01
2020-02-28,57,2,11,10,45,44,19,0,0,3,16,19,3.51,19.3,77.19,-1.75,-9.64,11.39
2020-02-29,100,2,12,14,84,86,43,0,1,4,39,42,2.0,12.0,86.0,-1.5,-7.3,8.81
2020-03-01,130,2,12,19,109,116,30,0,0,5,25,30,1.54,9.23,89.23,-0.46,-2.76,3.23
2020-03-02,191,3,12,26,162,176,61,1,0,7,53,60,1.57,6.28,92.15,0.03,-2.95,2.92
2020-03-03,204,4,12,34,166,188,13,1,0,8,4,12,1.96,5.88,92.16,0.38,-0.4,0.0
2020-03-04,288,4,12,45,239,272,84,0,0,11,73,84,1.39,4.17,94.44,-0.57,-1.71,2.28
2020-03-05,380,6,12,58,316,362,92,2,0,13,77,90,1.58,3.16,95.26,0.19,-1.0,0.82
2020-03-06,656,9,12,74,573,635,276,3,0,16,257,273,1.37,1.83,96.8,-0.2,-1.33,1.53
2020-03-07,959,11,12,94,854,936,303,2,0,20,281,301,1.15,1.25,97.6,-0.22,-0.58,0.79
2020-03-08,1136,19,12,119,998,1105,177,8,0,25,144,169,1.67,1.06,97.27,0.52,-0.18,-0.32
2020-03-09,1219,19,12,149,1051,1188,83,0,0,30,53,83,1.56,0.98,97.46,-0.1,-0.08,0.18
2020-03-10,1794,33,12,186,1575,1749,575,14,0,37,524,561,1.84,0.67,97.49,0.28,-0.3,0.03
2020-03-11,2293,48,12,231,2014,2233,499,15,0,45,439,484,2.09,0.52,97.38,0.24,-0.15,-0.1
2020-03-12,2293,48,12,284,1961,2233,0,0,0,53,-53,0,2.09,0.52,97.38,0.0,0.0,0.0
2020-03-13,3681,79,12,348,3254,3590,1388,31,0,64,1293,1357,2.15,0.33,97.53,0.06,-0.19,0.15
2020-03-14,4496,91,12,424,3981,4393,815,12,0,76,727,803,2.02,0.27,97.71,-0.12,-0.06,0.17
2020-03-15,4532,91,12,514,3927,4429,36,0,0,90,-54,36,2.01,0.26,97.73,-0.01,-0.01,0.02
2020-03-16,6683,149,12,621,5913,6522,2151,58,0,107,1986,2093,2.23,0.18,97.59,0.22,-0.08,-0.14
2020-03-17,7715,149,12,746,6820,7554,1032,0,0,125,907,1032,1.93,0.16,97.91,-0.3,-0.01,0.31
2020-03-18,9124,149,12,893,8082,8963,1409,0,0,147,1262,1409,1.63,0.13,98.24,-0.3,-0.03,0.32
2020-03-19,10970,244,12,1064,9662,10714,1846,95,0,171,1580,1751,2.22,0.11,97.67,0.59,-0.02,-0.56
