,Total Confirmed,Total Deaths,Total Recovered,Total Recovered_Est,Total Active_Est,Total Active,Daily New Confirmed,Daily New Deaths,Daily New Recovered,Daily New Recovered_Est,Daily New Active_Est,Daily New Active,Total Mortality_Rate,Total Recovery_Rate,Total Activity_Rate,Change in Mortality_Rate,Change in Recovery_Rate,Change in Activity_Rate
2020-01-22,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-23,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-24,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-25,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-26,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-27,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-28,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-29,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-30,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-31,2,0,0,0,2,2,2,0,0,0,2,2,0.0,0.0,100.0,0.0,0.0,100.0
2020-02-01,2,0,0,0,2,2,0,0,0,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0
2020-02-02,2,0,0,0,2,2,0,0,0,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0
2020-02-03,2,0,0,0,2,2,0,0,0,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0
2020-02-04,2,0,0,0,2,2,0,0,0,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0
2020-02-05,2,0,0,0,2,2,0,0,0,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0
2020-02-06,2,0,0,0,2,2,0,0,0,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0
2020-02-07,3,0,0,0,3,3,1,0,0,0,1,1,0.0,0.0,100.0,0.0,0.0,0.0
2020-02-08,3,0,0,0,3,3,0,0,0,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0
2020-02-09,3,0,0,0,3,3,0,0,0,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0
2020-02-10,8,0,0,0,8,8,5,0,0,0,5,5,0.0,0.0,100.0,0.0,0.0,0.0
2020-02-11,8,0,0,0,8,8,0,0,0,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0
2020-02-12,9,0,1,0,9,8,1,0,1,0,1,0,0.0,11.11,88.89,0.0,11.11,-11.11
2020-02-13,9,0,1,0,9,8,0,0,0,0,0,0,0.0,11.11,88.89,0.0,0.0,0.0
2020-02-14,9,0,1,0,9,8,0,0,0,0,0,0,0.0,11.11,88.89,0.0,0.0,0.0
2020-02-15,9,0,1,0,9,8,0,0,0,0,0,0,0.0,11.11,88.89,0.0,0.0,0.0
2020-02-16,9,0,8,0,9,1,0,0,7,0,0,-7,0.0,88.89,11.11,0.0,77.78,-77.78
2020-02-17,9,0,8,0,9,1,0,0,0,0,0,0,0.0,88.89,11.11,0.0,0.0,0.0
2020-02-18,9,0,8,0,9,1,0,0,0,0,0,0,0.0,88.89,11.11,0.0,0.0,0.0
2020-02-19,9,0,8,0,9,1,0,0,0,0,0,0,0.0,88.89,11.11,0.0,0.0,0.0
2020-02-20,9,0,8,0,9,1,0,0,0,0,0,0,0.0,88.89,11.11,0.0,0.0,0.0
2020-02-21,9,0,8,0,9,1,0,0,0,0,0,0,0.0,88.89,11.11,0.0,0.0,0.0
2020-02-22,9,0,8,0,9,1,0,0,0,0,0,0,0.0,88.89,11.11,0.0,0.0,0.0
2020-02-23,9,0,8,0,9,1,0,0,0,0,0,0,0.0,88.89,11.11,0.0,0.0,0.0
2020-02-24,13,0,8,0,13,5,4,0,0,0,4,4,0.0,61.54,38.46,0.0,-27.35,27.35
2020-02-25,13,0,8,0,13,5,0,0,0,0,0,0,0.0,61.54,38.46,0.0,0.0,0.0
2020-02-26,13,0,8,0,13,5,0,0,0,0,0,0,0.0,61.54,38.46,0.0,0.0,0.0
2020-02-27,15,0,8,0,15,7,2,0,0,0,2,2,0.0,53.33,46.67,0.0,-8.21,8.21
2020-02-28,20,0,8,1,19,12,5,0,0,1,4,5,0.0,40.0,60.0,0.0,-13.32,13.32
2020-02-29,23,0,8,2,21,15,3,0,0,1,2,3,0.0,34.78,65.22,0.0,-5.21,5.21
2020-03-01,36,0,8,3,33,28,13,0,0,1,12,13,0.0,22.22,77.78,0.0,-12.56,12.56
2020-03-02,40,0,8,4,36,32,4,0,0,1,3,4,0.0,20.0,80.0,0.0,-2.21,2.21
2020-03-03,51,0,8,6,45,43,11,0,0,2,9,11,0.0,15.69,84.31,0.0,-4.31,4.31
2020-03-04,86,0,8,9,77,78,35,0,0,3,32,35,0.0,9.3,90.7,0.0,-6.38,6.39
2020-03-05,116,1,8,12,103,107,30,1,0,3,26,29,0.86,6.9,92.24,0.86,-2.4,1.53
2020-03-06,164,2,8,16,146,154,48,1,0,4,43,47,1.22,4.88,93.9,0.36,-2.02,1.66
2020-03-07,207,2,18,21,184,187,43,0,10,5,38,33,0.97,8.7,90.34,-0.25,3.81,-3.56
2020-03-08,274,3,18,28,243,253,67,1,0,7,59,66,1.09,6.57,92.34,0.12,-2.12,2.0
2020-03-09,322,4,18,36,282,300,48,1,0,8,39,47,1.24,5.59,93.17,0.14,-0.98,0.82
2020-03-10,384,6,19,46,332,359,62,2,1,10,50,59,1.56,4.95,93.49,0.32,-0.63,0.31
2020-03-11,459,8,19,59,392,432,75,2,0,13,60,73,1.74,4.14,94.12,0.17,-0.81,0.63
2020-03-12,459,8,19,75,376,432,0,0,0,16,-16,0,1.74,4.14,94.12,0.0,0.0,0.0
2020-03-13,802,8,19,95,699,775,343,0,0,20,323,343,1.0,2.37,96.63,-0.74,-1.76,2.5
2020-03-14,1144,21,19,119,1004,1104,342,13,0,24,305,329,1.84,1.66,96.5,0.84,-0.71,-0.12
2020-03-15,1145,21,19,149,975,1105,1,0,0,30,-29,1,1.83,1.66,96.51,-0.01,0.0,0.01
2020-03-16,1551,56,21,185,1310,1474,406,35,2,36,335,369,3.61,1.35,95.04,1.77,-0.3,-1.46
2020-03-17,1960,56,53,228,1676,1851,409,0,32,43,366,377,2.86,2.7,94.44,-0.75,1.35,-0.6
2020-03-18,2642,72,67,280,2290,2503,682,16,14,52,614,652,2.73,2.54,94.74,-0.12,-0.16,0.29
2020-03-19,2716,138,67,342,2236,2511,74,66,0,62,-54,8,5.08,2.47,92.45,2.35,-0.06,-2.28
2020-03-20,4014,178,67,416,3420,3769,1298,40,0,74,1184,1258,4.43,1.67,93.9,-0.65,-0.8,1.45
