,Total Confirmed,Total Deaths,Total Recovered_Old,Total Recovered,Total Active,Total Active_Old,Change in Confirmed,Change in Deaths,Change in Recovered_Old,Change in Recovered,Change in Active,Change in Active_Old
2020-01-22,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-01-23,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-01-24,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-01-25,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-01-26,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-01-27,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-01-28,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-01-29,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-01-30,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-01-31,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-01,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-02,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-03,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-04,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-05,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-06,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-07,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-08,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-09,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-10,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-11,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-12,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-13,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-14,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-15,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-16,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-17,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-18,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-19,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-20,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-21,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-22,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-23,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-24,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-25,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-26,1,0,0,0,1,1,1,0,0,0,1,1.0
2020-02-27,3,0,0,0,3,3,2,0,0,0,2,2.0
2020-02-28,4,0,0,0,4,4,1,0,0,0,1,1.0
2020-02-29,4,0,0,0,4,4,0,0,0,0,0,0.0
2020-03-01,7,0,0,0,7,7,3,0,0,0,3,3.0
2020-03-02,7,0,0,0,7,7,0,0,0,0,0,0.0
2020-03-03,7,0,0,0,7,7,0,0,0,0,0,0.0
2020-03-04,9,0,0,0,9,9,2,0,0,0,2,2.0
2020-03-05,31,0,0,0,31,31,22,0,0,0,22,22.0
2020-03-06,45,0,0,0,45,45,14,0,0,0,14,14.0
2020-03-07,46,0,0,0,46,46,1,0,0,0,1,1.0
2020-03-08,73,0,0,1,72,73,27,0,0,1,26,27.0
2020-03-09,73,0,0,2,71,73,0,0,0,1,-1,0.0
2020-03-10,89,0,0,3,86,89,16,0,0,1,15,16.0
2020-03-11,99,1,0,4,94,98,10,1,0,1,8,9.0
2020-03-12,99,1,0,6,92,98,0,0,0,2,-2,0.0
2020-03-13,190,1,0,8,181,189,91,0,0,2,89,91.0
2020-03-14,228,3,8,11,214,217,38,2,8,3,33,28.0
2020-03-15,331,4,8,14,313,319,103,1,0,3,99,102.0
2020-03-16,331,4,8,18,309,319,0,0,0,4,-4,0.0
2020-03-17,387,5,8,22,360,374,56,1,0,4,51,55.0
2020-03-18,418,5,8,27,386,405,31,0,0,5,26,31.0
2020-03-19,418,6,8,33,379,404,0,1,0,6,-7,-1.0
2020-03-20,495,6,19,40,449,470,77,0,11,7,70,66.0
2020-03-21,530,13,19,48,469,498,35,7,0,8,20,28.0
2020-03-22,624,15,19,57,552,590,94,2,0,9,83,92.0
2020-03-23,695,17,19,67,611,659,71,2,0,10,59,69.0
2020-03-24,743,20,29,78,645,694,48,3,10,11,34,35.0
2020-03-25,821,22,36,90,709,763,78,2,7,12,64,69.0
2020-03-26,892,26,36,103,763,830,71,4,0,13,54,67.0
2020-03-27,966,28,52,117,821,886,74,2,16,14,58,56.0
2020-03-28,1061,32,52,133,896,977,95,4,0,16,75,91.0
