,Total Confirmed,Total Deaths,Total Recovered_Old,Total Recovered,Total Active,Total Active_Old,Change in Confirmed,Change in Deaths,Change in Recovered_Old,Change in Recovered,Change in Active,Change in Active_Old
2020-01-22,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-01-23,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-01-24,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-01-25,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-01-26,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-01-27,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-01-28,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-01-29,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-01-30,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-01-31,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-01,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-02,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-03,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-04,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-05,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-06,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-07,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-08,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-09,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-10,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-11,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-12,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-13,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-14,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-15,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-16,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-17,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-18,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-19,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-20,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-21,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-22,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-23,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-24,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-25,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-26,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-27,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-28,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-29,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-03-01,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-03-02,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-03-03,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-03-04,2,0,0,0,2,2,2,0,0,0,2,2.0
2020-03-05,2,0,0,0,2,2,0,0,0,0,0,0.0
2020-03-06,2,0,0,0,2,2,0,0,0,0,0,0.0
2020-03-07,4,0,0,0,4,4,2,0,0,0,2,2.0
2020-03-08,7,0,0,0,7,7,3,0,0,0,3,3.0
2020-03-09,9,0,0,0,9,9,2,0,0,0,2,2.0
2020-03-10,9,0,0,0,9,9,0,0,0,0,0,0.0
2020-03-11,13,0,0,0,13,13,4,0,0,0,4,4.0
2020-03-12,13,0,0,0,13,13,0,0,0,0,0,0.0
2020-03-13,19,0,0,0,19,19,6,0,0,0,6,6.0
2020-03-14,30,0,1,0,30,29,11,0,1,0,11,10.0
2020-03-15,32,1,1,0,31,30,2,1,0,0,1,1.0
2020-03-16,39,1,1,0,38,37,7,0,0,0,7,7.0
2020-03-17,50,1,2,0,49,47,11,0,1,0,11,10.0
2020-03-18,58,1,2,1,56,55,8,0,0,1,7,8.0
2020-03-19,73,1,2,2,70,70,15,0,0,1,14,15.0
2020-03-20,85,3,2,3,79,80,12,2,0,1,9,10.0
2020-03-21,103,4,7,4,95,92,18,1,5,1,16,12.0
2020-03-22,131,6,16,5,120,109,28,2,9,1,25,17.0
2020-03-23,167,7,16,7,153,144,36,1,0,2,33,35.0
2020-03-24,187,9,21,9,169,157,20,2,5,2,16,13.0
2020-03-25,226,10,21,11,205,195,39,1,0,2,36,38.0
2020-03-26,261,10,28,14,237,223,35,0,7,3,32,28.0
2020-03-27,300,10,34,17,273,256,39,0,6,3,36,33.0
2020-03-28,343,11,34,20,312,298,43,1,0,3,39,42.0
