,Total Confirmed,Total Deaths,Total Recovered_Old,Total Recovered,Total Active,Total Active_Old,Change in Confirmed,Change in Deaths,Change in Recovered_Old,Change in Recovered,Change in Active,Change in Active_Old
2020-01-22,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-01-23,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-01-24,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-01-25,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-01-26,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-01-27,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-01-28,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-01-29,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-01-30,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-01-31,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-01,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-02,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-03,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-04,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-05,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-06,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-07,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-08,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-09,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-10,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-11,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-12,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-13,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-14,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-15,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-16,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-17,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-18,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-19,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-20,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-21,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-22,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-23,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-24,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-25,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-26,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-27,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-28,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-29,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-03-01,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-03-02,2,0,0,0,2,2,2,0,0,0,2,2.0
2020-03-03,2,0,0,0,2,2,0,0,0,0,0,0.0
2020-03-04,2,0,0,0,2,2,0,0,0,0,0,0.0
2020-03-05,2,0,0,0,2,2,0,0,0,0,0,0.0
2020-03-06,4,0,0,0,4,4,2,0,0,0,2,2.0
2020-03-07,4,0,0,0,4,4,0,0,0,0,0,0.0
2020-03-08,6,0,0,0,6,6,2,0,0,0,2,2.0
2020-03-09,19,0,0,0,19,19,13,0,0,0,13,13.0
2020-03-10,27,0,2,0,27,25,8,0,2,0,8,6.0
2020-03-11,34,1,2,1,32,31,7,1,0,1,5,6.0
2020-03-12,34,1,2,2,31,31,0,0,0,1,-1,0.0
2020-03-13,69,4,2,3,62,63,35,3,0,1,31,32.0
2020-03-14,96,5,8,4,87,83,27,1,6,1,25,20.0
2020-03-15,117,5,8,6,106,104,21,0,0,2,19,21.0
2020-03-16,134,5,8,8,121,121,17,0,0,2,15,17.0
2020-03-17,172,5,8,11,156,159,38,0,0,3,35,38.0
2020-03-18,227,19,11,14,194,197,55,14,3,3,38,38.0
2020-03-19,311,25,11,18,268,275,84,6,0,4,74,78.0
2020-03-20,369,32,15,22,315,322,58,7,4,4,47,47.0
2020-03-21,450,38,15,27,385,397,81,6,0,5,70,75.0
2020-03-22,514,48,29,33,433,437,64,10,14,6,48,40.0
2020-03-23,579,49,29,40,490,501,65,1,0,7,57,64.0
2020-03-24,686,55,30,48,583,601,107,6,1,8,93,100.0
2020-03-25,790,58,31,57,675,701,104,3,1,9,92,100.0
2020-03-26,893,78,35,67,748,780,103,20,4,10,73,79.0
2020-03-27,1046,87,46,79,880,913,153,9,11,12,132,133.0
2020-03-28,1155,102,59,92,961,994,109,15,13,13,81,81.0
