,Total Confirmed,Total Deaths,Total Recovered,Total Recovered_Est,Total Active_Est,Total Active,Daily New Confirmed,Daily New Deaths,Daily New Recovered,Daily New Recovered_Est,Daily New Active_Est,Daily New Active,Total Mortality_Rate,Total Recovery_Rate,Total Activity_Rate,Change in Mortality_Rate,Change in Recovery_Rate,Change in Activity_Rate
2020-01-22,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-23,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-24,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-25,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-26,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-27,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-28,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-29,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-30,1,0,0,0,1,1,1,0,0,0,1,1,0.0,0.0,100.0,0.0,0.0,100.0
2020-01-31,1,0,0,0,1,1,0,0,0,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0
2020-02-01,1,0,0,0,1,1,0,0,0,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0
2020-02-02,2,0,0,0,2,2,1,0,0,0,1,1,0.0,0.0,100.0,0.0,0.0,0.0
2020-02-03,3,0,0,0,3,3,1,0,0,0,1,1,0.0,0.0,100.0,0.0,0.0,0.0
2020-02-04,3,0,0,0,3,3,0,0,0,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0
2020-02-05,3,0,0,0,3,3,0,0,0,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0
2020-02-06,3,0,0,0,3,3,0,0,0,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0
2020-02-07,3,0,0,0,3,3,0,0,0,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0
2020-02-08,3,0,0,0,3,3,0,0,0,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0
2020-02-09,3,0,0,0,3,3,0,0,0,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0
2020-02-10,3,0,0,0,3,3,0,0,0,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0
2020-02-11,3,0,0,0,3,3,0,0,0,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0
2020-02-12,3,0,0,0,3,3,0,0,0,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0
2020-02-13,3,0,0,0,3,3,0,0,0,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0
2020-02-14,3,0,0,0,3,3,0,0,0,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0
2020-02-15,3,0,0,0,3,3,0,0,0,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0
2020-02-16,3,0,3,0,3,0,0,0,3,0,0,-3,0.0,100.0,0.0,0.0,100.0,-100.0
2020-02-17,3,0,3,0,3,0,0,0,0,0,0,0,0.0,100.0,0.0,0.0,0.0,0.0
2020-02-18,3,0,3,0,3,0,0,0,0,0,0,0,0.0,100.0,0.0,0.0,0.0,0.0
2020-02-19,3,0,3,0,3,0,0,0,0,0,0,0,0.0,100.0,0.0,0.0,0.0,0.0
2020-02-20,3,0,3,0,3,0,0,0,0,0,0,0,0.0,100.0,0.0,0.0,0.0,0.0
2020-02-21,3,0,3,0,3,0,0,0,0,0,0,0,0.0,100.0,0.0,0.0,0.0,0.0
2020-02-22,3,0,3,0,3,0,0,0,0,0,0,0,0.0,100.0,0.0,0.0,0.0,0.0
2020-02-23,3,0,3,0,3,0,0,0,0,0,0,0,0.0,100.0,0.0,0.0,0.0,0.0
2020-02-24,3,0,3,0,3,0,0,0,0,0,0,0,0.0,100.0,0.0,0.0,0.0,0.0
2020-02-25,3,0,3,0,3,0,0,0,0,0,0,0,0.0,100.0,0.0,0.0,0.0,0.0
2020-02-26,3,0,3,0,3,0,0,0,0,0,0,0,0.0,100.0,0.0,0.0,0.0,0.0
2020-02-27,3,0,3,0,3,0,0,0,0,0,0,0,0.0,100.0,0.0,0.0,0.0,0.0
2020-02-28,3,0,3,0,3,0,0,0,0,0,0,0,0.0,100.0,0.0,0.0,0.0,0.0
2020-02-29,3,0,3,0,3,0,0,0,0,0,0,0,0.0,100.0,0.0,0.0,0.0,0.0
2020-03-01,3,0,3,0,3,0,0,0,0,0,0,0,0.0,100.0,0.0,0.0,0.0,0.0
2020-03-02,5,0,3,0,5,2,2,0,0,0,2,2,0.0,60.0,40.0,0.0,-40.0,40.0
2020-03-03,5,0,3,0,5,2,0,0,0,0,0,0,0.0,60.0,40.0,0.0,0.0,0.0
2020-03-04,28,0,3,0,28,25,23,0,0,0,23,23,0.0,10.71,89.29,0.0,-49.29,49.29
2020-03-05,30,0,3,0,30,27,2,0,0,0,2,2,0.0,10.0,90.0,0.0,-0.71,0.7
2020-03-06,31,0,3,0,31,28,1,0,0,0,1,1,0.0,9.68,90.32,0.0,-0.32,0.31
2020-03-07,34,0,3,0,34,31,3,0,0,0,3,3,0.0,8.82,91.18,0.0,-0.85,0.86
2020-03-08,39,0,3,0,39,36,5,0,0,0,5,5,0.0,7.69,92.31,0.0,-1.12,1.12
2020-03-09,43,0,3,0,43,40,4,0,0,0,4,4,0.0,6.98,93.02,0.0,-0.71,0.7
2020-03-10,56,0,4,0,56,52,13,0,1,0,13,12,0.0,7.14,92.86,0.0,0.15,-0.15
2020-03-11,62,1,4,1,60,57,6,1,0,1,4,5,1.61,6.45,91.94,1.61,-0.68,-0.92
2020-03-12,73,1,4,2,70,68,11,0,0,1,10,11,1.37,5.48,93.15,-0.24,-0.96,1.21
2020-03-13,82,2,4,3,77,76,9,1,0,1,7,8,2.44,4.88,92.68,1.06,-0.6,-0.46
2020-03-14,102,2,4,4,96,96,20,0,0,1,19,20,1.96,3.92,94.12,-0.48,-0.96,1.43
2020-03-15,113,2,13,6,105,98,11,0,9,2,9,2,1.77,11.5,86.73,-0.18,7.58,-7.39
2020-03-16,119,2,13,8,109,104,6,0,0,2,4,6,1.68,10.92,87.39,-0.09,-0.58,0.65
2020-03-17,142,3,14,11,128,125,23,1,1,3,19,21,2.11,9.86,88.03,0.42,-1.06,0.64
2020-03-18,156,3,14,14,139,139,14,0,0,3,11,14,1.92,8.97,89.1,-0.18,-0.88,1.06
2020-03-19,194,4,15,18,172,175,38,1,1,4,33,36,2.06,7.73,90.21,0.14,-1.24,1.1
2020-03-20,244,5,20,23,216,219,50,1,5,5,44,44,2.05,8.2,89.75,-0.01,0.46,-0.45
2020-03-21,330,4,23,29,297,303,86,-1,3,6,81,84,1.21,6.97,91.82,-0.83,-1.22,2.06
