,Total Confirmed,Total Deaths,Total Recovered_Old,Total Recovered,Total Active,Total Active_Old,Change in Confirmed,Change in Deaths,Change in Recovered_Old,Change in Recovered,Change in Active,Change in Active_Old
2020-01-22,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-01-23,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-01-24,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-01-25,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-01-26,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-01-27,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-01-28,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-01-29,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-01-30,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-01-31,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-01,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-02,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-03,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-04,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-05,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-06,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-07,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-08,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-09,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-10,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-11,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-12,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-13,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-14,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-15,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-16,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-17,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-18,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-19,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-20,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-21,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-22,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-23,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-24,1,0,0,0,1,1,1,0,0,0,1,1.0
2020-02-25,1,0,0,0,1,1,0,0,0,0,0,0.0
2020-02-26,5,0,0,0,5,5,4,0,0,0,4,4.0
2020-02-27,7,0,0,0,7,7,2,0,0,0,2,2.0
2020-02-28,7,0,0,0,7,7,0,0,0,0,0,0.0
2020-02-29,13,0,0,0,13,13,6,0,0,0,6,6.0
2020-03-01,19,0,0,0,19,19,6,0,0,0,6,6.0
2020-03-02,26,0,0,0,26,26,7,0,0,0,7,7.0
2020-03-03,32,0,0,0,32,32,6,0,0,0,6,6.0
2020-03-04,35,2,0,0,33,33,3,2,0,0,1,1.0
2020-03-05,35,2,0,0,33,33,0,0,0,0,0,0.0
2020-03-06,40,3,0,0,37,37,5,1,0,0,4,4.0
2020-03-07,54,4,0,0,50,50,14,1,0,0,13,13.0
2020-03-08,60,6,0,0,54,54,6,2,0,0,4,4.0
2020-03-09,60,6,3,0,54,51,0,0,3,0,0,-3.0
2020-03-10,71,7,3,1,63,61,11,1,0,1,9,10.0
2020-03-11,71,7,15,2,62,49,0,0,12,1,-1,-12.0
2020-03-12,71,8,15,3,60,48,0,1,0,1,-2,-1.0
2020-03-13,101,9,24,4,88,68,30,1,9,1,28,20.0
2020-03-14,110,10,26,5,95,74,9,1,2,1,7,6.0
2020-03-15,116,10,26,7,99,80,6,0,0,2,4,6.0
2020-03-16,124,10,26,9,105,88,8,0,0,2,6,8.0
2020-03-17,154,11,32,11,132,111,30,1,6,2,27,23.0
2020-03-18,164,12,43,13,139,109,10,1,11,2,7,-2.0
2020-03-19,192,13,43,16,163,136,28,1,0,3,24,27.0
2020-03-20,208,17,49,19,172,142,16,4,6,3,9,6.0
2020-03-21,214,17,51,22,175,146,6,0,2,3,3,4.0
2020-03-22,233,20,57,26,187,156,19,3,6,4,12,10.0
2020-03-23,266,23,57,30,213,186,33,3,0,4,26,30.0
2020-03-24,316,27,75,35,254,214,50,4,18,5,41,28.0
2020-03-25,346,29,103,40,277,214,30,2,28,5,23,0.0
2020-03-26,382,36,105,46,300,241,36,7,2,6,23,27.0
2020-03-27,458,40,122,52,366,296,76,4,17,6,66,55.0
2020-03-28,506,42,131,59,405,333,48,2,9,7,39,37.0
