,Total Confirmed,Total Deaths,Total Recovered,Total Recovered_Est,Total Active_Est,Total Active,Daily New Confirmed,Daily New Deaths,Daily New Recovered,Daily New Recovered_Est,Daily New Active_Est,Daily New Active,Total Mortality_Rate,Total Recovery_Rate,Total Activity_Rate,Change in Mortality_Rate,Change in Recovery_Rate,Change in Activity_Rate
2020-01-22,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-23,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-24,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-25,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-26,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-27,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-28,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-29,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-30,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-31,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-02,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-03,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-04,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-05,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-06,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-07,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-08,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-09,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-10,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-11,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-12,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-13,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-14,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-15,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-16,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-17,0,0,0,1,-1,0,0,0,0,1,-1,0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-18,0,0,0,2,-2,0,0,0,0,1,-1,0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-19,2,2,0,4,-4,0,2,2,0,2,-2,0,100.0,0.0,0.0,100.0,0.0,0.0
2020-02-20,5,2,0,6,-3,3,3,0,0,2,1,3,40.0,0.0,60.0,-60.0,0.0,60.0
2020-02-21,18,4,0,9,5,14,13,2,0,3,8,11,22.22,0.0,77.78,-17.78,0.0,17.78
2020-02-22,28,5,0,13,10,23,10,1,0,4,5,9,17.86,0.0,82.14,-4.35,0.0,4.35
2020-02-23,43,8,0,18,17,35,15,3,0,5,7,12,18.6,0.0,81.4,0.74,0.0,-0.73
2020-02-24,61,12,0,25,24,49,18,4,0,7,7,14,19.67,0.0,80.33,1.07,0.0,-1.07
2020-02-25,95,16,0,33,46,79,34,4,0,8,22,30,16.84,0.0,83.16,-2.83,0.0,2.82
2020-02-26,139,19,49,43,77,71,44,3,49,10,31,-8,13.67,35.25,51.08,-3.17,35.25,-32.08
2020-02-27,245,26,49,56,163,170,106,7,0,13,86,99,10.61,20.0,69.39,-3.06,-15.25,18.31
2020-02-28,388,34,73,72,282,281,143,8,24,16,119,111,8.76,18.81,72.42,-1.84,-1.19,3.03
2020-02-29,593,43,123,92,458,427,205,9,50,20,176,146,7.25,20.74,72.01,-1.5,1.92,-0.4
2020-03-01,978,54,175,116,808,749,385,11,52,24,350,322,5.52,17.89,76.58,-1.73,-2.84,4.56
2020-03-02,1501,66,291,145,1290,1144,523,12,116,29,482,395,4.4,19.39,76.22,-1.11,1.5,-0.35
2020-03-03,2336,77,291,180,2079,1968,835,11,0,35,789,824,3.3,12.46,84.25,-1.1,-6.93,8.03
2020-03-04,2922,92,552,222,2608,2278,586,15,261,42,529,310,3.15,18.89,77.96,-0.14,6.43,-6.29
2020-03-05,3513,107,739,271,3135,2667,591,15,187,49,527,389,3.05,21.04,75.92,-0.1,2.14,-2.03
2020-03-06,4747,124,913,329,4294,3710,1234,17,174,58,1159,1043,2.61,19.23,78.15,-0.43,-1.8,2.23
2020-03-07,5823,145,1669,397,5281,4009,1076,21,756,68,987,299,2.49,28.66,68.85,-0.11,9.43,-9.3
2020-03-08,6566,194,2134,477,5895,4238,743,49,465,80,614,229,2.95,32.5,64.54,0.46,3.84,-4.3
2020-03-09,7161,237,2394,570,6354,4530,595,43,260,93,459,292,3.31,33.43,63.26,0.35,0.92,-1.28
2020-03-10,8042,291,2731,677,7074,5020,881,54,337,107,720,490,3.62,33.96,62.42,0.31,0.53,-0.83
2020-03-11,9000,354,2959,801,7845,5687,958,63,228,124,771,667,3.93,32.88,63.19,0.31,-1.07,0.76
2020-03-12,10075,429,2959,943,8703,6687,1075,75,0,142,858,1000,4.26,29.37,66.37,0.32,-3.51,3.18
2020-03-13,11364,514,2959,1105,9745,7891,1289,85,0,162,1042,1204,4.52,26.04,69.44,0.25,-3.33,3.06
2020-03-14,12729,611,2959,1288,10830,9159,1365,97,0,183,1085,1268,4.8,23.25,71.95,0.28,-2.78,2.51
2020-03-15,13938,724,4590,1495,11719,8624,1209,113,1631,207,889,-535,5.19,32.93,61.87,0.39,9.68,-10.08
2020-03-16,14991,853,4590,1728,12410,9548,1053,129,0,233,691,924,5.69,30.62,63.69,0.5,-2.3,1.82
2020-03-17,16169,988,5389,1988,13193,9792,1178,135,799,260,783,244,6.11,33.33,60.56,0.41,2.7,-3.12
2020-03-18,17361,1135,5389,2278,13948,10837,1192,147,0,290,755,1045,6.54,31.04,62.42,0.42,-2.28,1.85
