,Total Confirmed,Total Deaths,Total Recovered,Total Recovered_Est,Total Active_Est,Total Active,Daily New Confirmed,Daily New Deaths,Daily New Recovered,Daily New Recovered_Est,Daily New Active_Est,Daily New Active,Total Mortality_Rate,Total Recovery_Rate,Total Activity_Rate,Change in Mortality_Rate,Change in Recovery_Rate,Change in Activity_Rate
2020-01-22,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-23,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-24,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-25,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-26,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-27,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-28,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-29,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-30,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-31,2,0,0,0,2,2,2,0,0,0,2,2,0.0,0.0,100.0,0.0,0.0,100.0
2020-02-01,2,0,0,0,2,2,0,0,0,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0
2020-02-02,2,0,0,0,2,2,0,0,0,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0
2020-02-03,2,0,0,0,2,2,0,0,0,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0
2020-02-04,2,0,0,0,2,2,0,0,0,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0
2020-02-05,2,0,0,0,2,2,0,0,0,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0
2020-02-06,2,0,0,0,2,2,0,0,0,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0
2020-02-07,3,0,0,0,3,3,1,0,0,0,1,1,0.0,0.0,100.0,0.0,0.0,0.0
2020-02-08,3,0,0,0,3,3,0,0,0,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0
2020-02-09,3,0,0,0,3,3,0,0,0,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0
2020-02-10,3,0,0,0,3,3,0,0,0,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0
2020-02-11,3,0,0,0,3,3,0,0,0,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0
2020-02-12,3,0,0,0,3,3,0,0,0,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0
2020-02-13,3,0,0,0,3,3,0,0,0,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0
2020-02-14,3,0,0,0,3,3,0,0,0,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0
2020-02-15,3,0,0,0,3,3,0,0,0,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0
2020-02-16,3,0,0,1,2,3,0,0,0,1,-1,0,0.0,0.0,100.0,0.0,0.0,0.0
2020-02-17,3,0,0,2,1,3,0,0,0,1,-1,0,0.0,0.0,100.0,0.0,0.0,0.0
2020-02-18,3,0,0,4,-1,3,0,0,0,2,-2,0,0.0,0.0,100.0,0.0,0.0,0.0
2020-02-19,3,0,0,6,-3,3,0,0,0,2,-2,0,0.0,0.0,100.0,0.0,0.0,0.0
2020-02-20,3,0,0,9,-6,3,0,0,0,3,-3,0,0.0,0.0,100.0,0.0,0.0,0.0
2020-02-21,20,1,0,13,6,19,17,1,0,4,12,16,5.0,0.0,95.0,5.0,0.0,-5.0
2020-02-22,62,2,1,18,42,59,42,1,1,5,36,40,3.23,1.61,95.16,-1.77,1.61,0.15
2020-02-23,155,3,2,25,127,150,93,1,1,7,85,91,1.94,1.29,96.77,-1.29,-0.32,1.6
2020-02-24,229,7,1,34,188,221,74,4,-1,9,61,71,3.06,0.44,96.51,1.12,-0.85,-0.25
2020-02-25,322,10,1,46,266,311,93,3,0,12,78,90,3.11,0.31,96.58,0.04,-0.13,0.06
2020-02-26,453,12,3,61,380,438,131,2,2,15,114,127,2.65,0.66,96.69,-0.46,0.35,0.1
2020-02-27,655,17,45,79,559,593,202,5,42,18,179,155,2.6,6.87,90.53,-0.04,6.21,-6.15
2020-02-28,888,21,46,102,765,821,233,4,1,23,206,228,2.36,5.18,92.45,-0.24,-1.69,1.92
2020-02-29,1128,29,46,130,969,1053,240,8,0,28,204,232,2.57,4.08,93.35,0.2,-1.09,0.89
2020-03-01,1694,34,83,165,1495,1577,566,5,37,35,526,524,2.01,4.9,93.09,-0.56,0.82,-0.25
2020-03-02,2036,52,149,208,1776,1835,342,18,66,43,281,258,2.55,7.32,90.13,0.54,2.42,-2.96
2020-03-03,2502,79,160,260,2163,2263,466,27,11,52,387,428,3.16,6.39,90.45,0.61,-0.93,0.32
2020-03-04,3089,107,276,323,2659,2706,587,28,116,63,496,443,3.46,8.93,87.6,0.29,2.54,-2.85
2020-03-05,3858,148,414,399,3311,3296,769,41,138,76,652,590,3.84,10.73,85.43,0.37,1.8,-2.16
2020-03-06,4636,197,523,489,3950,3916,778,49,109,90,639,620,4.25,11.28,84.47,0.41,0.54,-0.96
2020-03-07,5883,233,589,596,5054,5061,1247,36,66,107,1104,1145,3.96,10.01,86.03,-0.29,-1.26,1.56
2020-03-08,7375,366,622,723,6286,6387,1492,133,33,127,1232,1326,4.96,8.43,86.6,1.0,-1.58,0.56
2020-03-09,9172,463,724,873,7836,7985,1797,97,102,150,1550,1598,5.05,7.89,87.06,0.08,-0.54,0.46
2020-03-10,10149,631,724,1049,8469,8794,977,168,0,176,633,809,6.22,7.13,86.65,1.17,-0.75,-0.4
2020-03-11,12462,827,1045,1255,10380,10590,2313,196,321,206,1911,1796,6.64,8.39,84.98,0.41,1.26,-1.67
2020-03-12,12462,827,1045,1494,10141,10590,0,0,0,239,-239,0,6.64,8.39,84.98,0.0,0.0,0.0
2020-03-13,17660,1266,1439,1771,14623,14955,5198,439,394,277,4482,4365,7.17,8.15,84.68,0.53,-0.24,-0.29
2020-03-14,21157,1441,1966,2091,17625,17750,3497,175,527,320,3002,2795,6.81,9.29,83.9,-0.36,1.13,-0.78
2020-03-15,24747,1809,2335,2459,20479,20603,3590,368,369,368,2854,2853,7.31,9.44,83.25,0.5,0.15,-0.65
2020-03-16,27980,2158,2749,2879,22943,23073,3233,349,414,420,2464,2470,7.71,9.82,82.46,0.4,0.38,-0.79
2020-03-17,31506,2503,2941,3358,25645,26062,3526,345,192,479,2702,2989,7.94,9.33,82.72,0.23,-0.49,0.26
2020-03-18,35713,2978,4025,3902,28833,28710,4207,475,1084,544,3188,2648,8.34,11.27,80.39,0.39,1.93,-2.32
