,2020-01-22,2020-01-23,2020-01-24,2020-01-25,2020-01-26,2020-01-27,2020-01-28,2020-01-29,2020-01-30,2020-01-31,2020-02-01,2020-02-02,2020-02-03,2020-02-04,2020-02-05,2020-02-06,2020-02-07,2020-02-08,2020-02-09,2020-02-10,2020-02-11,2020-02-12,2020-02-13,2020-02-14,2020-02-15,2020-02-16,2020-02-17,2020-02-18,2020-02-19,2020-02-20,2020-02-21,2020-02-22,2020-02-23,2020-02-24,2020-02-25,2020-02-26,2020-02-27,2020-02-28,2020-02-29,2020-03-01,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20
Total Confirmed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,20.0,62.0,155.0,229.0,322.0,453.0,655.0,888.0,1128.0,1694.0,2036.0,2502.0,3089.0,3858.0,4636.0,5883.0,7375.0,9172.0,10149.0,12462.0,12462.0,17660.0,21157.0,24747.0,27980.0,31506.0,35713.0,41035.0,47021.0,53578.0,59138.0,63927.0,69176.0,74386.0,80589.0,86498.0,92472.0,97689.0,101739.0,105792.0,110574.0,115242.0,119827.0,124632.0,128948.0,132547.0,135586.0,139422.0,143626.0,147577.0,152271.0,156363.0,159516.0,162488.0,165155.0,168941.0,172434.0,175925.0,178972.0,178972.0
Total Deaths,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,7.0,10.0,12.0,17.0,21.0,29.0,34.0,52.0,79.0,107.0,148.0,197.0,233.0,366.0,463.0,631.0,827.0,827.0,1266.0,1441.0,1809.0,2158.0,2503.0,2978.0,3405.0,4032.0,4825.0,5476.0,6077.0,6820.0,7503.0,8215.0,9134.0,10023.0,10779.0,11591.0,12428.0,13155.0,13915.0,14681.0,15362.0,15887.0,16523.0,17127.0,17669.0,18279.0,18849.0,19468.0,19899.0,20465.0,21067.0,21645.0,22170.0,22745.0,23227.0,23660.0,23660.0
Total Recovered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,3.0,45.0,46.0,46.0,83.0,149.0,160.0,276.0,414.0,523.0,589.0,622.0,724.0,724.0,1045.0,1045.0,1439.0,1966.0,2335.0,2749.0,2941.0,4025.0,4440.0,4440.0,6072.0,7024.0,7024.0,8326.0,9362.0,10361.0,10950.0,12384.0,13030.0,14620.0,15729.0,16847.0,18278.0,19758.0,20996.0,21815.0,22837.0,24392.0,26491.0,28470.0,30455.0,32534.0,34211.0,35435.0,37130.0,38092.0,40164.0,42727.0,44927.0,47055.0,47055.0
Total Recovered_Est,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,4.0,6.0,9.0,13.0,18.0,25.0,34.0,46.0,61.0,79.0,102.0,130.0,165.0,208.0,260.0,323.0,399.0,489.0,596.0,723.0,873.0,1049.0,1255.0,1494.0,1771.0,2091.0,2459.0,2879.0,3358.0,3902.0,4517.0,5210.0,5987.0,6855.0,7822.0,8894.0,10078.0,11380.0,12807.0,14364.0,16056.0,17889.0,19866.0,21990.0,24264.0,26688.0,29262.0,31985.0,34855.0,37869.0,41022.0,44308.0,47721.0,51253.0,54895.0,58637.0,62470.0,66382.0,70362.0,74397.0,78475.0,82583.0,86709.0
Total Active_Est,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,1.0,-1.0,-3.0,-6.0,6.0,42.0,127.0,188.0,266.0,380.0,559.0,765.0,969.0,1495.0,1776.0,2163.0,2659.0,3311.0,3950.0,5054.0,6286.0,7836.0,8469.0,10380.0,10141.0,14623.0,17625.0,20479.0,22943.0,25645.0,28833.0,33113.0,37779.0,42766.0,46807.0,50028.0,53462.0,56805.0,60994.0,64557.0,68085.0,70854.0,72259.0,73498.0,75429.0,77063.0,78458.0,80008.0,81076.0,81169.0,80590.0,80731.0,81039.0,81007.0,81550.0,81569.0,80414.0,78951.0,77128.0,76409.0,75292.0,74223.0,72729.0,68603.0
Total Active,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,19.0,59.0,150.0,221.0,311.0,438.0,593.0,821.0,1053.0,1577.0,1835.0,2263.0,2706.0,3296.0,3916.0,5061.0,6387.0,7985.0,8794.0,10590.0,10590.0,14955.0,17750.0,20603.0,23073.0,26062.0,28710.0,33190.0,38549.0,42681.0,46638.0,50826.0,54030.0,57521.0,62013.0,66414.0,70065.0,73880.0,75528.0,77635.0,80572.0,83049.0,85388.0,88274.0,91246.0,93187.0,94067.0,95262.0,96877.0,98273.0,100269.0,102253.0,103616.0,104291.0,105418.0,106607.0,106962.0,107771.0,108257.0,108257.0
Daily New Confirmed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,42.0,93.0,74.0,93.0,131.0,202.0,233.0,240.0,566.0,342.0,466.0,587.0,769.0,778.0,1247.0,1492.0,1797.0,977.0,2313.0,0.0,5198.0,3497.0,3590.0,3233.0,3526.0,4207.0,5322.0,5986.0,6557.0,5560.0,4789.0,5249.0,5210.0,6203.0,5909.0,5974.0,5217.0,4050.0,4053.0,4782.0,4668.0,4585.0,4805.0,4316.0,3599.0,3039.0,3836.0,4204.0,3951.0,4694.0,4092.0,3153.0,2972.0,2667.0,3786.0,3493.0,3491.0,3047.0,0.0
Daily New Deaths,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,4.0,3.0,2.0,5.0,4.0,8.0,5.0,18.0,27.0,28.0,41.0,49.0,36.0,133.0,97.0,168.0,196.0,0.0,439.0,175.0,368.0,349.0,345.0,475.0,427.0,627.0,793.0,651.0,601.0,743.0,683.0,712.0,919.0,889.0,756.0,812.0,837.0,727.0,760.0,766.0,681.0,525.0,636.0,604.0,542.0,610.0,570.0,619.0,431.0,566.0,602.0,578.0,525.0,575.0,482.0,433.0,0.0
Daily New Recovered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,-1.0,0.0,2.0,42.0,1.0,0.0,37.0,66.0,11.0,116.0,138.0,109.0,66.0,33.0,102.0,0.0,321.0,0.0,394.0,527.0,369.0,414.0,192.0,1084.0,415.0,0.0,1632.0,952.0,0.0,1302.0,1036.0,999.0,589.0,1434.0,646.0,1590.0,1109.0,1118.0,1431.0,1480.0,1238.0,819.0,1022.0,1555.0,2099.0,1979.0,1985.0,2079.0,1677.0,1224.0,1695.0,962.0,2072.0,2563.0,2200.0,2128.0,0.0
Daily New Recovered_Est,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,3.0,4.0,5.0,7.0,9.0,12.0,15.0,18.0,23.0,28.0,35.0,43.0,52.0,63.0,76.0,90.0,107.0,127.0,150.0,176.0,206.0,239.0,277.0,320.0,368.0,420.0,479.0,544.0,615.0,693.0,777.0,868.0,967.0,1072.0,1184.0,1302.0,1427.0,1557.0,1692.0,1833.0,1977.0,2124.0,2274.0,2424.0,2574.0,2723.0,2870.0,3014.0,3153.0,3286.0,3413.0,3532.0,3642.0,3742.0,3833.0,3912.0,3980.0,4035.0,4078.0,4108.0,4126.0
