,2020-01-22,2020-01-23,2020-01-24,2020-01-25,2020-01-26,2020-01-27,2020-01-28,2020-01-29,2020-01-30,2020-01-31,2020-02-01,2020-02-02,2020-02-03,2020-02-04,2020-02-05,2020-02-06,2020-02-07,2020-02-08,2020-02-09,2020-02-10,2020-02-11,2020-02-12,2020-02-13,2020-02-14,2020-02-15,2020-02-16,2020-02-17,2020-02-18,2020-02-19,2020-02-20,2020-02-21,2020-02-22,2020-02-23,2020-02-24,2020-02-25,2020-02-26,2020-02-27,2020-02-28,2020-02-29,2020-03-01,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20
Total Confirmed,2.0,2.0,2.0,2.0,4.0,4.0,7.0,7.0,11.0,15.0,20.0,20.0,20.0,22.0,22.0,22.0,25.0,25.0,26.0,26.0,26.0,28.0,28.0,29.0,43.0,59.0,66.0,74.0,84.0,94.0,105.0,122.0,147.0,159.0,170.0,189.0,214.0,228.0,241.0,256.0,274.0,293.0,331.0,360.0,420.0,461.0,502.0,511.0,581.0,639.0,639.0,701.0,773.0,839.0,839.0,878.0,889.0,924.0,963.0,1007.0,1101.0,1128.0,1193.0,1307.0,1387.0,1468.0,1693.0,1866.0,1866.0,1953.0,2178.0,2495.0,2617.0,3139.0,3139.0,3654.0,3906.0,4257.0,4667.0,5530.0,6005.0,6748.0,7370.0,7645.0,8100.0,8626.0,9787.0,10296.0,10797.0,10797.0
Total Deaths,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,4.0,4.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,10.0,10.0,15.0,16.0,19.0,22.0,22.0,27.0,29.0,29.0,29.0,33.0,35.0,41.0,42.0,43.0,45.0,47.0,49.0,52.0,54.0,54.0,56.0,57.0,62.0,63.0,77.0,77.0,85.0,92.0,93.0,94.0,99.0,99.0,108.0,123.0,143.0,146.0,178.0,190.0,222.0,236.0,236.0
Total Recovered,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,9.0,9.0,9.0,9.0,12.0,12.0,12.0,13.0,18.0,18.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,32.0,32.0,32.0,43.0,43.0,43.0,46.0,76.0,76.0,76.0,101.0,118.0,118.0,118.0,118.0,118.0,144.0,144.0,144.0,150.0,191.0,232.0,235.0,235.0,285.0,310.0,359.0,372.0,404.0,424.0,424.0,424.0,472.0,472.0,514.0,514.0,514.0,575.0,592.0,622.0,632.0,685.0,762.0,762.0,784.0,799.0,853.0,901.0,935.0,1069.0,1159.0,1159.0
Total Recovered_Est,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,9.0,11.0,13.0,15.0,18.0,21.0,24.0,28.0,32.0,37.0,42.0,48.0,54.0,61.0,68.0,76.0,85.0,95.0,105.0,116.0,128.0,141.0,155.0,170.0,186.0,204.0,223.0,243.0,265.0,288.0,313.0,339.0,367.0,397.0,429.0,463.0,499.0,538.0,580.0,625.0,673.0,724.0,779.0,838.0,902.0,971.0,1046.0,1126.0,1213.0,1307.0,1408.0,1518.0,1636.0,1763.0,1900.0,2047.0,2204.0,2372.0,2551.0
Total Active_Est,2.0,2.0,2.0,2.0,4.0,4.0,7.0,7.0,11.0,15.0,20.0,20.0,20.0,22.0,22.0,22.0,25.0,25.0,26.0,26.0,26.0,28.0,27.0,28.0,41.0,56.0,62.0,69.0,78.0,87.0,97.0,112.0,135.0,145.0,154.0,169.0,189.0,200.0,208.0,218.0,231.0,245.0,277.0,300.0,353.0,387.0,420.0,416.0,476.0,519.0,507.0,554.0,610.0,662.0,642.0,663.0,656.0,672.0,687.0,707.0,772.0,773.0,811.0,895.0,943.0,990.0,1178.0,1313.0,1274.0,1317.0,1496.0,1760.0,1830.0,2283.0,2224.0,2667.0,2843.0,3118.0,3447.0,4218.0,4599.0,5232.0,5729.0,5866.0,6191.0,6548.0,7550.0,7870.0,8189.0,8010.0
Total Active,2.0,2.0,2.0,2.0,3.0,3.0,6.0,6.0,10.0,14.0,19.0,19.0,19.0,21.0,21.0,21.0,24.0,24.0,25.0,22.0,17.0,19.0,18.0,19.0,30.0,46.0,53.0,60.0,65.0,75.0,82.0,99.0,124.0,136.0,147.0,165.0,188.0,202.0,204.0,218.0,236.0,244.0,282.0,311.0,368.0,379.0,420.0,425.0,470.0,506.0,505.0,564.0,633.0,699.0,668.0,705.0,716.0,745.0,739.0,740.0,825.0,851.0,865.0,952.0,981.0,1047.0,1237.0,1388.0,1388.0,1473.0,1649.0,1961.0,2040.0,2548.0,2548.0,2994.0,3222.0,3542.0,3941.0,4746.0,5144.0,5878.0,6463.0,6703.0,7101.0,7547.0,8662.0,9005.0,9402.0,9402.0
Daily New Confirmed,2.0,0.0,0.0,0.0,2.0,0.0,3.0,0.0,4.0,4.0,5.0,0.0,0.0,2.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0,14.0,16.0,7.0,8.0,10.0,10.0,11.0,17.0,25.0,12.0,11.0,19.0,25.0,14.0,13.0,15.0,18.0,19.0,38.0,29.0,60.0,41.0,41.0,9.0,70.0,58.0,0.0,62.0,72.0,66.0,0.0,39.0,11.0,35.0,39.0,44.0,94.0,27.0,65.0,114.0,80.0,81.0,225.0,173.0,0.0,87.0,225.0,317.0,122.0,522.0,0.0,515.0,252.0,351.0,410.0,863.0,475.0,743.0,622.0,275.0,455.0,526.0,1161.0,509.0,501.0,0.0
Daily New Deaths,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,5.0,1.0,3.0,3.0,0.0,5.0,2.0,0.0,0.0,4.0,2.0,6.0,1.0,1.0,2.0,2.0,2.0,3.0,2.0,0.0,2.0,1.0,5.0,1.0,14.0,0.0,8.0,7.0,1.0,1.0,5.0,0.0,9.0,15.0,20.0,3.0,32.0,12.0,32.0,14.0,0.0
Daily New Recovered,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,5.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,11.0,0.0,0.0,3.0,30.0,0.0,0.0,25.0,17.0,0.0,0.0,0.0,0.0,26.0,0.0,0.0,6.0,41.0,41.0,3.0,0.0,50.0,25.0,49.0,13.0,32.0,20.0,0.0,0.0,48.0,0.0,42.0,0.0,0.0,61.0,17.0,30.0,10.0,53.0,77.0,0.0,22.0,15.0,54.0,48.0,34.0,134.0,90.0,0.0
Daily New Recovered_Est,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,4.0,4.0,5.0,5.0,6.0,6.0,7.0,7.0,8.0,9.0,10.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,18.0,19.0,20.0,22.0,23.0,25.0,26.0,28.0,30.0,32.0,34.0,36.0,39.0,42.0,45.0,48.0,51.0,55.0,59.0,64.0,69.0,75.0,80.0,87.0,94.0,101.0,110.0,118.0,127.0,137.0,147.0,157.0,168.0,179.0
