,2020-01-22,2020-01-23,2020-01-24,2020-01-25,2020-01-26,2020-01-27,2020-01-28,2020-01-29,2020-01-30,2020-01-31,2020-02-01,2020-02-02,2020-02-03,2020-02-04,2020-02-05,2020-02-06,2020-02-07,2020-02-08,2020-02-09,2020-02-10,2020-02-11,2020-02-12,2020-02-13,2020-02-14,2020-02-15,2020-02-16,2020-02-17,2020-02-18,2020-02-19,2020-02-20,2020-02-21,2020-02-22,2020-02-23,2020-02-24,2020-02-25,2020-02-26,2020-02-27,2020-02-28,2020-02-29,2020-03-01,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20
Total Confirmed,1.0,1.0,2.0,2.0,3.0,4.0,4.0,4.0,4.0,11.0,12.0,15.0,15.0,16.0,19.0,23.0,24.0,24.0,25.0,27.0,28.0,28.0,28.0,28.0,28.0,29.0,30.0,31.0,31.0,104.0,204.0,433.0,602.0,833.0,977.0,1261.0,1766.0,2337.0,3150.0,3736.0,4335.0,5186.0,5621.0,6088.0,6593.0,7041.0,7314.0,7478.0,7513.0,7755.0,7869.0,7979.0,8086.0,8162.0,8236.0,8320.0,8413.0,8565.0,8652.0,8799.0,8961.0,8961.0,9037.0,9137.0,9241.0,9332.0,9478.0,9583.0,9661.0,9786.0,9887.0,9976.0,10062.0,10156.0,10237.0,10284.0,10331.0,10384.0,10423.0,10450.0,10480.0,10512.0,10537.0,10564.0,10591.0,10613.0,10635.0,10653.0,10661.0,10674.0
Total Deaths,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,6.0,8.0,10.0,12.0,13.0,13.0,16.0,17.0,28.0,28.0,35.0,35.0,42.0,44.0,50.0,53.0,54.0,60.0,66.0,66.0,72.0,75.0,75.0,81.0,84.0,91.0,94.0,102.0,111.0,111.0,120.0,126.0,131.0,139.0,144.0,152.0,158.0,162.0,165.0,169.0,174.0,177.0,183.0,186.0,192.0,200.0,204.0,208.0,211.0,214.0,217.0,222.0,225.0,229.0,230.0,232.0,234.0,236.0
Total Recovered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,3.0,3.0,7.0,7.0,7.0,9.0,9.0,10.0,12.0,12.0,16.0,16.0,16.0,18.0,18.0,22.0,22.0,22.0,22.0,27.0,30.0,30.0,30.0,41.0,41.0,135.0,135.0,118.0,118.0,247.0,288.0,333.0,510.0,510.0,510.0,1137.0,1407.0,1540.0,1540.0,1540.0,1540.0,2909.0,2909.0,3507.0,3730.0,4144.0,4528.0,4811.0,5033.0,5228.0,5408.0,5567.0,5828.0,6021.0,6325.0,6463.0,6598.0,6694.0,6776.0,6973.0,7117.0,7243.0,7368.0,7447.0,7534.0,7616.0,7757.0,7829.0,7937.0,8042.0,8114.0
Total Recovered_Est,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,5.0,7.0,10.0,14.0,19.0,25.0,32.0,41.0,52.0,65.0,81.0,100.0,122.0,148.0,178.0,213.0,254.0,301.0,355.0,417.0,487.0,566.0,655.0,754.0,864.0,985.0,1117.0,1261.0,1417.0,1585.0,1765.0,1956.0,2158.0,2371.0,2594.0,2826.0,3066.0,3313.0,3566.0,3823.0,4083.0,4345.0,4608.0,4870.0,5131.0,5389.0,5642.0,5890.0,6132.0,6368.0,6596.0,6816.0,7028.0,7232.0,7427.0,7613.0,7791.0,7960.0,8121.0,8274.0,8419.0,8557.0,8687.0,8811.0,8928.0,9039.0,9145.0
Total Active_Est,1.0,1.0,2.0,2.0,3.0,4.0,4.0,4.0,4.0,11.0,12.0,15.0,15.0,16.0,19.0,23.0,24.0,24.0,25.0,27.0,27.0,26.0,25.0,23.0,21.0,19.0,16.0,12.0,6.0,71.0,161.0,379.0,531.0,744.0,867.0,1127.0,1605.0,2146.0,2921.0,3465.0,4006.0,4803.0,5169.0,5566.0,5985.0,6342.0,6510.0,6561.0,6474.0,6578.0,6542.0,6496.0,6429.0,6322.0,6205.0,6081.0,5958.0,5880.0,5732.0,5631.0,5537.0,5284.0,5094.0,4928.0,4765.0,4585.0,4464.0,4300.0,4114.0,3982.0,3832.0,3675.0,3520.0,3383.0,3238.0,3070.0,2907.0,2757.0,2606.0,2451.0,2309.0,2177.0,2046.0,1923.0,1809.0,1697.0,1594.0,1493.0,1388.0,1293.0
Total Active,1.0,1.0,2.0,2.0,3.0,4.0,4.0,4.0,4.0,11.0,12.0,15.0,15.0,16.0,19.0,23.0,23.0,23.0,22.0,24.0,25.0,21.0,21.0,21.0,19.0,20.0,20.0,19.0,19.0,87.0,186.0,415.0,578.0,807.0,945.0,1227.0,1731.0,2302.0,3107.0,3689.0,4277.0,5128.0,5545.0,6012.0,6416.0,6862.0,7146.0,7307.0,7212.0,7407.0,7470.0,7403.0,7504.0,7577.0,7024.0,6832.0,6789.0,6934.0,7018.0,7157.0,5941.0,5941.0,5410.0,5281.0,4966.0,4665.0,4523.0,4398.0,4275.0,4216.0,4155.0,3979.0,3867.0,3654.0,3591.0,3500.0,3445.0,3408.0,3246.0,3125.0,3026.0,2930.0,2873.0,2808.0,2750.0,2627.0,2576.0,2484.0,2385.0,2324.0
Daily New Confirmed,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,7.0,1.0,3.0,0.0,1.0,3.0,4.0,1.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,73.0,100.0,229.0,169.0,231.0,144.0,284.0,505.0,571.0,813.0,586.0,599.0,851.0,435.0,467.0,505.0,448.0,273.0,164.0,35.0,242.0,114.0,110.0,107.0,76.0,74.0,84.0,93.0,152.0,87.0,147.0,162.0,0.0,76.0,100.0,104.0,91.0,146.0,105.0,78.0,125.0,101.0,89.0,86.0,94.0,81.0,47.0,47.0,53.0,39.0,27.0,30.0,32.0,25.0,27.0,27.0,22.0,22.0,18.0,8.0,13.0
Daily New Deaths,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,4.0,2.0,2.0,2.0,1.0,0.0,3.0,1.0,11.0,0.0,7.0,0.0,7.0,2.0,6.0,3.0,1.0,6.0,6.0,0.0,6.0,3.0,0.0,6.0,3.0,7.0,3.0,8.0,9.0,0.0,9.0,6.0,5.0,8.0,5.0,8.0,6.0,4.0,3.0,4.0,5.0,3.0,6.0,3.0,6.0,8.0,4.0,4.0,3.0,3.0,3.0,5.0,3.0,4.0,1.0,2.0,2.0,2.0
Daily New Recovered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,4.0,0.0,0.0,2.0,0.0,1.0,2.0,0.0,4.0,0.0,0.0,2.0,0.0,4.0,0.0,0.0,0.0,5.0,3.0,0.0,0.0,11.0,0.0,94.0,0.0,-17.0,0.0,129.0,41.0,45.0,177.0,0.0,0.0,627.0,270.0,133.0,0.0,0.0,0.0,1369.0,0.0,598.0,223.0,414.0,384.0,283.0,222.0,195.0,180.0,159.0,261.0,193.0,304.0,138.0,135.0,96.0,82.0,197.0,144.0,126.0,125.0,79.0,87.0,82.0,141.0,72.0,108.0,105.0,72.0
Daily New Recovered_Est,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,2.0,3.0,4.0,5.0,6.0,7.0,9.0,11.0,13.0,16.0,19.0,22.0,26.0,30.0,35.0,41.0,47.0,54.0,62.0,70.0,79.0,89.0,99.0,110.0,121.0,132.0,144.0,156.0,168.0,180.0,191.0,202.0,213.0,223.0,232.0,240.0,247.0,253.0,257.0,260.0,262.0,263.0,262.0,261.0,258.0,253.0,248.0,242.0,236.0,228.0,220.0,212.0,204.0,195.0,186.0,178.0,169.0,161.0,153.0,145.0,138.0,130.0,124.0,117.0,111.0,106.0
