,Total Confirmed,Total Deaths,Total Recovered_Old,Total Recovered,Total Active,Total Active_Old,Change in Confirmed,Change in Deaths,Change in Recovered_Old,Change in Recovered,Change in Active,Change in Active_Old
2020-01-22,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-01-23,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-01-24,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-01-25,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-01-26,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-01-27,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-01-28,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-01-29,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-01-30,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-01-31,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-01,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-02,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-03,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-04,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-05,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-06,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-07,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-08,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-09,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-10,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-11,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-12,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-13,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-14,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-15,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-16,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-17,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-18,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-19,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-20,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-21,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-22,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-23,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-24,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-25,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-26,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-27,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-28,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-29,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-03-01,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-03-02,1,0,0,0,1,1,1,0,0,0,1,1.0
2020-03-03,1,0,0,0,1,1,0,0,0,0,0,0.0
2020-03-04,1,0,0,0,1,1,0,0,0,0,0,0.0
2020-03-05,2,0,0,0,2,2,1,0,0,0,1,1.0
2020-03-06,2,0,0,0,2,2,0,0,0,0,0,0.0
2020-03-07,2,0,0,0,2,2,0,0,0,0,0,0.0
2020-03-08,2,0,0,0,2,2,0,0,0,0,0,0.0
2020-03-09,2,0,0,0,2,2,0,0,0,0,0,0.0
2020-03-10,3,1,0,0,2,2,1,1,0,0,0,0.0
2020-03-11,5,1,0,0,4,4,2,0,0,0,2,2.0
2020-03-12,6,1,0,0,5,5,1,0,0,0,1,1.0
2020-03-13,7,1,1,0,6,5,1,0,1,0,1,0.0
2020-03-14,17,1,1,0,16,15,10,0,0,0,10,10.0
2020-03-15,28,1,1,0,27,26,11,0,0,0,11,11.0
2020-03-16,29,1,1,0,28,27,1,0,0,0,1,1.0
2020-03-17,38,2,1,0,36,35,9,1,0,0,8,8.0
2020-03-18,49,2,1,0,47,46,11,0,0,0,11,11.0
2020-03-19,63,2,1,1,60,60,14,0,0,1,13,14.0
2020-03-20,77,3,1,2,72,73,14,1,0,1,12,13.0
2020-03-21,96,3,3,3,90,90,19,0,2,1,18,17.0
2020-03-22,115,4,3,4,107,108,19,1,0,1,17,18.0
2020-03-23,143,4,3,6,133,136,28,0,0,2,26,28.0
2020-03-24,170,5,6,8,157,159,27,1,3,2,24,23.0
2020-03-25,225,6,7,10,209,212,55,1,1,2,52,53.0
2020-03-26,275,11,8,13,251,256,50,5,1,3,42,44.0
2020-03-27,345,23,11,16,306,311,70,12,3,3,55,55.0
2020-03-28,402,25,11,19,358,366,57,2,0,3,52,55.0
