,Total Confirmed,Total Deaths,Total Recovered,Total Recovered_Est,Total Active_Est,Total Active,Daily New Confirmed,Daily New Deaths,Daily New Recovered,Daily New Recovered_Est,Daily New Active_Est,Daily New Active,Total Mortality_Rate,Total Recovery_Rate,Total Activity_Rate,Change in Mortality_Rate,Change in Recovery_Rate,Change in Activity_Rate
2020-01-22,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-23,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-24,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-25,3,0,0,0,3,3,3,0,0,0,3,3,0.0,0.0,100.0,0.0,0.0,100.0
2020-01-26,4,0,0,0,4,4,1,0,0,0,1,1,0.0,0.0,100.0,0.0,0.0,0.0
2020-01-27,4,0,0,0,4,4,0,0,0,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0
2020-01-28,4,0,0,0,4,4,0,0,0,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0
2020-01-29,7,0,0,0,7,7,3,0,0,0,3,3,0.0,0.0,100.0,0.0,0.0,0.0
2020-01-30,8,0,0,0,8,8,1,0,0,0,1,1,0.0,0.0,100.0,0.0,0.0,0.0
2020-01-31,8,0,0,0,8,8,0,0,0,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0
2020-02-01,8,0,0,0,8,8,0,0,0,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0
2020-02-02,8,0,0,0,8,8,0,0,0,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0
2020-02-03,8,0,0,0,8,8,0,0,0,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0
2020-02-04,10,0,0,0,10,10,2,0,0,0,2,2,0.0,0.0,100.0,0.0,0.0,0.0
2020-02-05,12,0,0,0,12,12,2,0,0,0,2,2,0.0,0.0,100.0,0.0,0.0,0.0
2020-02-06,12,0,0,0,12,12,0,0,0,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0
2020-02-07,12,0,1,0,12,11,0,0,1,0,0,-1,0.0,8.33,91.67,0.0,8.33,-8.32
2020-02-08,16,0,1,0,16,15,4,0,0,0,4,4,0.0,6.25,93.75,0.0,-2.08,2.07
2020-02-09,16,0,1,0,16,15,0,0,0,0,0,0,0.0,6.25,93.75,0.0,0.0,0.0
2020-02-10,18,0,1,0,18,17,2,0,0,0,2,2,0.0,5.56,94.44,0.0,-0.69,0.68
2020-02-11,18,0,3,0,18,15,0,0,2,0,0,-2,0.0,16.67,83.33,0.0,11.11,-11.11
2020-02-12,18,0,3,0,18,15,0,0,0,0,0,0,0.0,16.67,83.33,0.0,0.0,0.0
2020-02-13,19,0,3,0,19,16,1,0,0,0,1,1,0.0,15.79,84.21,0.0,-0.88,0.87
2020-02-14,19,0,3,0,19,16,0,0,0,0,0,0,0.0,15.79,84.21,0.0,0.0,0.0
2020-02-15,22,0,7,0,22,15,3,0,4,0,3,-1,0.0,31.82,68.18,0.0,16.03,-16.02
2020-02-16,22,0,7,0,22,15,0,0,0,0,0,0,0.0,31.82,68.18,0.0,0.0,0.0
2020-02-17,22,0,7,0,22,15,0,0,0,0,0,0,0.0,31.82,68.18,0.0,0.0,0.0
2020-02-18,22,0,13,0,22,9,0,0,6,0,0,-6,0.0,59.09,40.91,0.0,27.27,-27.27
2020-02-19,22,0,15,0,22,7,0,0,2,0,0,-2,0.0,68.18,31.82,0.0,9.09,-9.08
2020-02-20,22,0,15,0,22,7,0,0,0,0,0,0,0.0,68.18,31.82,0.0,0.0,0.0
2020-02-21,22,0,15,0,22,7,0,0,0,0,0,0,0.0,68.18,31.82,0.0,0.0,0.0
2020-02-22,22,0,15,0,22,7,0,0,0,0,0,0,0.0,68.18,31.82,0.0,0.0,0.0
2020-02-23,22,0,15,0,22,7,0,0,0,0,0,0,0.0,68.18,31.82,0.0,0.0,0.0
2020-02-24,22,0,18,0,22,4,0,0,3,0,0,-3,0.0,81.82,18.18,0.0,13.63,-13.64
2020-02-25,22,0,18,0,22,4,0,0,0,0,0,0,0.0,81.82,18.18,0.0,0.0,0.0
2020-02-26,22,0,18,0,22,4,0,0,0,0,0,0,0.0,81.82,18.18,0.0,0.0,0.0
2020-02-27,23,0,18,0,23,5,1,0,0,0,1,1,0.0,78.26,21.74,0.0,-3.55,3.55
2020-02-28,23,0,18,0,23,5,0,0,0,0,0,0,0.0,78.26,21.74,0.0,0.0,0.0
2020-02-29,25,0,18,0,25,7,2,0,0,0,2,2,0.0,72.0,28.0,0.0,-6.26,6.26
2020-03-01,29,0,18,1,28,11,4,0,0,1,3,4,0.0,62.07,37.93,0.0,-9.93,9.93
2020-03-02,29,0,18,2,27,11,0,0,0,1,-1,0,0.0,62.07,37.93,0.0,0.0,0.0
2020-03-03,36,0,22,3,33,14,7,0,4,1,6,3,0.0,61.11,38.89,0.0,-0.96,0.96
2020-03-04,50,0,22,4,46,28,14,0,0,1,13,14,0.0,44.0,56.0,0.0,-17.11,17.11
2020-03-05,50,0,22,5,45,28,0,0,0,1,-1,0,0.0,44.0,56.0,0.0,0.0,0.0
2020-03-06,83,0,22,6,77,61,33,0,0,1,32,33,0.0,26.51,73.49,0.0,-17.48,17.48
2020-03-07,93,0,23,8,85,70,10,0,1,2,8,9,0.0,24.73,75.27,0.0,-1.78,1.78
2020-03-08,99,0,24,10,89,75,6,0,1,2,4,5,0.0,24.24,75.76,0.0,-0.49,0.49
2020-03-09,117,0,24,12,105,93,18,0,0,2,16,18,0.0,20.51,79.49,0.0,-3.72,3.72
2020-03-10,129,0,24,15,114,105,12,0,0,3,9,12,0.0,18.6,81.4,0.0,-1.91,1.91
2020-03-11,149,0,26,18,131,123,20,0,2,3,17,18,0.0,17.45,82.55,0.0,-1.15,1.14
2020-03-12,149,0,26,22,127,123,0,0,0,4,-4,0,0.0,17.45,82.55,0.0,0.0,0.0
2020-03-13,197,0,26,26,171,171,48,0,0,4,44,48,0.0,13.2,86.8,0.0,-4.25,4.25
2020-03-14,238,0,35,31,207,203,41,0,9,5,36,32,0.0,14.71,85.29,0.0,1.51,-1.5
2020-03-15,428,0,42,37,391,386,190,0,7,6,184,183,0.0,9.81,90.19,0.0,-4.9,4.89
2020-03-16,566,0,42,44,522,524,138,0,0,7,131,138,0.0,7.42,92.58,0.0,-2.39,2.39
2020-03-17,673,2,49,53,618,622,107,2,7,9,96,98,0.3,7.28,92.42,0.3,-0.13,-0.15
2020-03-18,790,2,60,63,725,728,117,0,11,10,107,106,0.25,7.59,92.15,-0.04,0.3,-0.26
2020-03-19,900,2,75,74,824,823,110,0,15,11,99,95,0.22,8.33,91.44,-0.03,0.74,-0.71
2020-03-20,1030,3,87,87,940,940,130,1,12,13,116,117,0.29,8.45,91.26,0.06,0.11,-0.17
