,2020-01-22,2020-01-23,2020-01-24,2020-01-25,2020-01-26,2020-01-27,2020-01-28,2020-01-29,2020-01-30,2020-01-31,2020-02-01,2020-02-02,2020-02-03,2020-02-04,2020-02-05,2020-02-06,2020-02-07,2020-02-08,2020-02-09,2020-02-10,2020-02-11,2020-02-12,2020-02-13,2020-02-14,2020-02-15,2020-02-16,2020-02-17,2020-02-18,2020-02-19,2020-02-20,2020-02-21,2020-02-22,2020-02-23,2020-02-24,2020-02-25,2020-02-26,2020-02-27,2020-02-28,2020-02-29,2020-03-01,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20
Total Confirmed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,6.0,10.0,18.0,24.0,38.0,82.0,128.0,188.0,265.0,321.0,382.0,503.0,503.0,806.0,962.0,1138.0,1416.0,1711.0,2058.0,2467.0,3003.0,3640.0,4217.0,4764.0,5580.0,6438.0,7468.0,8647.0,9819.0,10930.0,11817.0,12667.0,13696.0,14788.0,15821.0,16727.0,17953.0,18926.0,19709.0,20682.0,21903.0,23249.0,24571.0,25746.0,26710.0,27580.0,28316.0,29383.0,30619.0,31766.0,32838.0,32838.0
Total Deaths,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,3.0,4.0,5.0,5.0,10.0,12.0,20.0,24.0,43.0,58.0,77.0,107.0,137.0,180.0,214.0,277.0,357.0,435.0,547.0,640.0,772.0,865.0,1040.0,1175.0,1341.0,1490.0,1656.0,1771.0,1874.0,2108.0,2255.0,2403.0,2520.0,2653.0,2747.0,2833.0,2955.0,3145.0,3327.0,3471.0,3613.0,3697.0,3697.0
Total Recovered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,4.0,6.0,6.0,6.0,253.0,253.0,253.0,260.0,260.0,260.0,262.0,257.0,258.0,272.0,272.0,278.0,287.0,291.0,295.0,295.0,297.0,304.0,311.0,315.0,317.0,322.0,322.0
Total Recovered_Est,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,5.0,7.0,10.0,14.0,19.0,25.0,33.0,43.0,55.0,70.0,88.0,109.0,134.0,164.0,199.0,240.0,287.0,342.0,406.0,479.0,563.0,659.0,768.0,891.0,1030.0,1185.0,1359.0,1552.0,1767.0,2004.0,2265.0,2551.0,2863.0,3202.0,3569.0,3965.0,4390.0,4845.0,5330.0,5845.0,6391.0,6966.0,7571.0,8204.0,8864.0,9549.0,10258.0,10990.0
Total Active_Est,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,6.0,9.0,16.0,21.0,33.0,75.0,117.0,173.0,243.0,293.0,345.0,455.0,443.0,726.0,862.0,1009.0,1258.0,1504.0,1801.0,2150.0,2609.0,3161.0,3631.0,4071.0,4740.0,5422.0,6265.0,7209.0,8149.0,8973.0,9593.0,10075.0,10754.0,11443.0,12066.0,12520.0,13319.0,13850.0,14032.0,14462.0,15110.0,15884.0,16588.0,17154.0,17486.0,17659.0,17600.0,17852.0,18284.0,18604.0,18883.0,18151.0
Total Active,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,6.0,10.0,18.0,24.0,38.0,82.0,127.0,187.0,262.0,318.0,378.0,498.0,498.0,796.0,948.0,1116.0,1390.0,1666.0,1998.0,2388.0,2894.0,3501.0,4035.0,4548.0,5300.0,6077.0,7027.0,8094.0,9173.0,9905.0,10699.0,11374.0,12261.0,13187.0,14071.0,14809.0,15925.0,16794.0,17329.0,18155.0,19222.0,20442.0,21627.0,22704.0,23582.0,24328.0,24867.0,25745.0,26833.0,27836.0,28819.0,28819.0
Daily New Confirmed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,4.0,8.0,6.0,14.0,44.0,46.0,60.0,77.0,56.0,61.0,121.0,0.0,303.0,156.0,176.0,278.0,295.0,347.0,409.0,536.0,637.0,577.0,547.0,816.0,858.0,1030.0,1179.0,1172.0,1111.0,887.0,850.0,1029.0,1092.0,1033.0,906.0,1226.0,973.0,783.0,973.0,1221.0,1346.0,1322.0,1175.0,964.0,870.0,736.0,1067.0,1236.0,1147.0,1072.0,0.0
Daily New Deaths,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,1.0,1.0,0.0,5.0,2.0,8.0,4.0,19.0,15.0,19.0,30.0,30.0,43.0,34.0,63.0,80.0,78.0,112.0,93.0,132.0,93.0,175.0,135.0,166.0,149.0,166.0,115.0,103.0,234.0,147.0,148.0,117.0,133.0,94.0,86.0,122.0,190.0,182.0,144.0,142.0,84.0,0.0
Daily New Recovered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,247.0,0.0,0.0,7.0,0.0,0.0,2.0,-5.0,1.0,14.0,0.0,6.0,9.0,4.0,4.0,0.0,2.0,7.0,7.0,4.0,2.0,5.0,0.0
Daily New Recovered_Est,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,2.0,3.0,4.0,5.0,6.0,8.0,10.0,12.0,15.0,18.0,21.0,25.0,30.0,35.0,41.0,47.0,55.0,64.0,73.0,84.0,96.0,109.0,123.0,139.0,155.0,174.0,193.0,215.0,237.0,261.0,286.0,312.0,339.0,367.0,396.0,425.0,455.0,485.0,515.0,546.0,575.0,605.0,633.0,660.0,685.0,709.0,732.0
