,Total Confirmed,Total Deaths,Total Recovered_Old,Total Recovered,Total Active,Total Active_Old,Change in Confirmed,Change in Deaths,Change in Recovered_Old,Change in Recovered,Change in Active,Change in Active_Old
2020-01-22,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-01-23,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-01-24,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-01-25,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-01-26,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-01-27,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-01-28,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-01-29,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-01-30,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-01-31,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-01,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-02,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-03,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-04,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-05,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-06,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-07,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-08,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-09,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-10,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-11,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-12,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-13,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-14,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-15,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-16,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-17,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-18,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-19,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-20,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-21,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-22,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-23,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-24,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-25,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-26,1,0,0,0,1,1,1,0,0,0,1,1.0
2020-02-27,1,0,0,0,1,1,0,0,0,0,0,0.0
2020-02-28,6,0,0,0,6,6,5,0,0,0,5,5.0
2020-02-29,15,0,0,0,15,15,9,0,0,0,9,9.0
2020-03-01,19,0,0,1,18,19,4,0,0,1,3,4.0
2020-03-02,25,0,0,2,23,25,6,0,0,1,5,6.0
2020-03-03,32,0,0,3,29,32,7,0,0,1,6,7.0
2020-03-04,56,0,0,5,51,56,24,0,0,2,22,24.0
2020-03-05,87,0,0,7,80,87,31,0,0,2,29,31.0
2020-03-06,108,0,0,10,98,108,21,0,0,3,18,21.0
2020-03-07,147,0,0,13,134,147,39,0,0,3,36,39.0
2020-03-08,176,0,0,17,159,176,29,0,0,4,25,29.0
2020-03-09,205,0,1,22,183,204,29,0,1,5,24,28.0
2020-03-10,400,0,1,28,372,399,195,0,0,6,189,195.0
2020-03-11,598,0,1,35,563,597,198,0,0,7,191,198.0
2020-03-12,702,0,1,44,658,701,104,0,0,9,95,104.0
2020-03-13,996,0,1,54,942,995,294,0,0,10,284,294.0
2020-03-14,1090,3,1,66,1021,1086,94,3,0,12,79,91.0
2020-03-15,1221,3,1,80,1138,1217,131,0,0,14,117,131.0
2020-03-16,1333,3,1,97,1233,1329,112,0,0,17,95,112.0
2020-03-17,1463,3,1,116,1344,1459,130,0,0,19,111,130.0
2020-03-18,1550,6,1,138,1406,1543,87,3,0,22,62,84.0
2020-03-19,1746,7,1,163,1576,1738,196,1,0,25,170,195.0
2020-03-20,1914,7,1,191,1716,1906,168,0,0,28,140,168.0
2020-03-21,2118,7,1,223,1888,2110,204,0,0,32,172,204.0
2020-03-22,2385,7,1,258,2120,2377,267,0,0,35,232,267.0
2020-03-23,2621,10,1,297,2314,2610,236,3,0,39,194,233.0
2020-03-24,2863,12,6,341,2510,2845,242,2,5,44,196,235.0
2020-03-25,3084,14,6,389,2681,3064,221,2,0,48,171,219.0
2020-03-26,3369,14,6,442,2913,3349,285,0,0,53,232,285.0
2020-03-27,3755,19,6,500,3236,3730,386,5,0,58,323,381.0
2020-03-28,4015,23,7,563,3429,3985,260,4,1,63,193,255.0
