,2020-01-22,2020-01-23,2020-01-24,2020-01-25,2020-01-26,2020-01-27,2020-01-28,2020-01-29,2020-01-30,2020-01-31,2020-02-01,2020-02-02,2020-02-03,2020-02-04,2020-02-05,2020-02-06,2020-02-07,2020-02-08,2020-02-09,2020-02-10,2020-02-11,2020-02-12,2020-02-13,2020-02-14,2020-02-15,2020-02-16,2020-02-17,2020-02-18,2020-02-19,2020-02-20,2020-02-21,2020-02-22,2020-02-23,2020-02-24,2020-02-25,2020-02-26,2020-02-27,2020-02-28,2020-02-29,2020-03-01,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20
Total Confirmed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,6.0,15.0,19.0,25.0,32.0,56.0,87.0,108.0,147.0,176.0,205.0,400.0,598.0,702.0,996.0,1090.0,1221.0,1333.0,1463.0,1550.0,1746.0,1914.0,2118.0,2385.0,2621.0,2863.0,3084.0,3369.0,3755.0,4015.0,4284.0,4445.0,4641.0,4863.0,5147.0,5370.0,5550.0,5687.0,5865.0,6086.0,6086.0,6211.0,6314.0,6409.0,6525.0,6603.0,6623.0,6740.0,6896.0,6937.0,7036.0,7078.0,7103.0
Total Deaths,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,3.0,6.0,7.0,7.0,7.0,7.0,10.0,12.0,14.0,14.0,19.0,23.0,25.0,32.0,39.0,44.0,50.0,59.0,62.0,71.0,76.0,89.0,101.0,108.0,113.0,119.0,128.0,134.0,139.0,150.0,152.0,161.0,164.0,165.0,165.0
Total Recovered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6.0,6.0,6.0,6.0,7.0,7.0,12.0,13.0,13.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0
Total Recovered_Est,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,5.0,7.0,10.0,13.0,17.0,22.0,28.0,35.0,44.0,55.0,67.0,81.0,98.0,117.0,139.0,164.0,193.0,226.0,263.0,304.0,350.0,401.0,457.0,518.0,585.0,658.0,737.0,823.0,915.0,1013.0,1118.0,1229.0,1347.0,1471.0,1601.0,1737.0,1879.0,2026.0,2178.0,2334.0,2494.0,2658.0,2825.0,2994.0,3165.0,3337.0,3510.0,3683.0
Total Active_Est,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,6.0,15.0,18.0,23.0,29.0,51.0,80.0,98.0,134.0,159.0,183.0,372.0,563.0,658.0,941.0,1020.0,1137.0,1232.0,1343.0,1405.0,1575.0,1714.0,1885.0,2115.0,2307.0,2501.0,2669.0,2898.0,3218.0,3407.0,3601.0,3676.0,3779.0,3904.0,4084.0,4193.0,4259.0,4269.0,4318.0,4396.0,4248.0,4224.0,4175.0,4112.0,4063.0,3975.0,3826.0,3765.0,3750.0,3611.0,3535.0,3403.0,3255.0
Total Active,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,6.0,15.0,19.0,25.0,32.0,56.0,87.0,108.0,147.0,176.0,204.0,399.0,597.0,701.0,995.0,1086.0,1217.0,1329.0,1459.0,1543.0,1738.0,1906.0,2110.0,2377.0,2610.0,2845.0,3064.0,3349.0,3730.0,3985.0,4252.0,4401.0,4589.0,4806.0,5065.0,5279.0,5456.0,5584.0,5757.0,5965.0,5953.0,6071.0,6169.0,6258.0,6365.0,6437.0,6452.0,6558.0,6712.0,6744.0,6840.0,6881.0,6906.0
Daily New Confirmed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,9.0,4.0,6.0,7.0,24.0,31.0,21.0,39.0,29.0,29.0,195.0,198.0,104.0,294.0,94.0,131.0,112.0,130.0,87.0,196.0,168.0,204.0,267.0,236.0,242.0,221.0,285.0,386.0,260.0,269.0,161.0,196.0,222.0,284.0,223.0,180.0,137.0,178.0,221.0,0.0,125.0,103.0,95.0,116.0,78.0,20.0,117.0,156.0,41.0,99.0,42.0,25.0
Daily New Deaths,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,3.0,2.0,2.0,0.0,5.0,4.0,2.0,7.0,7.0,5.0,6.0,9.0,3.0,9.0,5.0,13.0,12.0,7.0,5.0,6.0,9.0,6.0,5.0,11.0,2.0,9.0,3.0,1.0,0.0
Daily New Recovered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,1.0,0.0,5.0,1.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Daily New Recovered_Est,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,2.0,3.0,3.0,4.0,5.0,6.0,7.0,9.0,11.0,12.0,14.0,17.0,19.0,22.0,25.0,29.0,33.0,37.0,41.0,46.0,51.0,56.0,61.0,67.0,73.0,79.0,86.0,92.0,98.0,105.0,111.0,118.0,124.0,130.0,136.0,142.0,147.0,152.0,156.0,160.0,164.0,167.0,169.0,171.0,172.0,173.0,173.0
