,Total Confirmed,Total Deaths,Total Recovered_Old,Total Recovered,Total Active,Total Active_Old,Change in Confirmed,Change in Deaths,Change in Recovered_Old,Change in Recovered,Change in Active,Change in Active_Old
2020-01-22,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-01-23,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-01-24,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-01-25,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-01-26,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-01-27,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-01-28,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-01-29,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-01-30,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-01-31,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-01,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-02,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-03,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-04,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-05,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-06,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-07,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-08,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-09,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-10,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-11,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-12,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-13,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-14,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-15,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-16,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-17,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-18,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-19,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-20,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-21,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-22,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-23,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-24,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-25,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-26,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-27,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-28,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-29,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-03-01,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-03-02,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-03-03,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-03-04,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-03-05,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-03-06,1,0,0,0,1,1,1,0,0,0,1,1.0
2020-03-07,1,0,0,0,1,1,0,0,0,0,0,0.0
2020-03-08,6,0,0,0,6,6,5,0,0,0,5,5.0
2020-03-09,7,0,0,0,7,7,1,0,0,0,1,1.0
2020-03-10,11,0,0,0,11,11,4,0,0,0,4,4.0
2020-03-11,11,0,0,0,11,11,0,0,0,0,0,0.0
2020-03-12,15,0,0,0,15,15,4,0,0,0,4,4.0
2020-03-13,28,0,0,0,28,28,13,0,0,0,13,13.0
2020-03-14,38,0,0,1,37,38,10,0,0,1,9,10.0
2020-03-15,43,0,0,2,41,43,5,0,0,1,4,5.0
2020-03-16,86,0,0,3,83,86,43,0,0,1,42,43.0
2020-03-17,117,0,1,4,113,116,31,0,1,1,30,30.0
2020-03-18,145,0,1,6,139,144,28,0,0,2,26,28.0
2020-03-19,234,0,1,8,226,233,89,0,0,2,87,89.0
2020-03-20,234,3,1,10,221,230,0,3,0,2,-5,-3.0
2020-03-21,318,5,1,13,300,312,84,2,0,3,79,82.0
2020-03-22,363,5,1,16,342,357,45,0,0,3,42,45.0
2020-03-23,395,5,1,20,370,389,32,0,0,4,28,32.0
2020-03-24,416,7,1,25,384,408,21,2,0,5,14,19.0
2020-03-25,480,9,1,30,441,470,64,2,0,5,57,62.0
2020-03-26,580,9,14,36,535,557,100,0,13,6,94,87.0
2020-03-27,635,11,16,43,581,608,55,2,2,7,46,51.0
2020-03-28,671,16,16,51,604,639,36,5,0,8,23,31.0
