,Total Confirmed,Total Deaths,Total Recovered,Total Recovered_Est,Total Active_Est,Total Active,Daily New Confirmed,Daily New Deaths,Daily New Recovered,Daily New Recovered_Est,Daily New Active_Est,Daily New Active,Total Mortality_Rate,Total Recovery_Rate,Total Activity_Rate,Change in Mortality_Rate,Change in Recovery_Rate,Change in Activity_Rate
2020-01-22,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-23,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-24,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-25,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-26,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-27,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-28,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-29,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-30,1,0,0,0,1,1,1,0,0,0,1,1,0.0,0.0,100.0,0.0,0.0,100.0
2020-01-31,1,0,0,0,1,1,0,0,0,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0
2020-02-01,1,0,0,0,1,1,0,0,0,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0
2020-02-02,2,1,0,0,1,1,1,1,0,0,0,0,50.0,0.0,50.0,50.0,0.0,-50.0
2020-02-03,2,1,0,0,1,1,0,0,0,0,0,0,50.0,0.0,50.0,0.0,0.0,0.0
2020-02-04,2,1,0,0,1,1,0,0,0,0,0,0,50.0,0.0,50.0,0.0,0.0,0.0
2020-02-05,2,1,0,0,1,1,0,0,0,0,0,0,50.0,0.0,50.0,0.0,0.0,0.0
2020-02-06,2,1,0,0,1,1,0,0,0,0,0,0,50.0,0.0,50.0,0.0,0.0,0.0
2020-02-07,3,1,0,0,2,2,1,0,0,0,1,1,33.33,0.0,66.67,-16.67,0.0,16.67
2020-02-08,3,1,0,0,2,2,0,0,0,0,0,0,33.33,0.0,66.67,0.0,0.0,0.0
2020-02-09,3,1,0,0,2,2,0,0,0,0,0,0,33.33,0.0,66.67,0.0,0.0,0.0
2020-02-10,3,1,0,0,2,2,0,0,0,0,0,0,33.33,0.0,66.67,0.0,0.0,0.0
2020-02-11,3,1,0,0,2,2,0,0,0,0,0,0,33.33,0.0,66.67,0.0,0.0,0.0
2020-02-12,3,1,1,0,2,1,0,0,1,0,0,-1,33.33,33.33,33.33,0.0,33.33,-33.34
2020-02-13,3,1,1,0,2,1,0,0,0,0,0,0,33.33,33.33,33.33,0.0,0.0,0.0
2020-02-14,3,1,1,0,2,1,0,0,0,0,0,0,33.33,33.33,33.33,0.0,0.0,0.0
2020-02-15,3,1,1,0,2,1,0,0,0,0,0,0,33.33,33.33,33.33,0.0,0.0,0.0
2020-02-16,3,1,1,0,2,1,0,0,0,0,0,0,33.33,33.33,33.33,0.0,0.0,0.0
2020-02-17,3,1,1,0,2,1,0,0,0,0,0,0,33.33,33.33,33.33,0.0,0.0,0.0
2020-02-18,3,1,1,0,2,1,0,0,0,0,0,0,33.33,33.33,33.33,0.0,0.0,0.0
2020-02-19,3,1,1,0,2,1,0,0,0,0,0,0,33.33,33.33,33.33,0.0,0.0,0.0
2020-02-20,3,1,1,0,2,1,0,0,0,0,0,0,33.33,33.33,33.33,0.0,0.0,0.0
2020-02-21,3,1,1,0,2,1,0,0,0,0,0,0,33.33,33.33,33.33,0.0,0.0,0.0
2020-02-22,3,1,1,0,2,1,0,0,0,0,0,0,33.33,33.33,33.33,0.0,0.0,0.0
2020-02-23,3,1,1,0,2,1,0,0,0,0,0,0,33.33,33.33,33.33,0.0,0.0,0.0
2020-02-24,3,1,1,0,2,1,0,0,0,0,0,0,33.33,33.33,33.33,0.0,0.0,0.0
2020-02-25,3,1,1,0,2,1,0,0,0,0,0,0,33.33,33.33,33.33,0.0,0.0,0.0
2020-02-26,3,1,1,0,2,1,0,0,0,0,0,0,33.33,33.33,33.33,0.0,0.0,0.0
2020-02-27,3,1,1,0,2,1,0,0,0,0,0,0,33.33,33.33,33.33,0.0,0.0,0.0
2020-02-28,3,1,1,0,2,1,0,0,0,0,0,0,33.33,33.33,33.33,0.0,0.0,0.0
2020-02-29,3,1,1,0,2,1,0,0,0,0,0,0,33.33,33.33,33.33,0.0,0.0,0.0
2020-03-01,3,1,1,0,2,1,0,0,0,0,0,0,33.33,33.33,33.33,0.0,0.0,0.0
2020-03-02,3,1,1,0,2,1,0,0,0,0,0,0,33.33,33.33,33.33,0.0,0.0,0.0
2020-03-03,3,1,1,0,2,1,0,0,0,0,0,0,33.33,33.33,33.33,0.0,0.0,0.0
2020-03-04,3,1,1,0,2,1,0,0,0,0,0,0,33.33,33.33,33.33,0.0,0.0,0.0
2020-03-05,3,1,1,0,2,1,0,0,0,0,0,0,33.33,33.33,33.33,0.0,0.0,0.0
2020-03-06,5,1,1,0,4,3,2,0,0,0,2,2,20.0,20.0,60.0,-13.32,-13.32,26.67
2020-03-07,6,1,1,0,5,4,1,0,0,0,1,1,16.67,16.67,66.67,-3.32,-3.32,6.67
2020-03-08,10,1,1,0,9,8,4,0,0,0,4,4,10.0,10.0,80.0,-6.67,-6.67,13.32
2020-03-09,20,1,1,0,19,18,10,0,0,0,10,10,5.0,5.0,90.0,-5.0,-5.0,10.0
2020-03-10,33,1,2,0,32,30,13,0,1,0,13,12,3.03,6.06,90.91,-1.97,1.05,0.9
2020-03-11,49,1,2,0,48,46,16,0,0,0,16,16,2.04,4.08,93.88,-0.98,-1.97,2.96
2020-03-12,52,2,2,1,49,48,3,1,0,1,1,2,3.85,3.85,92.31,1.81,-0.23,-1.56
2020-03-13,64,5,2,2,57,57,12,3,0,1,8,9,7.81,3.12,89.06,3.95,-0.73,-3.25
2020-03-14,111,8,2,3,100,101,47,3,0,1,43,44,7.21,1.8,90.99,-0.59,-1.32,1.92
2020-03-15,140,11,2,5,124,127,29,3,0,2,24,26,7.86,1.43,90.71,0.65,-0.37,-0.28
2020-03-16,142,12,2,7,123,128,2,1,0,2,-1,1,8.45,1.41,90.14,0.58,-0.02,-0.56
2020-03-17,187,12,5,10,165,170,45,0,3,3,42,42,6.42,2.67,90.91,-2.02,1.26,0.76
2020-03-18,202,19,5,13,170,178,15,7,0,3,5,8,9.41,2.48,88.12,2.99,-0.18,-2.78
2020-03-19,217,17,8,17,183,192,15,-2,3,4,13,14,7.83,3.69,88.48,-1.58,1.21,0.35
2020-03-20,230,18,8,22,190,204,13,1,0,5,7,12,7.83,3.48,88.7,0.0,-0.2,0.21
2020-03-21,307,19,13,28,260,275,77,1,5,6,70,71,6.19,4.23,89.58,-1.63,0.75,0.87
