,Total Confirmed,Total Deaths,Total Recovered_Old,Total Recovered,Total Active,Total Active_Old,Change in Confirmed,Change in Deaths,Change in Recovered_Old,Change in Recovered,Change in Active,Change in Active_Old
2020-01-22,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-01-23,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-01-24,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-01-25,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-01-26,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-01-27,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-01-28,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-01-29,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-01-30,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-01-31,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-01,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-02,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-03,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-04,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-05,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-06,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-07,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-08,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-09,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-10,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-11,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-12,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-13,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-14,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-15,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-16,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-17,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-18,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-19,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-20,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-21,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-22,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-23,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-24,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-25,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-26,2,0,0,0,2,2,2,0,0,0,2,2.0
2020-02-27,2,0,0,0,2,2,0,0,0,0,0,0.0
2020-02-28,2,0,0,0,2,2,0,0,0,0,0,0.0
2020-02-29,4,0,0,0,4,4,2,0,0,0,2,2.0
2020-03-01,4,0,0,0,4,4,0,0,0,0,0,0.0
2020-03-02,4,0,0,0,4,4,0,0,0,0,0,0.0
2020-03-03,5,0,0,0,5,5,1,0,0,0,1,1.0
2020-03-04,5,0,0,0,5,5,0,0,0,0,0,0.0
2020-03-05,5,0,0,0,5,5,0,0,0,0,0,0.0
2020-03-06,6,0,0,0,6,6,1,0,0,0,1,1.0
2020-03-07,6,0,0,0,6,6,0,0,0,0,0,0.0
2020-03-08,6,0,1,0,6,5,0,0,1,0,0,-1.0
2020-03-09,6,0,1,0,6,5,0,0,0,0,0,0.0
2020-03-10,16,0,1,1,15,15,10,0,0,1,9,10.0
2020-03-11,19,0,2,2,17,17,3,0,1,1,2,2.0
2020-03-12,20,0,2,3,17,18,1,0,0,1,0,1.0
2020-03-13,28,0,2,4,24,26,8,0,0,1,7,8.0
2020-03-14,31,0,2,6,25,29,3,0,0,2,1,3.0
2020-03-15,53,0,2,8,45,51,22,0,0,2,20,22.0
2020-03-16,136,0,2,11,125,134,83,0,0,3,80,83.0
2020-03-17,236,0,2,14,222,234,100,0,0,3,97,100.0
2020-03-18,299,0,2,18,281,297,63,0,0,4,59,63.0
2020-03-19,454,2,13,23,429,439,155,2,11,5,148,142.0
2020-03-20,501,3,13,29,469,485,47,1,0,6,40,46.0
2020-03-21,730,3,13,36,691,714,229,0,0,7,222,229.0
2020-03-22,776,5,5,44,727,766,46,2,-8,8,36,52.0
2020-03-23,875,6,5,53,816,864,99,1,0,9,89,98.0
2020-03-24,972,7,18,64,901,947,97,1,13,11,85,83.0
2020-03-25,1063,8,21,76,979,1034,91,1,3,12,78,87.0
2020-03-26,1201,9,21,90,1102,1171,138,1,0,14,123,137.0
2020-03-27,1373,11,23,105,1257,1339,172,2,2,15,155,168.0
2020-03-28,1495,12,29,122,1361,1454,122,1,6,17,104,115.0
