,Total Confirmed,Total Deaths,Total Recovered_Old,Total Recovered,Total Active,Total Active_Old,Change in Confirmed,Change in Deaths,Change in Recovered_Old,Change in Recovered,Change in Active,Change in Active_Old
2020-01-22,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-01-23,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-01-24,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-01-25,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-01-26,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-01-27,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-01-28,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-01-29,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-01-30,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-01-31,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-01,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-02,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-03,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-04,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-05,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-06,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-07,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-08,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-09,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-10,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-11,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-12,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-13,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-14,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-15,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-16,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-17,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-18,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-19,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-20,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-21,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-22,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-23,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-24,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-25,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-26,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-27,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-28,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-29,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-03-01,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-03-02,2,0,0,0,2,2,2,0,0,0,2,2.0
2020-03-03,2,0,0,0,2,2,0,0,0,0,0,0.0
2020-03-04,5,0,0,0,5,5,3,0,0,0,3,3.0
2020-03-05,8,0,0,0,8,8,3,0,0,0,3,3.0
2020-03-06,13,0,0,0,13,13,5,0,0,0,5,5.0
2020-03-07,20,0,0,1,19,20,7,0,0,1,6,7.0
2020-03-08,30,0,0,2,28,30,10,0,0,1,9,10.0
2020-03-09,30,0,0,3,27,30,0,0,0,1,-1,0.0
2020-03-10,41,0,0,5,36,41,11,0,0,2,9,11.0
2020-03-11,59,0,0,8,51,59,18,0,0,3,15,18.0
2020-03-12,59,0,0,11,48,59,0,0,0,3,-3,0.0
2020-03-13,112,0,1,15,97,111,53,0,1,4,49,52.0
2020-03-14,169,0,2,20,149,167,57,0,1,5,52,56.0
2020-03-15,245,0,2,26,219,243,76,0,0,6,70,76.0
2020-03-16,331,0,3,34,297,328,86,0,1,8,78,85.0
2020-03-17,448,1,3,43,404,444,117,1,0,9,107,116.0
2020-03-18,448,2,3,54,392,443,0,1,0,11,-12,-1.0
2020-03-19,785,3,3,67,715,779,337,1,0,13,323,336.0
2020-03-20,1020,6,5,83,931,1009,235,3,2,16,216,230.0
2020-03-21,1280,12,5,102,1166,1263,260,6,0,19,235,254.0
2020-03-22,1600,14,5,124,1462,1581,320,2,0,22,296,318.0
2020-03-23,2060,23,5,150,1887,2032,460,9,0,26,425,451.0
2020-03-24,2362,33,22,180,2149,2307,302,10,17,30,262,275.0
2020-03-25,2995,43,22,214,2738,2930,633,10,0,34,589,623.0
2020-03-26,3544,60,43,253,3231,3441,549,17,21,39,493,511.0
2020-03-27,4268,76,43,297,3895,4149,724,16,0,44,664,708.0
2020-03-28,5170,100,43,347,4723,5027,902,24,0,50,828,878.0
