,Total Confirmed,Total Deaths,Total Recovered,Total Recovered_Est,Total Active_Est,Total Active,Daily New Confirmed,Daily New Deaths,Daily New Recovered,Daily New Recovered_Est,Daily New Active_Est,Daily New Active,Total Mortality_Rate,Total Recovery_Rate,Total Activity_Rate,Change in Mortality_Rate,Change in Recovery_Rate,Change in Activity_Rate
2020-01-22,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-23,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-24,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-25,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-26,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-27,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-28,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-29,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-30,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-31,2,0,0,0,2,2,2,0,0,0,2,2,0.0,0.0,100.0,0.0,0.0,100.0
2020-02-01,2,0,0,0,2,2,0,0,0,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0
2020-02-02,2,0,0,0,2,2,0,0,0,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0
2020-02-03,2,0,0,0,2,2,0,0,0,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0
2020-02-04,2,0,0,0,2,2,0,0,0,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0
2020-02-05,2,0,0,0,2,2,0,0,0,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0
2020-02-06,2,0,0,0,2,2,0,0,0,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0
2020-02-07,2,0,0,0,2,2,0,0,0,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0
2020-02-08,2,0,0,0,2,2,0,0,0,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0
2020-02-09,2,0,0,0,2,2,0,0,0,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0
2020-02-10,2,0,0,0,2,2,0,0,0,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0
2020-02-11,2,0,0,0,2,2,0,0,0,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0
2020-02-12,2,0,2,0,2,0,0,0,2,0,0,-2,0.0,100.0,0.0,0.0,100.0,-100.0
2020-02-13,2,0,2,0,2,0,0,0,0,0,0,0,0.0,100.0,0.0,0.0,0.0,0.0
2020-02-14,2,0,2,0,2,0,0,0,0,0,0,0,0.0,100.0,0.0,0.0,0.0,0.0
2020-02-15,2,0,2,0,2,0,0,0,0,0,0,0,0.0,100.0,0.0,0.0,0.0,0.0
2020-02-16,2,0,2,0,2,0,0,0,0,0,0,0,0.0,100.0,0.0,0.0,0.0,0.0
2020-02-17,2,0,2,0,2,0,0,0,0,0,0,0,0.0,100.0,0.0,0.0,0.0,0.0
2020-02-18,2,0,2,0,2,0,0,0,0,0,0,0,0.0,100.0,0.0,0.0,0.0,0.0
2020-02-19,2,0,2,0,2,0,0,0,0,0,0,0,0.0,100.0,0.0,0.0,0.0,0.0
2020-02-20,2,0,2,0,2,0,0,0,0,0,0,0,0.0,100.0,0.0,0.0,0.0,0.0
2020-02-21,2,0,2,0,2,0,0,0,0,0,0,0,0.0,100.0,0.0,0.0,0.0,0.0
2020-02-22,2,0,2,0,2,0,0,0,0,0,0,0,0.0,100.0,0.0,0.0,0.0,0.0
2020-02-23,2,0,2,0,2,0,0,0,0,0,0,0,0.0,100.0,0.0,0.0,0.0,0.0
2020-02-24,2,0,2,0,2,0,0,0,0,0,0,0,0.0,100.0,0.0,0.0,0.0,0.0
2020-02-25,2,0,2,0,2,0,0,0,0,0,0,0,0.0,100.0,0.0,0.0,0.0,0.0
2020-02-26,2,0,2,0,2,0,0,0,0,0,0,0,0.0,100.0,0.0,0.0,0.0,0.0
2020-02-27,2,0,2,0,2,0,0,0,0,0,0,0,0.0,100.0,0.0,0.0,0.0,0.0
2020-02-28,2,0,2,0,2,0,0,0,0,0,0,0,0.0,100.0,0.0,0.0,0.0,0.0
2020-02-29,2,0,2,0,2,0,0,0,0,0,0,0,0.0,100.0,0.0,0.0,0.0,0.0
2020-03-01,2,0,2,0,2,0,0,0,0,0,0,0,0.0,100.0,0.0,0.0,0.0,0.0
2020-03-02,3,0,2,0,3,1,1,0,0,0,1,1,0.0,66.67,33.33,0.0,-33.33,33.33
2020-03-03,3,0,2,0,3,1,0,0,0,0,0,0,0.0,66.67,33.33,0.0,0.0,0.0
2020-03-04,3,0,2,0,3,1,0,0,0,0,0,0,0.0,66.67,33.33,0.0,0.0,0.0
2020-03-05,4,0,2,0,4,2,1,0,0,0,1,1,0.0,50.0,50.0,0.0,-16.67,16.67
2020-03-06,13,0,2,0,13,11,9,0,0,0,9,9,0.0,15.38,84.62,0.0,-34.61,34.62
2020-03-07,13,0,2,0,13,11,0,0,0,0,0,0,0.0,15.38,84.62,0.0,0.0,0.0
2020-03-08,17,0,3,0,17,14,4,0,1,0,4,3,0.0,17.65,82.35,0.0,2.26,-2.27
2020-03-09,17,0,3,0,17,14,0,0,0,0,0,0,0.0,17.65,82.35,0.0,0.0,0.0
2020-03-10,20,0,3,0,20,17,3,0,0,0,3,3,0.0,15.0,85.0,0.0,-2.64,2.65
2020-03-11,20,0,3,0,20,17,0,0,0,0,0,0,0.0,15.0,85.0,0.0,0.0,0.0
2020-03-12,28,0,3,1,27,25,8,0,0,1,7,8,0.0,10.71,89.29,0.0,-4.28,4.29
2020-03-13,45,0,3,2,43,42,17,0,0,1,16,17,0.0,6.67,93.33,0.0,-4.04,4.03
2020-03-14,59,0,8,3,56,51,14,0,5,1,13,9,0.0,13.56,86.44,0.0,6.89,-6.89
2020-03-15,63,0,8,5,58,55,4,0,0,2,2,4,0.0,12.7,87.3,0.0,-0.86,0.85
2020-03-16,90,0,8,7,83,82,27,0,0,2,25,27,0.0,8.89,91.11,0.0,-3.8,3.81
2020-03-17,114,0,8,10,104,106,24,0,0,3,21,24,0.0,7.02,92.98,0.0,-1.87,1.87
2020-03-18,147,0,8,13,134,139,33,0,0,3,30,33,0.0,5.44,94.56,0.0,-1.57,1.57
2020-03-19,199,1,9,17,181,189,52,1,1,4,47,50,0.5,4.52,94.97,0.5,-0.92,0.4
2020-03-20,253,1,9,22,230,243,54,0,0,5,49,54,0.4,3.56,96.05,-0.09,-0.95,1.07
2020-03-21,306,1,12,29,276,293,53,0,3,7,46,50,0.33,3.92,95.75,-0.07,0.35,-0.29
