,Total Confirmed,Total Deaths,Total Recovered,Total Recovered_Est,Total Active_Est,Total Active,Daily New Confirmed,Daily New Deaths,Daily New Recovered,Daily New Recovered_Est,Daily New Active_Est,Daily New Active,Total Mortality_Rate,Total Recovery_Rate,Total Activity_Rate,Change in Mortality_Rate,Change in Recovery_Rate,Change in Activity_Rate
2020-01-22,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-23,1,0,0,0,1,1,1,0,0,0,1,1,0.0,0.0,100.0,0.0,0.0,100.0
2020-01-24,3,0,0,0,3,3,2,0,0,0,2,2,0.0,0.0,100.0,0.0,0.0,0.0
2020-01-25,3,0,0,0,3,3,0,0,0,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0
2020-01-26,4,0,0,0,4,4,1,0,0,0,1,1,0.0,0.0,100.0,0.0,0.0,0.0
2020-01-27,5,0,0,0,5,5,1,0,0,0,1,1,0.0,0.0,100.0,0.0,0.0,0.0
2020-01-28,7,0,0,0,7,7,2,0,0,0,2,2,0.0,0.0,100.0,0.0,0.0,0.0
2020-01-29,7,0,0,0,7,7,0,0,0,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0
2020-01-30,10,0,0,0,10,10,3,0,0,0,3,3,0.0,0.0,100.0,0.0,0.0,0.0
2020-01-31,13,0,0,0,13,13,3,0,0,0,3,3,0.0,0.0,100.0,0.0,0.0,0.0
2020-02-01,16,0,0,0,16,16,3,0,0,0,3,3,0.0,0.0,100.0,0.0,0.0,0.0
2020-02-02,18,0,0,0,18,18,2,0,0,0,2,2,0.0,0.0,100.0,0.0,0.0,0.0
2020-02-03,18,0,0,0,18,18,0,0,0,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0
2020-02-04,24,0,0,0,24,24,6,0,0,0,6,6,0.0,0.0,100.0,0.0,0.0,0.0
2020-02-05,28,0,0,0,28,28,4,0,0,0,4,4,0.0,0.0,100.0,0.0,0.0,0.0
2020-02-06,28,0,0,0,28,28,0,0,0,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0
2020-02-07,30,0,0,0,30,30,2,0,0,0,2,2,0.0,0.0,100.0,0.0,0.0,0.0
2020-02-08,33,0,2,0,33,31,3,0,2,0,3,1,0.0,6.06,93.94,0.0,6.06,-6.06
2020-02-09,40,0,2,0,40,38,7,0,0,0,7,7,0.0,5.0,95.0,0.0,-1.05,1.06
