,Total Confirmed,Total Deaths,Total Recovered_Old,Total Recovered,Total Active,Total Active_Old,Change in Confirmed,Change in Deaths,Change in Recovered_Old,Change in Recovered,Change in Active,Change in Active_Old
2020-01-22,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-01-23,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-01-24,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-01-25,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-01-26,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-01-27,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-01-28,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-01-29,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-01-30,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-01-31,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-01,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-02,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-03,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-04,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-05,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-06,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-07,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-08,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-09,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-10,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-11,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-12,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-13,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-14,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-15,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-16,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-17,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-18,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-19,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-20,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-21,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-22,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-23,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-24,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-25,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-26,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-27,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-28,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-29,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-03-01,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-03-02,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-03-03,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-03-04,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-03-05,2,0,0,0,2,2,2,0,0,0,2,2.0
2020-03-06,7,0,0,0,7,7,5,0,0,0,5,5.0
2020-03-07,7,0,0,0,7,7,0,0,0,0,0,0.0
2020-03-08,16,0,0,0,16,16,9,0,0,0,9,9.0
2020-03-09,16,0,0,0,16,16,0,0,0,0,0,0.0
2020-03-10,31,0,0,0,31,31,15,0,0,0,15,15.0
2020-03-11,57,0,0,1,56,57,26,0,0,1,25,26.0
2020-03-12,89,0,0,2,87,89,32,0,0,1,31,32.0
2020-03-13,141,0,0,3,138,141,52,0,0,1,51,52.0
2020-03-14,181,1,0,4,176,180,40,1,0,1,38,39.0
2020-03-15,219,1,0,6,212,218,38,0,0,2,36,38.0
2020-03-16,253,1,0,8,244,252,34,0,0,2,32,34.0
2020-03-17,275,1,0,11,263,274,22,0,0,3,19,22.0
2020-03-18,275,1,0,14,260,274,0,0,0,3,-3,0.0
2020-03-19,286,1,0,18,267,285,11,0,0,4,7,11.0
2020-03-20,341,1,0,22,318,340,55,0,0,4,51,55.0
2020-03-21,383,1,0,27,355,382,42,0,0,5,37,42.0
2020-03-22,414,2,0,32,380,412,31,1,0,5,25,30.0
2020-03-23,442,3,0,38,401,439,28,1,0,6,21,27.0
2020-03-24,480,4,0,45,431,476,38,1,0,7,30,37.0
2020-03-25,528,5,10,53,470,513,48,1,10,8,39,37.0
2020-03-26,562,6,10,61,495,546,34,1,0,8,25,33.0
2020-03-27,632,9,10,70,553,613,70,3,0,9,58,67.0
2020-03-28,684,9,10,80,595,665,52,0,0,10,42,52.0
