,Total Confirmed,Total Deaths,Total Recovered,Total Recovered_Est,Total Active_Est,Total Active,Daily New Confirmed,Daily New Deaths,Daily New Recovered,Daily New Recovered_Est,Daily New Active_Est,Daily New Active,Total Mortality_Rate,Total Recovery_Rate,Total Activity_Rate,Change in Mortality_Rate,Change in Recovery_Rate,Change in Activity_Rate
2020-01-22,2,0,0,0,2,2,2,0,0,0,2,2,0.0,0.0,100.0,0.0,0.0,100.0
2020-01-23,3,0,0,0,3,3,1,0,0,0,1,1,0.0,0.0,100.0,0.0,0.0,0.0
2020-01-24,5,0,0,0,5,5,2,0,0,0,2,2,0.0,0.0,100.0,0.0,0.0,0.0
2020-01-25,7,0,0,0,7,7,2,0,0,0,2,2,0.0,0.0,100.0,0.0,0.0,0.0
2020-01-26,8,0,2,0,8,6,1,0,2,0,1,-1,0.0,25.0,75.0,0.0,25.0,-25.0
2020-01-27,8,0,2,0,8,6,0,0,0,0,0,0,0.0,25.0,75.0,0.0,0.0,0.0
2020-01-28,14,0,5,0,14,9,6,0,3,0,6,3,0.0,35.71,64.29,0.0,10.71,-10.7
2020-01-29,14,0,5,0,14,9,0,0,0,0,0,0,0.0,35.71,64.29,0.0,0.0,0.0
2020-01-30,14,0,5,0,14,9,0,0,0,0,0,0,0.0,35.71,64.29,0.0,0.0,0.0
2020-01-31,19,0,5,0,19,14,5,0,0,0,5,5,0.0,26.32,73.68,0.0,-9.39,9.39
2020-02-01,19,0,5,0,19,14,0,0,0,0,0,0,0.0,26.32,73.68,0.0,0.0,0.0
2020-02-02,19,0,5,0,19,14,0,0,0,0,0,0,0.0,26.32,73.68,0.0,0.0,0.0
2020-02-03,19,0,5,0,19,14,0,0,0,0,0,0,0.0,26.32,73.68,0.0,0.0,0.0
2020-02-04,25,0,5,0,25,20,6,0,0,0,6,6,0.0,20.0,80.0,0.0,-6.32,6.31
2020-02-05,25,0,5,0,25,20,0,0,0,0,0,0,0.0,20.0,80.0,0.0,0.0,0.0
2020-02-06,25,0,5,0,25,20,0,0,0,0,0,0,0.0,20.0,80.0,0.0,0.0,0.0
