,Total Confirmed,Total Deaths,Total Recovered_Old,Total Recovered,Total Active,Total Active_Old,Change in Confirmed,Change in Deaths,Change in Recovered_Old,Change in Recovered,Change in Active,Change in Active_Old
2020-01-22,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-01-23,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-01-24,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-01-25,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-01-26,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-01-27,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-01-28,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-01-29,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-01-30,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-01-31,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-01,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-02,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-03,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-04,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-05,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-06,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-07,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-08,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-09,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-10,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-11,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-12,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-13,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-14,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-15,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-16,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-17,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-18,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-19,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-20,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-21,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-22,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-23,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-24,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-25,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-26,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-27,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-28,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-29,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-03-01,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-03-02,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-03-03,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-03-04,1,0,0,0,1,1,1,0,0,0,1,1.0
2020-03-05,1,0,0,0,1,1,0,0,0,0,0,0.0
2020-03-06,1,0,0,0,1,1,0,0,0,0,0,0.0
2020-03-07,1,0,0,0,1,1,0,0,0,0,0,0.0
2020-03-08,2,0,0,0,2,2,1,0,0,0,1,1.0
2020-03-09,2,0,0,0,2,2,0,0,0,0,0,0.0
2020-03-10,5,0,0,0,5,5,3,0,0,0,3,3.0
2020-03-11,7,0,0,0,7,7,2,0,0,0,2,2.0
2020-03-12,7,0,0,0,7,7,0,0,0,0,0,0.0
2020-03-13,16,0,0,0,16,16,9,0,0,0,9,9.0
2020-03-14,18,0,0,0,18,18,2,0,0,0,2,2.0
2020-03-15,18,0,0,0,18,18,0,0,0,0,0,0.0
2020-03-16,20,0,0,0,20,20,2,0,0,0,2,2.0
2020-03-17,24,0,0,0,24,24,4,0,0,0,4,4.0
2020-03-18,29,0,0,0,29,29,5,0,0,0,5,5.0
2020-03-19,39,1,0,0,38,38,10,1,0,0,9,9.0
2020-03-20,54,1,0,0,53,53,15,0,0,0,15,15.0
2020-03-21,60,1,0,1,58,59,6,0,0,1,5,6.0
2020-03-22,75,3,1,2,70,71,15,2,1,1,12,12.0
2020-03-23,89,3,1,3,83,85,14,0,0,1,13,14.0
2020-03-24,114,4,1,4,106,109,25,1,0,1,23,24.0
2020-03-25,173,5,2,5,163,166,59,1,1,1,57,57.0
2020-03-26,197,6,2,7,184,189,24,1,0,2,21,23.0
2020-03-27,227,6,2,9,212,219,30,0,0,2,28,30.0
2020-03-28,278,8,2,11,259,268,51,2,0,2,47,49.0
