,Total Confirmed,Total Deaths,Total Recovered_Old,Total Recovered,Total Active,Total Active_Old,Change in Confirmed,Change in Deaths,Change in Recovered_Old,Change in Recovered,Change in Active,Change in Active_Old
2020-01-22,1,0,0,0,1,1,1,0,0,0,1,1.0
2020-01-23,1,0,0,0,1,1,0,0,0,0,0,0.0
2020-01-24,3,0,0,0,3,3,2,0,0,0,2,2.0
2020-01-25,3,0,0,0,3,3,0,0,0,0,0,0.0
2020-01-26,4,0,0,0,4,4,1,0,0,0,1,1.0
2020-01-27,5,0,0,0,5,5,1,0,0,0,1,1.0
2020-01-28,8,0,0,0,8,8,3,0,0,0,3,3.0
2020-01-29,8,0,0,0,8,8,0,0,0,0,0,0.0
2020-01-30,9,0,0,0,9,9,1,0,0,0,1,1.0
2020-01-31,10,0,0,0,10,10,1,0,0,0,1,1.0
2020-02-01,10,0,0,0,10,10,0,0,0,0,0,0.0
2020-02-02,10,0,0,0,10,10,0,0,0,0,0,0.0
2020-02-03,10,0,0,0,10,10,0,0,0,0,0,0.0
2020-02-04,11,0,0,0,11,11,1,0,0,0,1,1.0
2020-02-05,11,0,0,0,11,11,0,0,0,0,0,0.0
2020-02-06,16,0,1,0,16,15,5,0,1,0,5,4.0
2020-02-07,16,0,1,0,16,15,0,0,0,0,0,0.0
2020-02-08,17,0,1,0,17,16,1,0,0,0,1,1.0
2020-02-09,18,0,1,0,18,17,1,0,0,0,1,1.0
2020-02-10,18,0,1,0,18,17,0,0,0,0,0,0.0
2020-02-11,18,0,1,0,18,17,0,0,0,0,0,0.0
2020-02-12,18,0,1,0,18,17,0,0,0,0,0,0.0
2020-02-13,18,0,1,0,18,17,0,0,0,0,0,0.0
2020-02-14,18,0,2,0,18,16,0,0,1,0,0,-1.0
2020-02-15,18,0,2,0,18,16,0,0,0,0,0,0.0
2020-02-16,20,1,2,0,19,17,2,1,0,0,1,1.0
2020-02-17,22,1,2,0,21,19,2,0,0,0,2,2.0
2020-02-18,22,1,2,0,21,19,0,0,0,0,0,0.0
2020-02-19,23,1,2,0,22,20,1,0,0,0,1,1.0
2020-02-20,24,1,2,0,23,21,1,0,0,0,1,1.0
2020-02-21,26,1,2,0,25,23,2,0,0,0,2,2.0
2020-02-22,26,1,2,0,25,23,0,0,0,0,0,0.0
2020-02-23,28,1,2,0,27,25,2,0,0,0,2,2.0
2020-02-24,30,1,5,0,29,24,2,0,3,0,2,-1.0
2020-02-25,31,1,5,0,30,25,1,0,0,0,1,1.0
2020-02-26,32,1,5,0,31,26,1,0,0,0,1,1.0
2020-02-27,32,1,5,0,31,26,0,0,0,0,0,0.0
2020-02-28,34,1,6,0,33,27,2,0,1,0,2,1.0
2020-02-29,39,1,9,0,38,29,5,0,3,0,5,2.0
2020-03-01,40,1,9,0,39,30,1,0,0,0,1,1.0
2020-03-02,41,1,12,0,40,28,1,0,3,0,1,-2.0
2020-03-03,42,1,12,0,41,29,1,0,0,0,1,1.0
2020-03-04,42,1,12,0,41,29,0,0,0,0,0,0.0
2020-03-05,44,1,12,0,43,31,2,0,0,0,2,2.0
2020-03-06,45,1,12,0,44,32,1,0,0,0,1,1.0
2020-03-07,45,1,12,0,44,32,0,0,0,0,0,0.0
2020-03-08,45,1,13,0,44,31,0,0,1,0,0,-1.0
2020-03-09,45,1,15,1,43,29,0,0,2,1,-1,-2.0
2020-03-10,47,1,17,2,44,29,2,0,2,1,1,0.0
2020-03-11,48,1,17,3,44,30,1,0,0,1,0,1.0
2020-03-12,49,1,20,4,44,28,1,0,3,1,0,-2.0
2020-03-13,50,1,20,5,44,29,1,0,0,1,0,1.0
2020-03-14,53,1,20,6,46,32,3,0,0,1,2,3.0
2020-03-15,59,1,20,7,51,38,6,0,0,1,5,6.0
2020-03-16,67,1,20,8,58,46,8,0,0,1,7,8.0
2020-03-17,77,1,22,9,67,54,10,0,2,1,9,8.0
2020-03-18,100,1,22,10,89,77,23,0,0,1,22,23.0
2020-03-19,108,1,26,11,96,81,8,0,4,1,7,4.0
2020-03-20,135,2,26,12,121,107,27,1,0,1,25,26.0
2020-03-21,153,2,28,14,137,123,18,0,2,2,16,16.0
2020-03-22,169,2,28,16,151,139,16,0,0,2,14,16.0
2020-03-23,195,2,28,18,175,165,26,0,0,2,24,26.0
2020-03-24,215,2,29,20,193,184,20,0,1,2,18,19.0
2020-03-25,235,2,29,22,211,204,20,0,0,2,18,20.0
2020-03-26,252,2,29,25,225,221,17,0,0,3,14,17.0
2020-03-27,267,2,29,28,237,236,15,0,0,3,12,15.0
2020-03-28,283,2,30,31,250,251,16,0,1,3,13,15.0
