,Total Confirmed,Total Deaths,Total Recovered,Total Recovered_Est,Total Active_Est,Total Active,Daily New Confirmed,Daily New Deaths,Daily New Recovered,Daily New Recovered_Est,Daily New Active_Est,Daily New Active,Total Mortality_Rate,Total Recovery_Rate,Total Activity_Rate,Change in Mortality_Rate,Change in Recovery_Rate,Change in Activity_Rate
2020-01-22,1,0,0,0,1,1,1,0,0,0,1,1,0.0,0.0,100.0,0.0,0.0,100.0
2020-01-23,1,0,0,0,1,1,0,0,0,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0
2020-01-24,2,0,0,0,2,2,1,0,0,0,1,1,0.0,0.0,100.0,0.0,0.0,0.0
2020-01-25,2,0,0,0,2,2,0,0,0,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0
2020-01-26,5,0,0,0,5,5,3,0,0,0,3,3,0.0,0.0,100.0,0.0,0.0,0.0
2020-01-27,5,0,0,0,5,5,0,0,0,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0
2020-01-28,5,0,0,0,5,5,0,0,0,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0
2020-01-29,5,0,0,0,5,5,0,0,0,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0
2020-01-30,5,0,0,0,5,5,0,0,0,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0
2020-01-31,7,0,0,0,7,7,2,0,0,0,2,2,0.0,0.0,100.0,0.0,0.0,0.0
2020-02-01,8,0,0,0,8,8,1,0,0,0,1,1,0.0,0.0,100.0,0.0,0.0,0.0
2020-02-02,8,0,0,0,8,8,0,0,0,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0
2020-02-03,11,0,0,0,11,11,3,0,0,0,3,3,0.0,0.0,100.0,0.0,0.0,0.0
2020-02-04,11,0,0,0,11,11,0,0,0,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0
2020-02-05,11,0,0,0,11,11,0,0,0,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0
2020-02-06,11,0,0,0,11,11,0,0,0,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0
2020-02-07,11,0,0,0,11,11,0,0,0,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0
2020-02-08,11,0,0,0,11,11,0,0,0,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0
2020-02-09,11,0,3,0,11,8,0,0,3,0,0,-3,0.0,27.27,72.73,0.0,27.27,-27.26
2020-02-10,11,0,3,0,11,8,0,0,0,0,0,0,0.0,27.27,72.73,0.0,0.0,0.0
2020-02-11,12,0,3,0,12,9,1,0,0,0,1,1,0.0,25.0,75.0,0.0,-2.26,2.26
2020-02-12,12,0,3,0,12,9,0,0,0,0,0,0,0.0,25.0,75.0,0.0,0.0,0.0
2020-02-13,13,0,3,0,13,10,1,0,0,0,1,1,0.0,23.08,76.92,0.0,-1.92,1.92
2020-02-14,13,0,3,0,13,10,0,0,0,0,0,0,0.0,23.08,76.92,0.0,0.0,0.0
2020-02-15,13,0,3,0,13,10,0,0,0,0,0,0,0.0,23.08,76.92,0.0,0.0,0.0
2020-02-16,13,0,3,0,13,10,0,0,0,0,0,0,0.0,23.08,76.92,0.0,0.0,0.0
2020-02-17,13,0,3,0,13,10,0,0,0,0,0,0,0.0,23.08,76.92,0.0,0.0,0.0
2020-02-18,13,0,3,0,13,10,0,0,0,0,0,0,0.0,23.08,76.92,0.0,0.0,0.0
2020-02-19,13,0,3,0,13,10,0,0,0,0,0,0,0.0,23.08,76.92,0.0,0.0,0.0
2020-02-20,13,0,3,0,13,10,0,0,0,0,0,0,0.0,23.08,76.92,0.0,0.0,0.0
2020-02-21,15,0,5,0,15,10,2,0,2,0,2,0,0.0,33.33,66.67,0.0,10.25,-10.25
2020-02-22,15,0,5,0,15,10,0,0,0,0,0,0,0.0,33.33,66.67,0.0,0.0,0.0
2020-02-23,15,0,5,0,15,10,0,0,0,0,0,0,0.0,33.33,66.67,0.0,0.0,0.0
2020-02-24,51,0,5,1,50,46,36,0,0,1,35,36,0.0,9.8,90.2,0.0,-23.52,23.53
2020-02-25,51,0,6,2,49,45,0,0,1,1,-1,-1,0.0,11.76,88.24,0.0,1.95,-1.96
2020-02-26,57,0,6,3,54,51,6,0,0,1,5,6,0.0,10.53,89.47,0.0,-1.23,1.23
2020-02-27,58,0,6,4,54,52,1,0,0,1,0,1,0.0,10.34,89.66,0.0,-0.18,0.18
2020-02-28,60,0,7,6,54,53,2,0,1,2,0,1,0.0,11.67,88.33,0.0,1.33,-1.32
2020-02-29,68,1,7,9,58,60,8,1,0,3,4,7,1.47,10.29,88.24,1.47,-1.38,-0.09
2020-03-01,74,1,7,12,61,66,6,0,0,3,3,6,1.35,9.46,89.19,-0.11,-0.82,0.95
2020-03-02,98,6,7,17,75,85,24,5,0,5,14,19,6.12,7.14,86.73,4.76,-2.32,-2.45
2020-03-03,118,7,7,24,87,104,20,1,0,7,12,19,5.93,5.93,88.14,-0.19,-1.21,1.4
2020-03-04,149,11,7,33,105,131,31,4,0,9,18,27,7.38,4.7,87.92,1.45,-1.22,-0.21
2020-03-05,217,12,7,45,160,198,68,1,0,12,55,67,5.53,3.23,91.24,-1.84,-1.47,3.31
2020-03-06,262,14,7,62,186,241,45,2,0,17,26,43,5.34,2.67,91.98,-0.19,-0.56,0.74
2020-03-07,402,17,7,84,301,378,140,3,0,22,115,137,4.23,1.74,94.03,-1.1,-0.93,2.04
2020-03-08,518,21,7,114,383,490,116,4,0,30,82,112,4.05,1.35,94.59,-0.18,-0.38,0.56
2020-03-09,583,22,7,153,408,554,65,1,0,39,25,64,3.77,1.2,95.03,-0.27,-0.15,0.43
2020-03-10,959,28,8,203,728,923,376,6,1,50,320,369,2.92,0.83,96.25,-0.85,-0.37,1.21
2020-03-11,1281,36,8,267,978,1237,322,8,0,64,250,314,2.81,0.62,96.57,-0.1,-0.2,0.31
2020-03-12,1663,40,12,349,1274,1611,382,4,4,82,296,374,2.41,0.72,96.87,-0.39,0.09,0.3
2020-03-13,2179,47,12,452,1680,2120,516,7,0,103,406,509,2.16,0.55,97.29,-0.25,-0.16,0.42
2020-03-14,2727,54,12,582,2091,2661,548,7,0,130,411,541,1.98,0.44,97.58,-0.18,-0.11,0.28
2020-03-15,3499,63,12,743,2693,3424,772,9,0,161,602,763,1.8,0.34,97.86,-0.17,-0.09,0.28
2020-03-16,4632,85,17,943,3604,4530,1133,22,5,200,911,1106,1.84,0.37,97.8,0.04,0.02,-0.06
2020-03-17,6421,108,17,1189,5124,6296,1789,23,0,246,1520,1766,1.68,0.26,98.05,-0.16,-0.1,0.25
2020-03-18,7783,118,105,1491,6174,7560,1362,10,88,302,1050,1264,1.52,1.35,97.13,-0.15,1.09,-0.92
2020-03-19,13747,200,121,1859,11688,13426,5964,82,16,368,5514,5866,1.45,0.88,97.66,-0.07,-0.47,0.53
2020-03-20,19273,244,147,2304,16725,18882,5526,44,26,445,5037,5456,1.27,0.76,97.97,-0.17,-0.12,0.31
2020-03-21,25600,307,176,2841,22452,25117,6327,63,29,537,5727,6235,1.2,0.69,98.11,-0.07,-0.07,0.14
2020-03-22,33276,417,178,3484,29375,32681,7676,110,2,643,6923,7564,1.25,0.53,98.21,0.05,-0.15,0.09
2020-03-23,43843,557,178,4251,39035,43108,10567,140,0,767,9660,10427,1.27,0.41,98.32,0.02,-0.12,0.1
2020-03-24,53736,706,348,5161,47869,52682,9893,149,170,910,8834,9574,1.31,0.65,98.04,0.04,0.24,-0.27
2020-03-25,65778,942,361,6236,58600,64475,12042,236,13,1075,10731,11793,1.43,0.55,98.02,0.11,-0.09,-0.02
2020-03-26,83836,1209,681,7500,75127,81946,18058,267,320,1264,16527,17471,1.44,0.81,97.75,0.01,0.26,-0.26
2020-03-27,101657,1581,869,8978,91098,99207,17821,372,188,1478,15971,17261,1.56,0.85,97.59,0.12,0.03,-0.15
2020-03-28,121465,2026,1072,10698,108741,118367,19808,445,203,1720,17643,19160,1.67,0.88,97.45,0.1,0.03,-0.14
2020-03-29,140909,2467,2665,12692,125750,135777,19444,441,1593,1994,17009,17410,1.75,1.89,96.36,0.08,1.0,-1.09
2020-03-30,161831,2978,5644,14992,143861,153209,20922,511,2979,2300,18111,17432,1.84,3.49,94.67,0.09,1.6,-1.68
2020-03-31,188172,3873,7024,17634,166665,177275,26341,895,1380,2642,22804,24066,2.06,3.73,94.21,0.21,0.23,-0.46
2020-04-01,213372,4757,8474,20655,187960,200141,25200,884,1450,3021,21295,22866,2.23,3.97,93.8,0.16,0.24,-0.4
2020-04-02,243762,5926,9001,24094,213742,228835,30390,1169,527,3439,25782,28694,2.43,3.69,93.88,0.2,-0.28,0.07
2020-04-03,275586,7087,9707,27988,240511,258792,31824,1161,706,3894,26769,29957,2.57,3.52,93.91,0.13,-0.16,0.03
2020-04-04,308853,8407,14652,32378,268068,285794,33267,1320,4945,4390,27557,27002,2.72,4.74,92.53,0.15,1.22,-1.37
2020-04-05,337072,9619,17448,37304,290149,310005,28219,1212,2796,4926,22081,24211,2.85,5.18,91.97,0.12,0.43,-0.56
2020-04-06,366667,10783,19581,42804,313080,336303,29595,1164,2133,5500,22931,26298,2.94,5.34,91.72,0.08,0.16,-0.25
2020-04-07,397505,12794,21763,48917,335794,362948,30838,2011,2182,6113,22714,26645,3.22,5.47,91.31,0.28,0.12,-0.4
2020-04-08,429052,14695,23559,55682,358675,390798,31547,1901,1796,6765,22881,27850,3.42,5.49,91.08,0.19,0.02,-0.23
2020-04-09,462780,16544,25410,63135,383101,420826,33728,1849,1851,7453,24426,30028,3.57,5.49,90.93,0.14,0.0,-0.14
2020-04-10,496535,18586,28790,71311,406638,449159,33755,2042,3380,8176,23537,28333,3.74,5.8,90.46,0.17,0.3,-0.47
2020-04-11,526396,20462,31270,80240,425694,474664,29861,1876,2480,8929,19056,25505,3.89,5.94,90.17,0.14,0.14,-0.28
2020-04-12,555313,22019,32988,89949,443345,500306,28917,1557,1718,9709,17651,25642,3.97,5.94,90.09,0.08,0.0,-0.07
2020-04-13,580619,23528,43482,100461,456630,513609,25306,1509,10494,10512,13285,13303,4.05,7.49,88.46,0.07,1.54,-1.63
2020-04-14,607670,25831,47763,111792,470047,534076,27051,2303,4281,11331,13417,20467,4.25,7.86,87.89,0.2,0.37,-0.56
2020-04-15,636350,28325,52096,123951,484074,555929,28680,2494,4333,12159,14027,21853,4.45,8.19,87.36,0.2,0.32,-0.53
2020-04-16,667592,32916,54703,136941,497735,579973,31242,4591,2607,12990,13661,24044,4.93,8.19,86.88,0.47,0.0,-0.48
2020-04-17,699706,36773,58545,150759,512174,604388,32114,3857,3842,13818,14439,24415,5.26,8.37,86.38,0.33,0.17,-0.5
2020-04-18,732197,38664,64840,165392,528141,628693,32491,1891,6295,14633,15967,24305,5.28,8.86,85.86,0.02,0.49,-0.51
2020-04-19,759086,40661,70337,180822,537603,648088,26889,1997,5497,15430,9462,19395,5.36,9.27,85.38,0.08,0.41,-0.48
2020-04-20,759766,40683,70980,197021,522062,648103,680,22,643,16199,-15541,15,5.35,9.34,85.3,-0.01,0.07,-0.07
