,2020-01-22,2020-01-23,2020-01-24,2020-01-25,2020-01-26,2020-01-27,2020-01-28,2020-01-29,2020-01-30,2020-01-31,2020-02-01,2020-02-02,2020-02-03,2020-02-04,2020-02-05,2020-02-06,2020-02-07,2020-02-08,2020-02-09,2020-02-10,2020-02-11,2020-02-12,2020-02-13,2020-02-14,2020-02-15,2020-02-16,2020-02-17,2020-02-18,2020-02-19,2020-02-20,2020-02-21,2020-02-22,2020-02-23,2020-02-24,2020-02-25,2020-02-26,2020-02-27,2020-02-28,2020-02-29,2020-03-01,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20
Total Confirmed,1.0,1.0,2.0,2.0,5.0,5.0,5.0,5.0,5.0,7.0,8.0,8.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,12.0,12.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,15.0,15.0,15.0,51.0,51.0,57.0,58.0,60.0,68.0,74.0,98.0,118.0,149.0,217.0,262.0,402.0,518.0,583.0,959.0,1281.0,1663.0,2179.0,2727.0,3499.0,4632.0,6421.0,7783.0,13747.0,19273.0,25600.0,33276.0,43843.0,53736.0,65778.0,83836.0,101657.0,121465.0,140909.0,161831.0,188172.0,213372.0,243762.0,275586.0,308853.0,337072.0,366667.0,397505.0,429052.0,462780.0,496535.0,526396.0,555313.0,580619.0,607670.0,636350.0,667592.0,699706.0,732197.0,759086.0,759766.0
Total Deaths,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,6.0,7.0,11.0,12.0,14.0,17.0,21.0,22.0,28.0,36.0,40.0,47.0,54.0,63.0,85.0,108.0,118.0,200.0,244.0,307.0,417.0,557.0,706.0,942.0,1209.0,1581.0,2026.0,2467.0,2978.0,3873.0,4757.0,5926.0,7087.0,8407.0,9619.0,10783.0,12794.0,14695.0,16544.0,18586.0,20462.0,22019.0,23528.0,25831.0,28325.0,32916.0,36773.0,38664.0,40661.0,40683.0
Total Recovered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,5.0,5.0,5.0,5.0,6.0,6.0,6.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,8.0,8.0,12.0,12.0,12.0,12.0,17.0,17.0,105.0,121.0,147.0,176.0,178.0,178.0,348.0,361.0,681.0,869.0,1072.0,2665.0,5644.0,7024.0,8474.0,9001.0,9707.0,14652.0,17448.0,19581.0,21763.0,23559.0,25410.0,28790.0,31270.0,32988.0,43482.0,47763.0,52096.0,54703.0,58545.0,64840.0,70337.0,70980.0
Total Recovered_Est,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,4.0,6.0,9.0,12.0,17.0,24.0,33.0,45.0,62.0,84.0,114.0,153.0,203.0,267.0,349.0,452.0,582.0,743.0,943.0,1189.0,1491.0,1859.0,2304.0,2841.0,3484.0,4251.0,5161.0,6236.0,7500.0,8978.0,10698.0,12692.0,14992.0,17634.0,20655.0,24094.0,27988.0,32378.0,37304.0,42804.0,48917.0,55682.0,63135.0,71311.0,80240.0,89949.0,100461.0,111792.0,123951.0,136941.0,150759.0,165392.0,180822.0,197021.0
Total Active_Est,1.0,1.0,2.0,2.0,5.0,5.0,5.0,5.0,5.0,7.0,8.0,8.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,12.0,12.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,15.0,15.0,15.0,50.0,49.0,54.0,54.0,54.0,58.0,61.0,75.0,87.0,105.0,160.0,186.0,301.0,383.0,408.0,728.0,978.0,1274.0,1680.0,2091.0,2693.0,3604.0,5124.0,6174.0,11688.0,16725.0,22452.0,29375.0,39035.0,47869.0,58600.0,75127.0,91098.0,108741.0,125750.0,143861.0,166665.0,187960.0,213742.0,240511.0,268068.0,290149.0,313080.0,335794.0,358675.0,383101.0,406638.0,425694.0,443345.0,456630.0,470047.0,484074.0,497735.0,512174.0,528141.0,537603.0,522062.0
Total Active,1.0,1.0,2.0,2.0,5.0,5.0,5.0,5.0,5.0,7.0,8.0,8.0,11.0,11.0,11.0,11.0,11.0,11.0,8.0,8.0,9.0,9.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,46.0,45.0,51.0,52.0,53.0,60.0,66.0,85.0,104.0,131.0,198.0,241.0,378.0,490.0,554.0,923.0,1237.0,1611.0,2120.0,2661.0,3424.0,4530.0,6296.0,7560.0,13426.0,18882.0,25117.0,32681.0,43108.0,52682.0,64475.0,81946.0,99207.0,118367.0,135777.0,153209.0,177275.0,200141.0,228835.0,258792.0,285794.0,310005.0,336303.0,362948.0,390798.0,420826.0,449159.0,474664.0,500306.0,513609.0,534076.0,555929.0,579973.0,604388.0,628693.0,648088.0,648103.0
Daily New Confirmed,1.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,36.0,0.0,6.0,1.0,2.0,8.0,6.0,24.0,20.0,31.0,68.0,45.0,140.0,116.0,65.0,376.0,322.0,382.0,516.0,548.0,772.0,1133.0,1789.0,1362.0,5964.0,5526.0,6327.0,7676.0,10567.0,9893.0,12042.0,18058.0,17821.0,19808.0,19444.0,20922.0,26341.0,25200.0,30390.0,31824.0,33267.0,28219.0,29595.0,30838.0,31547.0,33728.0,33755.0,29861.0,28917.0,25306.0,27051.0,28680.0,31242.0,32114.0,32491.0,26889.0,680.0
Daily New Deaths,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,1.0,4.0,1.0,2.0,3.0,4.0,1.0,6.0,8.0,4.0,7.0,7.0,9.0,22.0,23.0,10.0,82.0,44.0,63.0,110.0,140.0,149.0,236.0,267.0,372.0,445.0,441.0,511.0,895.0,884.0,1169.0,1161.0,1320.0,1212.0,1164.0,2011.0,1901.0,1849.0,2042.0,1876.0,1557.0,1509.0,2303.0,2494.0,4591.0,3857.0,1891.0,1997.0,22.0
Daily New Recovered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,5.0,0.0,88.0,16.0,26.0,29.0,2.0,0.0,170.0,13.0,320.0,188.0,203.0,1593.0,2979.0,1380.0,1450.0,527.0,706.0,4945.0,2796.0,2133.0,2182.0,1796.0,1851.0,3380.0,2480.0,1718.0,10494.0,4281.0,4333.0,2607.0,3842.0,6295.0,5497.0,643.0
Daily New Recovered_Est,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,3.0,3.0,5.0,7.0,9.0,12.0,17.0,22.0,30.0,39.0,50.0,64.0,82.0,103.0,130.0,161.0,200.0,246.0,302.0,368.0,445.0,537.0,643.0,767.0,910.0,1075.0,1264.0,1478.0,1720.0,1994.0,2300.0,2642.0,3021.0,3439.0,3894.0,4390.0,4926.0,5500.0,6113.0,6765.0,7453.0,8176.0,8929.0,9709.0,10512.0,11331.0,12159.0,12990.0,13818.0,14633.0,15430.0,16199.0
Daily New Active_Est,1.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,35.0,-1.0,5.0,0.0,0.0,4.0,3.0,14.0,12.0,18.0,55.0,26.0,115.0,82.0,25.0,320.0,250.0,296.0,406.0,411.0,602.0,911.0,1520.0,1050.0,5514.0,5037.0,5727.0,6923.0,9660.0,8834.0,10731.0,16527.0,15971.0,17643.0,17009.0,18111.0,22804.0,21295.0,25782.0,26769.0,27557.0,22081.0,22931.0,22714.0,22881.0,24426.0,23537.0,19056.0,17651.0,13285.0,13417.0,14027.0,13661.0,14439.0,15967.0,9462.0,-15541.0
