,Total Confirmed,Total Deaths,Total Recovered,Total Recovered_Est,Total Active_Est,Total Active,Daily New Confirmed,Daily New Deaths,Daily New Recovered,Daily New Recovered_Est,Daily New Active_Est,Daily New Active,Total Mortality_Rate,Total Recovery_Rate,Total Activity_Rate,Change in Mortality_Rate,Change in Recovery_Rate,Change in Activity_Rate
2020-01-22,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-23,2,0,0,0,2,2,2,0,0,0,2,2,0.0,0.0,100.0,0.0,0.0,100.0
2020-01-24,2,0,0,0,2,2,0,0,0,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0
2020-01-25,2,0,0,0,2,2,0,0,0,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0
2020-01-26,2,0,0,0,2,2,0,0,0,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0
2020-01-27,2,0,0,0,2,2,0,0,0,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0
2020-01-28,2,0,0,0,2,2,0,0,0,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0
2020-01-29,2,0,0,0,2,2,0,0,0,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0
2020-01-30,2,0,0,0,2,2,0,0,0,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0
2020-01-31,2,0,0,0,2,2,0,0,0,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0
2020-02-01,6,0,1,0,6,5,4,0,1,0,4,3,0.0,16.67,83.33,0.0,16.67,-16.67
2020-02-02,6,0,1,0,6,5,0,0,0,0,0,0,0.0,16.67,83.33,0.0,0.0,0.0
2020-02-03,8,0,1,0,8,7,2,0,0,0,2,2,0.0,12.5,87.5,0.0,-4.17,4.17
2020-02-04,8,0,1,0,8,7,0,0,0,0,0,0,0.0,12.5,87.5,0.0,0.0,0.0
2020-02-05,8,0,1,0,8,7,0,0,0,0,0,0,0.0,12.5,87.5,0.0,0.0,0.0
2020-02-06,10,0,1,0,10,9,2,0,0,0,2,2,0.0,10.0,90.0,0.0,-2.5,2.5
2020-02-07,10,0,1,0,10,9,0,0,0,0,0,0,0.0,10.0,90.0,0.0,0.0,0.0
2020-02-08,13,0,1,0,13,12,3,0,0,0,3,3,0.0,7.69,92.31,0.0,-2.3,2.31
2020-02-09,13,0,1,0,13,12,0,0,0,0,0,0,0.0,7.69,92.31,0.0,0.0,0.0
2020-02-10,14,0,1,0,14,13,1,0,0,0,1,1,0.0,7.14,92.86,0.0,-0.55,0.54
2020-02-11,15,0,6,0,15,9,1,0,5,0,1,-4,0.0,40.0,60.0,0.0,32.86,-32.86
2020-02-12,15,0,6,0,15,9,0,0,0,0,0,0,0.0,40.0,60.0,0.0,0.0,0.0
2020-02-13,16,0,7,0,16,9,1,0,1,0,1,0,0.0,43.75,56.25,0.0,3.75,-3.75
2020-02-14,16,0,7,0,16,9,0,0,0,0,0,0,0.0,43.75,56.25,0.0,0.0,0.0
2020-02-15,16,0,7,0,16,9,0,0,0,0,0,0,0.0,43.75,56.25,0.0,0.0,0.0
2020-02-16,16,0,7,0,16,9,0,0,0,0,0,0,0.0,43.75,56.25,0.0,0.0,0.0
2020-02-17,16,0,7,0,16,9,0,0,0,0,0,0,0.0,43.75,56.25,0.0,0.0,0.0
2020-02-18,16,0,7,0,16,9,0,0,0,0,0,0,0.0,43.75,56.25,0.0,0.0,0.0
2020-02-19,16,0,7,0,16,9,0,0,0,0,0,0,0.0,43.75,56.25,0.0,0.0,0.0
2020-02-20,16,0,7,0,16,9,0,0,0,0,0,0,0.0,43.75,56.25,0.0,0.0,0.0
2020-02-21,16,0,14,0,16,2,0,0,7,0,0,-7,0.0,87.5,12.5,0.0,43.75,-43.75
2020-02-22,16,0,14,0,16,2,0,0,0,0,0,0,0.0,87.5,12.5,0.0,0.0,0.0
2020-02-23,16,0,14,0,16,2,0,0,0,0,0,0,0.0,87.5,12.5,0.0,0.0,0.0
2020-02-24,16,0,14,0,16,2,0,0,0,0,0,0,0.0,87.5,12.5,0.0,0.0,0.0
2020-02-25,16,0,16,0,16,0,0,0,2,0,0,-2,0.0,100.0,0.0,0.0,12.5,-12.5
2020-02-26,16,0,16,0,16,0,0,0,0,0,0,0,0.0,100.0,0.0,0.0,0.0,0.0
2020-02-27,16,0,16,0,16,0,0,0,0,0,0,0,0.0,100.0,0.0,0.0,0.0,0.0
2020-02-28,16,0,16,0,16,0,0,0,0,0,0,0,0.0,100.0,0.0,0.0,0.0,0.0
2020-02-29,16,0,16,0,16,0,0,0,0,0,0,0,0.0,100.0,0.0,0.0,0.0,0.0
2020-03-01,16,0,16,0,16,0,0,0,0,0,0,0,0.0,100.0,0.0,0.0,0.0,0.0
2020-03-02,16,0,16,0,16,0,0,0,0,0,0,0,0.0,100.0,0.0,0.0,0.0,0.0
2020-03-03,16,0,16,0,16,0,0,0,0,0,0,0,0.0,100.0,0.0,0.0,0.0,0.0
2020-03-04,16,0,16,0,16,0,0,0,0,0,0,0,0.0,100.0,0.0,0.0,0.0,0.0
