,2020-01-22,2020-01-23,2020-01-24,2020-01-25,2020-01-26,2020-01-27,2020-01-28,2020-01-29,2020-01-30,2020-01-31,2020-02-01,2020-02-02,2020-02-03,2020-02-04,2020-02-05,2020-02-06,2020-02-07,2020-02-08,2020-02-09,2020-02-10,2020-02-11,2020-02-12,2020-02-13,2020-02-14,2020-02-15,2020-02-16,2020-02-17,2020-02-18,2020-02-19,2020-02-20,2020-02-21,2020-02-22,2020-02-23,2020-02-24,2020-02-25,2020-02-26,2020-02-27,2020-02-28,2020-02-29,2020-03-01,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05
CN-AH,1.0,9.0,15.0,39.0,60.0,70.0,106.0,150.0,198.0,234.0,292.0,333.0,394.0,460.0,507.0,557.0,618.0,674.0,706.0,739.0,751.0,758.0,748.0,735.0,723.0,701.0,687.0,615.0,567.0,507.0,443.0,386.0,346.0,320.0,271.0,239.0,191.0,163.0,116.0,111.0,67.0,48.0,28.0,14.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CN-BJ,14.0,22.0,35.0,39.0,66.0,77.0,86.0,106.0,109.0,133.0,158.0,181.0,199.0,204.0,228.0,242.0,263.0,279.0,287.0,291.0,291.0,293.0,294.0,289.0,273.0,268.0,263.0,261.0,244.0,238.0,223.0,217.0,206.0,197.0,181.0,161.0,157.0,146.0,132.0,129.0,124.0,118.0,113.0,113.0,115.0,115.0,112.0,105.0,101.0,101.0,93.0,86.0,80.0,81.0,84.0,79.0,83.0,92.0,93.0,100.0,114.0,129.0,149.0,150.0,152.0,153.0,155.0,157.0,154.0,154.0,154.0,150.0,142.0,139.0,137.0
CN-CQ,6.0,9.0,27.0,57.0,75.0,110.0,132.0,146.0,181.0,210.0,243.0,291.0,326.0,355.0,372.0,385.0,393.0,387.0,415.0,418.0,423.0,413.0,397.0,380.0,355.0,339.0,323.0,296.0,281.0,262.0,250.0,239.0,234.0,221.0,198.0,186.0,169.0,148.0,132.0,120.0,101.0,80.0,68.0,58.0,57.0,44.0,43.0,28.0,23.0,16.0,6.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
CN-FJ,1.0,5.0,10.0,18.0,35.0,59.0,80.0,84.0,101.0,120.0,144.0,159.0,178.0,191.0,194.0,201.0,204.0,215.0,215.0,222.0,222.0,219.0,222.0,218.0,214.0,205.0,200.0,199.0,181.0,166.0,143.0,130.0,122.0,109.0,94.0,75.0,67.0,60.0,52.0,48.0,40.0,35.0,25.0,18.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,7.0,17.0,17.0,22.0,26.0,32.0,35.0,41.0,42.0,44.0,47.0,46.0,45.0,48.0,48.0,46.0
CN-GD,26.0,30.0,51.0,76.0,109.0,147.0,203.0,272.0,344.0,425.0,521.0,617.0,704.0,783.0,846.0,901.0,945.0,982.0,989.0,991.0,964.0,943.0,925.0,897.0,882.0,849.0,794.0,759.0,720.0,685.0,638.0,606.0,581.0,553.0,518.0,489.0,450.0,406.0,359.0,326.0,284.0,242.0,210.0,163.0,129.0,108.0,89.0,84.0,71.0,66.0,59.0,52.0,49.0,48.0,47.0,49.0,49.0,52.0,64.0,67.0,76.0,75.0,87.0,89.0,104.0,111.0,118.0,118.0,125.0,130.0,136.0,134.0,138.0,130.0,129.0
CN-GS,0.0,2.0,2.0,4.0,7.0,14.0,19.0,24.0,26.0,29.0,40.0,48.0,52.0,53.0,56.0,56.0,58.0,66.0,65.0,64.0,60.0,54.0,49.0,49.0,39.0,34.0,31.0,27.0,24.0,18.0,13.0,13.0,11.0,9.0,9.0,8.0,8.0,7.0,7.0,5.0,4.0,3.0,2.0,13.0,30.0,31.0,35.0,34.0,35.0,37.0,37.0,37.0,38.0,40.0,40.0,40.0,40.0,41.0,34.0,19.0,20.0,20.0,15.0,15.0,13.0,11.0,9.0,11.0,11.0,11.0,9.0,9.0,9.0,5.0,5.0
CN-GX,2.0,5.0,23.0,23.0,36.0,46.0,49.0,56.0,76.0,85.0,98.0,109.0,120.0,129.0,137.0,154.0,155.0,166.0,176.0,185.0,181.0,189.0,187.0,188.0,189.0,186.0,183.0,171.0,156.0,153.0,147.0,143.0,141.0,137.0,116.0,103.0,89.0,82.0,74.0,69.0,58.0,48.0,40.0,36.0,33.0,32.0,27.0,20.0,16.0,12.0,9.0,7.0,7.0,7.0,2.0,3.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0
CN-GZ,1.0,3.0,3.0,4.0,5.0,7.0,9.0,8.0,11.0,27.0,27.0,36.0,44.0,56.0,54.0,64.0,74.0,81.0,91.0,98.0,109.0,114.0,107.0,111.0,101.0,97.0,88.0,78.0,74.0,72.0,67.0,54.0,42.0,42.0,40.0,40.0,32.0,32.0,32.0,32.0,30.0,30.0,30.0,30.0,30.0,29.0,27.0,21.0,15.0,11.0,7.0,4.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CN-HA,5.0,5.0,9.0,32.0,82.0,127.0,167.0,203.0,274.0,347.0,417.0,481.0,548.0,646.0,715.0,793.0,825.0,861.0,874.0,876.0,880.0,881.0,863.0,816.0,808.0,778.0,721.0,716.0,670.0,609.0,512.0,421.0,384.0,309.0,250.0,219.0,184.0,140.0,81.0,52.0,45.0,19.0,16.0,11.0,6.0,6.0,3.0,3.0,3.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
CN-HB,399.0,399.0,494.0,689.0,964.0,1302.0,3349.0,3341.0,4651.0,5461.0,6736.0,10532.0,12722.0,15677.0,18483.0,20677.0,23139.0,24881.0,26965.0,28532.0,29659.0,29612.0,43437.0,48175.0,49030.0,49847.0,50338.0,50633.0,49665.0,48510.0,48637.0,46439.0,46395.0,45044.0,43252.0,41603.0,39572.0,36829.0,34617.0,32610.0,30366.0,28174.0,25904.0,23972.0,22628.0,21207.0,19486.0,18247.0,16993.0,15593.0,14407.0,13171.0,11755.0,10421.0,9557.0,8685.0,7751.0,6988.0,6285.0,5715.0,5214.0,4768.0,4317.0,3827.0,3431.0,2895.0,2526.0,2049.0,1726.0,1461.0,1283.0,1132.0,987.0,834.0,648.0
