,Country,State,County,Confirmed,Recovered,Deaths
0,Canada,Alberta,,1250,0,23
1,United Kingdom,Anguilla,,3,0,0
2,China,Anhui,,990,984,6
3,Netherlands,Aruba,,64,1,0
4,Australia,Australian Capital Territory,,96,40,2
5,China,Beijing,,587,443,8
6,United Kingdom,Bermuda,,37,14,0
7,Netherlands,"Bonaire, Sint Eustatius and Saba",,2,0,0
8,Canada,British Columbia,,1203,0,38
9,United Kingdom,British Virgin Islands,,3,0,0
10,United Kingdom,Cayman Islands,,39,1,1
11,United Kingdom,Channel Islands,,309,27,7
12,China,Chongqing,,579,570,6
13,Netherlands,Curacao,,13,5,1
14,Canada,Diamond Princess,,0,0,1
15,United Kingdom,Falkland Islands (Islas Malvinas),,2,0,0
16,Denmark,Faroe Islands,,183,107,0
17,France,French Guiana,,68,27,0
18,France,French Polynesia,,41,0,0
19,China,Fujian,,350,305,1
20,China,Gansu,,139,132,2
21,United Kingdom,Gibraltar,,109,52,0
22,Canada,Grand Princess,,13,0,0
23,Denmark,Greenland,,11,4,0
24,France,Guadeloupe,,135,31,7
25,China,Guangdong,,1532,1395,8
26,China,Guangxi,,254,252,2
27,China,Guizhou,,146,144,2
28,China,Hainan,,168,162,6
29,China,Hebei,,327,310,6
30,China,Heilongjiang,,524,469,13
31,China,Henan,,1276,1252,22
32,China,Hong Kong,,914,216,4
33,China,Hubei,,67803,64014,3212
34,China,Hunan,,1019,1014,4
35,China,Inner Mongolia,,118,74,1
36,United Kingdom,Isle of Man,,139,55,1
37,China,Jiangsu,,651,633,0
38,China,Jiangxi,,937,935,1
39,China,Jilin,,98,92,1
40,China,Liaoning,,142,128,2
41,China,Macau,,44,10,0
42,Canada,Manitoba,,203,0,2
43,France,Martinique,,149,50,4
44,France,Mayotte,,147,14,2
45,United Kingdom,Montserrat,,6,0,0
46,Canada,New Brunswick,,101,0,0
47,France,New Caledonia,,18,1,0
48,Australia,New South Wales,,2637,4,18
49,Canada,Newfoundland and Labrador,,217,0,1
50,China,Ningxia,,75,75,0
51,Australia,Northern Territory,,28,2,0
52,Canada,Northwest Territories,,4,0,0
53,Canada,Nova Scotia,,262,0,0
54,Canada,Ontario,,4347,0,132
55,Canada,Prince Edward Island,,22,0,0
56,China,Qinghai,,18,18,0
57,Canada,Quebec,,7944,0,94
58,Australia,Queensland,,921,173,4
59,Canada,Recovered,,0,3256,0
60,France,Reunion,,349,40,0
61,France,Saint Barthelemy,,6,1,0
62,France,Saint Pierre and Miquelon,,1,0,0
63,Canada,Saskatchewan,,249,0,3
64,China,Shaanxi,,256,246,3
65,China,Shandong,,780,755,7
66,China,Shanghai,,536,389,6
67,China,Shanxi,,138,133,0
68,China,Sichuan,,559,540,3
69,Netherlands,Sint Maarten,,37,1,6
70,Australia,South Australia,,411,53,0
71,France,St Martin,,32,7,2
72,Australia,Tasmania,,86,26,2
73,China,Tianjin,,180,144,3
74,China,Tibet,,1,1,0
75,United Kingdom,Turks and Caicos Islands,,5,0,1
76,Australia,Victoria,,1158,620,10
77,Australia,Western Australia,,460,162,4
78,China,Xinjiang,,76,73,3
79,Canada,Yukon,,6,0,0
80,China,Yunnan,,184,172,2
81,China,Zhejiang,,1264,1230,1
82,Afghanistan,,,367,17,7
83,Albania,,,377,116,21
84,Algeria,,,1423,90,173
