Country,2020-01-22,2020-01-23,2020-01-24,2020-01-25,2020-01-26,2020-01-27,2020-01-28,2020-01-29,2020-01-30,2020-01-31,2020-02-01,2020-02-02,2020-02-03,2020-02-04,2020-02-05,2020-02-06,2020-02-07,2020-02-08,2020-02-09,2020-02-10,2020-02-11,2020-02-12,2020-02-13,2020-02-14,2020-02-15,2020-02-16,2020-02-17,2020-02-18,2020-02-19,2020-02-20,2020-02-21,2020-02-22,2020-02-23,2020-02-24,2020-02-25,2020-02-26,2020-02-27,2020-02-28,2020-02-29,2020-03-01,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20
AD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-100.0,100.0,-100.0,0.0,50.0,47.44,0.0,0.67,0.56,0.18,-0.62,0.26,0.28,0.15,-0.73,0.29,0.2,-0.79,-2.76,-0.98,-0.3,0.31,-1.45,-0.85,-0.62,-1.12,-1.28,-2.1,-0.93,-1.9,0.0,-8.46,0.31,0.17,-5.88,0.0,-2.45,-1.62,-3.91,0.0
AE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12.5,0.0,0.0,-25.0,-6.93,0.0,0.0,0.0,0.0,0.0,13.67,0.0,0.0,0.0,0.0,0.0,4.45,2.5,0.0,0.0,5.29,0.0,1.28,0.0,1.67,0.0,0.0,-0.65,-6.75,2.96,0.0,0.0,-3.46,0.0,0.0,0.45,0.87,-1.42,-2.57,0.0,5.93,1.25,2.73,0.0,2.89,1.78,0.84,-0.09,0.7,1.6,-1.67,0.89,0.29,0.4,0.0,0.17,-1.04,0.0,-3.48,-3.34,-0.76,-2.37,-0.07,-0.4,0.48,-0.03,0.0,-0.12,0.0
AF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.76,0.21,0.0,0.0,0.37,0.0,-0.82,0.0,2.29,-2.06,-1.61,0.92,0.0,0.45,1.46,-1.64,1.37,-2.06,0.17,0.0,-0.6,-1.6,0.33,-2.11,-0.02,0.68,0.0,0.77,0.26,-0.84,0.14,-1.32,-4.23,-0.98,-1.25,0.0
AG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.26,-5.26,0.0,0.0,1.01,0.0,0.81,-13.03,0.0,-4.35,0.0,0.0,0.0,0.0
AL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,-8.32,3.98,1.31,0.4,0.25,0.42,0.14,-1.57,0.26,0.26,-2.4,0.77,-1.28,-6.43,-2.86,1.84,-7.75,0.15,0.53,-4.37,-2.9,-4.09,-1.54,-1.66,-0.86,1.39,-1.99,-3.6,-4.04,-1.96,-3.31,-1.53,-3.0,-0.78,-2.65,1.39,-2.62,1.16,-2.52,-0.64,0.0
AM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.28,0.09,0.31,0.13,0.11,-0.4,0.18,-4.77,-0.42,-0.5,-2.26,1.18,-0.15,0.93,0.64,0.07,0.09,-0.76,0.3,-1.3,-0.6,-2.73,-2.81,-2.1,-1.11,-2.04,-1.5,-0.92,-4.68,-1.92,-4.17,-2.6,-8.46,-0.25,-1.2
AO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-28.56,0.0,-14.29,5.36,0.0,0.0,-2.5,11.43,3.56,1.46,2.48,0.0,0.0,-10.53,0.0,0.0,-5.26,0.0,0.0,0.0,3.51,0.0,0.0
AR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,-8.32,0.0,2.45,0.61,0.0,-1.18,-2.36,2.14,1.31,-1.98,1.01,0.14,1.5,0.25,1.8,0.29,-12.65,-0.51,1.15,-0.09,1.39,0.83,-18.4,5.28,-0.85,0.42,1.65,1.92,-0.14,-1.67,-0.2,-0.34,0.2,1.2,-3.34,0.43,-1.67,-1.31,0.09,-0.07,-0.54,0.04,-0.1,0.96
AT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.53,-0.67,0.57,-0.03,0.26,0.32,0.25,-0.06,0.57,-0.49,0.04,0.12,0.03,-0.1,0.03,-0.03,0.0,-1.62,-1.37,0.15,-2.89,-1.3,-4.27,-2.75,-2.37,-1.85,-3.85,-3.7,-3.38,-3.98,-3.03,-4.82,-5.3,-3.18,-2.32,-2.31,-1.42,-2.87,-5.68,-4.53,-3.19,-1.62,0.0
AU,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,-22.22,0.0,5.54,0.0,0.0,1.29,0.0,1.08,0.96,0.0,0.0,0.0,0.0,0.0,-40.0,0.0,0.0,0.0,-13.34,0.0,0.0,0.0,-6.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.33,-0.43,4.43,9.23,5.76,-16.82,3.49,1.82,4.93,5.2,3.93,3.68,0.0,5.75,2.59,1.65,1.84,0.71,1.07,0.4,0.53,1.09,-3.04,0.47,-0.36,0.64,-1.2,-0.01,-0.5,0.56,0.25,-1.96,-0.84,-1.53,-2.07,-0.46,-0.76,-5.38,0.23,0.28,-6.13,-4.78,0.15,0.01,0.14,-5.64,0.12,-2.5,-21.97,-4.6,0.0,0.0
