Country,2020-01-22,2020-01-23,2020-01-24,2020-01-25,2020-01-26,2020-01-27,2020-01-28,2020-01-29,2020-01-30,2020-01-31,2020-02-01,2020-02-02,2020-02-03,2020-02-04,2020-02-05,2020-02-06,2020-02-07,2020-02-08,2020-02-09,2020-02-10,2020-02-11,2020-02-12,2020-02-13,2020-02-14,2020-02-15,2020-02-16,2020-02-17,2020-02-18,2020-02-19,2020-02-20,2020-02-21,2020-02-22,2020-02-23,2020-02-24,2020-02-25,2020-02-26,2020-02-27,2020-02-28,2020-02-29,2020-03-01,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07
AD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.12732189506019,-13.12732189506019,13.12732189506019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,118.1458970555417,0.0,0.0,0.0,78.76393137036114,65.63660947530094,65.63660947530094,65.63660947530094,0.0
AE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10638133773468389,0.0,0.0,0.21276267546936778,0.10638133773468389,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10638133773468389,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21276267546936778,0.0,0.0,0.5319066886734194,0.5319066886734194,0.0,0.0,0.0,0.6382880264081033,0.0,0.0,0.31914401320405167,0.5319066886734194,0.0,0.7446693641427872,0.0,0.0,0.7446693641427872,0.7446693641427872,0.0,0.0,0.0,0.6382880264081033,0.31914401320405167,0.0,0.0,3.7233468207139357,1.2765760528162067,1.808482741489626,2.0212454169589935,2.4467707678977293,2.0212454169589935
AF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0286198066749231,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0286198066749231,0.0,0.0,0.0,0.0,0.0,0.0858594200247693,0.0,0.1430990333746155,0.0,0.0,0.1430990333746155,0.0858594200247693,0.0
AG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6622058274775023,0.0,0.0,2.6488233099100094,2.3177203961712585,0.0,4.635440792342517,0.0,0.6622058274775023,3.642132051126263,2.6488233099100094,4.966543706081268,2.9799262236487607,4.304337878603765,3.311029137387512,1.655514568693756,3.9732349648650143,4.966543706081268
AM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34124451875991746,0.0,0.0,0.0,0.0,0.34124451875991746,0.0,4.094934225119009,0.6824890375198349,0.6824890375198349,3.412445187599174,0.6824890375198349,0.0,0.0,0.0,0.34124451875991746,0.6824890375198349,3.412445187599174,0.0,4.777423262638844,1.706222593799587,8.531112968997936
AO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.033574856300454405,0.0,0.0,0.0,0.033574856300454405,0.0,0.0,0.0
AR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02225252917796131,0.0,0.0,0.04450505835592262,0.0,0.0,0.0,0.0,0.0,0.0,1.090373929720104,0.0,0.2447778209575744,0.20027276260165178,0.0,0.0,3.471394551761964,0.2670303501355357,0.17802023342369047,0.17802023342369047,0.22252529177961308,0.289282879313497,0.02225252917796131,1.001363813008259,0.289282879313497
AT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22703506284103503,0.22703506284103503,0.0,0.0,0.22703506284103503,0.0,0.0,0.0,-0.5675876571025876,0.9081402513641401,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.692305736313305,12.82748105051848,0.0,28.83345298081145,17.822252433021248,52.10454692201754,38.70947821439647,35.53098733462198,30.990286077801287,55.056002738950994,55.737107927474106,52.785652110540646,66.18072081816172
AU,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08159335503716578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2447800651114973,0.0,0.0,0.0,0.08159335503716578,0.0,0.0,0.0,0.04079667751858289,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4079667751858289,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08159335503716578,0.0,0.0,0.0,0.0,0.0,0.12239003255574865,0.0,0.0,2.5293940061521387,0.0,1.101510293001738,0.16318671007433155,2.162223908484893,0.8975269054088235,2.0398338759291446,0.0,0.5303568077415776,4.120464429376871,2.610987361189305,3.998074396821123,5.262771399897193,2.1214272309663103,2.2846139410406416,13.177326838502273,0.0
