Country,2020-01-22,2020-01-23,2020-01-24,2020-01-25,2020-01-26,2020-01-27,2020-01-28,2020-01-29,2020-01-30,2020-01-31,2020-02-01,2020-02-02,2020-02-03,2020-02-04,2020-02-05,2020-02-06,2020-02-07,2020-02-08,2020-02-09,2020-02-10,2020-02-11,2020-02-12,2020-02-13,2020-02-14,2020-02-15,2020-02-16,2020-02-17,2020-02-18,2020-02-19,2020-02-20,2020-02-21,2020-02-22,2020-02-23,2020-02-24,2020-02-25,2020-02-26,2020-02-27,2020-02-28,2020-02-29,2020-03-01,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20
AD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,0.0,0.0,50.0,97.44,97.44,98.11,98.67,98.86,98.23,98.5,98.78,98.94,98.21,98.5,98.7,97.9,95.14,94.15,93.85,94.16,92.71,91.85,91.22,90.1,88.81,86.7,85.76,83.86,83.86,75.39,75.7,75.87,69.99,69.99,67.53,65.91,61.99,61.99
AE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,87.5,87.5,87.5,62.5,55.56,55.56,55.56,55.56,55.56,55.56,69.23,69.23,69.23,69.23,69.23,69.23,73.68,76.19,76.19,76.19,81.48,81.48,82.76,82.76,84.44,84.44,84.44,83.78,77.03,80.0,80.0,80.0,76.53,76.53,76.53,76.99,77.86,76.43,73.86,73.86,79.8,81.05,83.78,83.78,86.67,88.46,89.3,89.2,89.91,91.52,89.84,90.74,91.03,91.44,91.43,91.61,90.56,90.57,87.08,83.73,82.97,80.6,80.52,80.11,80.6,80.56,80.56,80.43,80.43
AF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,95.24,95.45,95.45,95.45,95.83,95.83,95.0,95.0,97.3,95.24,93.62,94.55,94.55,95.0,96.47,94.83,96.2,94.14,94.31,94.31,93.7,92.1,92.43,90.32,90.29,90.98,90.99,91.76,92.03,91.18,91.33,90.0,85.76,84.78,83.53,83.53
AG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,94.74,89.47,89.47,89.47,90.48,90.48,91.3,78.26,78.26,73.91,73.91,73.91,73.91,73.91
AL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,91.67,95.65,96.97,97.37,97.62,98.04,98.18,96.61,96.88,97.14,94.74,95.51,94.23,87.8,84.93,86.78,79.03,79.19,79.72,75.34,72.43,68.34,66.79,65.13,64.26,65.65,63.66,60.05,56.0,54.03,50.72,49.19,46.19,45.4,42.74,44.13,41.51,42.67,40.15,39.5,39.5
AM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,98.72,98.81,99.13,99.26,99.38,98.97,99.15,94.38,93.96,93.45,91.19,92.38,92.22,93.15,93.8,93.87,93.97,93.21,93.51,92.21,91.6,88.86,86.04,83.93,82.82,80.77,79.27,78.34,73.66,71.74,67.56,64.95,56.49,56.24,55.04
AO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,71.43,71.43,57.14,62.5,62.5,62.5,60.0,71.43,75.0,76.47,78.95,78.95,78.95,68.42,68.42,68.42,63.16,63.16,63.16,63.16,66.67,66.67,66.67
AR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,100.0,100.0,91.67,91.67,94.12,94.74,94.74,93.55,91.18,93.33,94.64,92.65,93.67,93.81,95.31,95.57,97.37,97.67,85.01,84.5,85.66,85.57,86.96,87.79,69.39,74.67,73.81,74.23,75.89,77.81,77.67,76.0,75.8,75.45,75.65,76.86,73.52,73.95,72.28,70.97,71.06,70.98,70.44,70.49,70.38,71.34
AT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,98.47,97.8,98.37,98.34,98.61,98.93,99.19,99.12,99.7,99.21,99.25,99.37,99.4,99.3,99.33,99.3,99.3,97.67,96.3,96.46,93.57,92.26,87.99,85.23,82.86,81.0,77.14,73.43,70.05,66.07,63.03,58.21,52.91,49.72,47.39,45.08,43.65,40.77,35.09,30.56,27.36,25.74,25.74
AU,0.0,0.0,0.0,0.0,100.0,100.0,100.0,100.0,77.78,77.78,83.33,83.33,83.33,84.62,84.62,85.71,86.67,86.67,86.67,86.67,86.67,86.67,46.67,46.67,46.67,46.67,33.33,33.33,33.33,33.33,26.67,26.67,26.67,26.67,26.67,26.67,26.67,26.67,56.0,55.56,60.0,69.23,75.0,58.18,61.67,63.49,68.42,73.63,77.57,81.25,81.25,87.0,89.6,91.25,93.1,93.81,94.89,95.3,95.83,96.92,93.87,94.35,93.98,94.63,93.42,93.41,92.91,93.47,93.72,91.75,90.91,89.37,87.3,86.83,86.07,80.68,80.92,81.2,75.07,70.28,70.44,70.45,70.6,64.96,65.08,62.58,40.6,35.99,35.99,35.99
