,Total Confirmed,Total Deaths,Total Recovered_Old,Total Recovered,Total Active,Total Active_Old,Change in Confirmed,Change in Deaths,Change in Recovered_Old,Change in Recovered,Change in Active,Change in Active_Old
2020-01-22,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-01-23,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-01-24,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-01-25,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-01-26,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-01-27,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-01-28,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-01-29,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-01-30,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-01-31,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-01,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-02,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-03,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-04,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-05,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-06,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-07,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-08,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-09,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-10,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-11,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-12,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-13,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-14,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-15,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-16,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-17,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-18,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-19,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-20,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-21,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-22,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-23,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-24,1,0,0,0,1,1,1,0,0,0,1,1.0
2020-02-25,1,0,0,0,1,1,0,0,0,0,0,0.0
2020-02-26,1,0,0,0,1,1,0,0,0,0,0,0.0
2020-02-27,1,0,0,0,1,1,0,0,0,0,0,0.0
2020-02-28,1,0,0,0,1,1,0,0,0,0,0,0.0
2020-02-29,1,0,0,0,1,1,0,0,0,0,0,0.0
2020-03-01,1,0,0,0,1,1,0,0,0,0,0,0.0
2020-03-02,1,0,0,0,1,1,0,0,0,0,0,0.0
2020-03-03,1,0,0,0,1,1,0,0,0,0,0,0.0
2020-03-04,1,0,0,0,1,1,0,0,0,0,0,0.0
2020-03-05,1,0,0,0,1,1,0,0,0,0,0,0.0
2020-03-06,1,0,0,0,1,1,0,0,0,0,0,0.0
2020-03-07,1,0,0,0,1,1,0,0,0,0,0,0.0
2020-03-08,4,0,0,0,4,4,3,0,0,0,3,3.0
2020-03-09,4,0,0,0,4,4,0,0,0,0,0,0.0
2020-03-10,5,0,0,0,5,5,1,0,0,0,1,1.0
2020-03-11,7,0,0,0,7,7,2,0,0,0,2,2.0
2020-03-12,7,0,0,0,7,7,0,0,0,0,0,0.0
2020-03-13,7,0,0,0,7,7,0,0,0,0,0,0.0
2020-03-14,11,0,0,0,11,11,4,0,0,0,4,4.0
2020-03-15,16,0,0,0,16,16,5,0,0,0,5,5.0
2020-03-16,21,0,1,0,21,20,5,0,1,0,5,4.0
2020-03-17,22,0,1,0,22,21,1,0,0,0,1,1.0
2020-03-18,22,0,1,0,22,21,0,0,0,0,0,0.0
2020-03-19,22,0,1,0,22,21,0,0,0,0,0,0.0
2020-03-20,24,0,1,0,24,23,2,0,0,0,2,2.0
2020-03-21,24,0,1,0,24,23,0,0,0,0,0,0.0
2020-03-22,40,1,1,0,39,38,16,1,0,0,15,15.0
2020-03-23,40,1,1,0,39,38,0,0,0,0,0,0.0
2020-03-24,74,1,1,0,73,72,34,0,0,0,34,34.0
2020-03-25,84,2,2,0,82,80,10,1,1,0,9,8.0
2020-03-26,94,4,2,1,89,88,10,2,0,1,7,8.0
2020-03-27,110,4,2,2,104,104,16,0,0,1,15,16.0
2020-03-28,110,4,2,3,103,104,0,0,0,1,-1,0.0
