,Total Confirmed,Total Deaths,Total Recovered_Old,Total Recovered,Total Active,Total Active_Old,Change in Confirmed,Change in Deaths,Change in Recovered_Old,Change in Recovered,Change in Active,Change in Active_Old
2020-01-22,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-01-23,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-01-24,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-01-25,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-01-26,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-01-27,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-01-28,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-01-29,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-01-30,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-01-31,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-01,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-02,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-03,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-04,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-05,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-06,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-07,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-08,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-09,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-10,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-11,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-12,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-13,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-14,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-15,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-16,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-17,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-18,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-19,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-20,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-21,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-22,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-23,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-24,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-25,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-26,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-27,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-28,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-29,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-03-01,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-03-02,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-03-03,1,0,0,0,1,1,1,0,0,0,1,1.0
2020-03-04,1,0,0,0,1,1,0,0,0,0,0,0.0
2020-03-05,1,0,0,0,1,1,0,0,0,0,0,0.0
2020-03-06,2,0,0,0,2,2,1,0,0,0,1,1.0
2020-03-07,8,0,0,0,8,8,6,0,0,0,6,6.0
2020-03-08,12,1,0,0,11,11,4,1,0,0,3,3.0
2020-03-09,12,1,0,0,11,11,0,0,0,0,0,0.0
2020-03-10,17,1,0,0,16,16,5,0,0,0,5,5.0
2020-03-11,19,1,0,0,18,18,2,0,0,0,2,2.0
2020-03-12,19,1,0,0,18,18,0,0,0,0,0,0.0
2020-03-13,31,2,0,0,29,29,12,1,0,0,11,11.0
2020-03-14,34,2,1,0,32,31,3,0,1,0,3,2.0
2020-03-15,45,2,1,1,42,42,11,0,0,1,10,11.0
2020-03-16,56,2,1,2,52,53,11,0,0,1,10,11.0
2020-03-17,68,2,3,3,63,63,12,0,2,1,11,10.0
2020-03-18,79,2,3,4,73,74,11,0,0,1,10,11.0
2020-03-19,97,3,3,6,88,91,18,1,0,2,15,17.0
2020-03-20,128,3,3,8,117,122,31,0,0,2,29,31.0
2020-03-21,158,4,3,10,144,151,30,1,0,2,27,29.0
2020-03-22,266,4,3,13,249,259,108,0,0,3,105,108.0
2020-03-23,301,4,3,16,281,294,35,0,0,3,32,35.0
2020-03-24,387,6,52,20,361,329,86,2,49,4,80,35.0
2020-03-25,387,8,52,24,355,327,0,2,0,4,-6,-2.0
2020-03-26,502,9,63,29,464,430,115,1,11,5,109,103.0
2020-03-27,589,13,72,35,541,504,87,4,9,6,77,74.0
2020-03-28,690,18,72,42,630,600,101,5,0,7,89,96.0
