,Total Confirmed,Total Deaths,Total Recovered_Old,Total Recovered,Total Active,Total Active_Old,Change in Confirmed,Change in Deaths,Change in Recovered_Old,Change in Recovered,Change in Active,Change in Active_Old
2020-01-22,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-01-23,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-01-24,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-01-25,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-01-26,4,0,0,0,4,4,4,0,0,0,4,4.0
2020-01-27,5,0,0,0,5,5,1,0,0,0,1,1.0
2020-01-28,5,0,0,0,5,5,0,0,0,0,0,0.0
2020-01-29,6,0,0,0,6,6,1,0,0,0,1,1.0
2020-01-30,9,0,2,0,9,7,3,0,2,0,3,1.0
2020-01-31,9,0,2,0,9,7,0,0,0,0,0,0.0
2020-02-01,12,0,2,0,12,10,3,0,0,0,3,3.0
2020-02-02,12,0,2,0,12,10,0,0,0,0,0,0.0
2020-02-03,12,0,2,0,12,10,0,0,0,0,0,0.0
2020-02-04,13,0,2,0,13,11,1,0,0,0,1,1.0
2020-02-05,13,0,2,0,13,11,0,0,0,0,0,0.0
2020-02-06,14,0,2,0,14,12,1,0,0,0,1,1.0
2020-02-07,15,0,2,0,15,13,1,0,0,0,1,1.0
2020-02-08,15,0,2,0,15,13,0,0,0,0,0,0.0
2020-02-09,15,0,2,0,15,13,0,0,0,0,0,0.0
2020-02-10,15,0,2,0,15,13,0,0,0,0,0,0.0
2020-02-11,15,0,2,0,15,13,0,0,0,0,0,0.0
2020-02-12,15,0,2,0,15,13,0,0,0,0,0,0.0
2020-02-13,15,0,8,0,15,7,0,0,6,0,0,-6.0
2020-02-14,15,0,8,0,15,7,0,0,0,0,0,0.0
2020-02-15,15,0,8,0,15,7,0,0,0,0,0,0.0
2020-02-16,15,0,8,0,15,7,0,0,0,0,0,0.0
2020-02-17,15,0,10,0,15,5,0,0,2,0,0,-2.0
2020-02-18,15,0,10,0,15,5,0,0,0,0,0,0.0
2020-02-19,15,0,10,0,15,5,0,0,0,0,0,0.0
2020-02-20,15,0,10,0,15,5,0,0,0,0,0,0.0
2020-02-21,15,0,11,0,15,4,0,0,1,0,0,-1.0
2020-02-22,15,0,11,0,15,4,0,0,0,0,0,0.0
2020-02-23,15,0,11,0,15,4,0,0,0,0,0,0.0
2020-02-24,15,0,11,0,15,4,0,0,0,0,0,0.0
2020-02-25,15,0,11,0,15,4,0,0,0,0,0,0.0
2020-02-26,15,0,11,0,15,4,0,0,0,0,0,0.0
2020-02-27,15,0,11,0,15,4,0,0,0,0,0,0.0
2020-02-28,15,0,11,0,15,4,0,0,0,0,0,0.0
2020-02-29,25,0,11,0,25,14,10,0,0,0,10,10.0
2020-03-01,27,1,11,0,26,15,2,1,0,0,1,1.0
2020-03-02,30,1,11,0,29,18,3,0,0,0,3,3.0
2020-03-03,39,1,11,0,38,27,9,0,0,0,9,9.0
2020-03-04,52,2,11,0,50,39,13,1,0,0,12,12.0
2020-03-05,55,2,21,0,53,32,3,0,10,0,3,-7.0
2020-03-06,60,2,21,0,58,37,5,0,0,0,5,5.0
2020-03-07,63,2,21,0,61,40,3,0,0,0,3,3.0
2020-03-08,76,3,21,0,73,52,13,1,0,0,12,12.0
2020-03-09,91,3,21,0,88,67,15,0,0,0,15,15.0
2020-03-10,107,3,21,1,103,83,16,0,0,1,15,16.0
2020-03-11,128,3,21,2,123,104,21,0,0,1,20,21.0
2020-03-12,128,3,21,3,122,104,0,0,0,1,-1,0.0
2020-03-13,200,3,23,5,192,174,72,0,2,2,70,70.0
2020-03-14,250,3,23,9,238,224,50,0,0,4,46,50.0
2020-03-15,297,3,23,13,281,271,47,0,0,4,43,47.0
2020-03-16,377,3,23,18,356,351,80,0,0,5,75,80.0
2020-03-17,452,5,23,24,423,424,75,2,0,6,67,73.0
2020-03-18,568,6,23,30,532,539,116,1,0,6,109,115.0
2020-03-19,681,6,26,39,636,649,113,0,3,9,104,110.0
2020-03-20,791,7,26,51,733,758,110,1,0,12,97,109.0
2020-03-21,1071,7,26,65,999,1038,280,0,0,14,266,280.0
2020-03-22,1549,7,88,81,1461,1454,478,0,62,16,462,416.0
2020-03-23,1682,7,88,99,1576,1587,133,0,0,18,115,133.0
2020-03-24,2044,8,115,119,1917,1921,362,1,27,20,341,334.0
2020-03-25,2364,8,119,145,2211,2237,320,0,4,26,294,316.0
2020-03-26,2810,13,172,173,2624,2625,446,5,53,28,413,388.0
2020-03-27,3143,13,194,204,2926,2936,333,0,22,31,302,311.0
2020-03-28,3640,14,244,240,3386,3382,497,1,50,36,460,446.0
