,Total Confirmed,Total Deaths,Total Recovered_Old,Total Recovered,Total Active,Total Active_Old,Change in Confirmed,Change in Deaths,Change in Recovered_Old,Change in Recovered,Change in Active,Change in Active_Old
2020-01-22,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-01-23,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-01-24,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-01-25,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-01-26,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-01-27,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-01-28,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-01-29,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-01-30,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-01-31,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-01,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-02,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-03,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-04,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-05,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-06,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-07,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-08,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-09,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-10,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-11,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-12,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-13,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-14,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-15,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-16,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-17,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-18,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-19,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-20,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-21,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-22,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-23,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-24,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-25,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-26,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-27,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-28,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-29,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-03-01,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-03-02,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-03-03,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-03-04,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-03-05,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-03-06,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-03-07,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-03-08,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-03-09,1,0,0,0,1,1,1,0,0,0,1,1.0
2020-03-10,1,0,0,0,1,1,0,0,0,0,0,0.0
2020-03-11,11,0,0,0,11,11,10,0,0,0,10,10.0
2020-03-12,11,0,0,0,11,11,0,0,0,0,0,0.0
2020-03-13,37,0,0,0,37,37,26,0,0,0,26,26.0
2020-03-14,40,0,0,0,40,40,3,0,0,0,3,3.0
2020-03-15,50,0,0,0,50,50,10,0,0,0,10,10.0
2020-03-16,54,0,0,0,54,54,4,0,0,0,4,4.0
2020-03-17,56,0,0,0,56,56,2,0,0,0,2,2.0
2020-03-18,68,0,0,0,68,68,12,0,0,0,12,12.0
2020-03-19,75,0,0,0,75,75,7,0,0,0,7,7.0
2020-03-20,78,0,1,0,78,77,3,0,1,0,3,2.0
2020-03-21,83,0,2,1,82,81,5,0,1,1,4,4.0
2020-03-22,88,0,2,2,86,86,5,0,0,1,4,5.0
2020-03-23,91,0,2,3,88,89,3,0,0,1,2,3.0
2020-03-24,104,0,2,4,100,102,13,0,0,1,12,13.0
2020-03-25,109,0,2,5,104,107,5,0,0,1,4,5.0
2020-03-26,114,0,5,6,108,109,5,0,3,1,4,2.0
2020-03-27,115,0,11,7,108,104,1,0,6,1,0,-5.0
2020-03-28,120,1,25,9,110,94,5,1,14,2,2,-10.0
