,Total Confirmed,Total Deaths,Total Recovered_Old,Total Recovered,Total Active,Total Active_Old,Change in Confirmed,Change in Deaths,Change in Recovered_Old,Change in Recovered,Change in Active,Change in Active_Old
2020-01-22,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-01-23,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-01-24,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-01-25,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-01-26,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-01-27,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-01-28,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-01-29,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-01-30,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-01-31,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-01,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-02,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-03,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-04,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-05,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-06,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-07,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-08,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-09,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-10,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-11,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-12,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-13,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-14,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-15,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-16,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-17,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-18,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-19,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-20,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-21,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-22,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-23,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-24,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-25,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-26,1,0,0,0,1,1,1,0,0,0,1,1.0
2020-02-27,1,0,0,0,1,1,0,0,0,0,0,0.0
2020-02-28,1,0,0,0,1,1,0,0,0,0,0,0.0
2020-02-29,2,0,0,0,2,2,1,0,0,0,1,1.0
2020-03-01,2,0,0,0,2,2,0,0,0,0,0,0.0
2020-03-02,2,0,0,0,2,2,0,0,0,0,0,0.0
2020-03-03,2,0,0,0,2,2,0,0,0,0,0,0.0
2020-03-04,4,0,0,0,4,4,2,0,0,0,2,2.0
2020-03-05,4,0,0,0,4,4,0,0,0,0,0,0.0
2020-03-06,13,0,0,0,13,13,9,0,0,0,9,9.0
2020-03-07,13,0,0,0,13,13,0,0,0,0,0,0.0
2020-03-08,20,0,0,1,19,20,7,0,0,1,6,7.0
2020-03-09,25,0,0,2,23,25,5,0,0,1,4,5.0
2020-03-10,31,0,0,4,27,31,6,0,0,2,4,6.0
2020-03-11,38,0,0,6,32,38,7,0,0,2,5,7.0
2020-03-12,52,0,0,9,43,52,14,0,0,3,11,14.0
2020-03-13,151,0,0,12,139,151,99,0,0,3,96,99.0
2020-03-14,151,0,0,16,135,151,0,0,0,4,-4,0.0
2020-03-15,162,0,0,21,141,162,11,0,0,5,6,11.0
2020-03-16,200,0,1,27,173,199,38,0,1,6,32,37.0
2020-03-17,321,1,2,35,285,318,121,1,1,8,112,119.0
2020-03-18,372,3,2,44,325,367,51,2,0,9,40,49.0
2020-03-19,621,6,2,55,560,613,249,3,0,11,235,246.0
2020-03-20,793,11,2,68,714,780,172,5,0,13,154,167.0
2020-03-21,1021,15,2,83,923,1004,228,4,0,15,209,224.0
2020-03-22,1546,25,2,101,1420,1519,525,10,0,18,497,515.0
2020-03-23,1924,34,2,122,1768,1888,378,9,0,21,348,369.0
2020-03-24,2247,46,2,146,2055,2199,323,12,0,24,287,311.0
2020-03-25,2554,59,2,173,2322,2493,307,13,0,27,267,294.0
2020-03-26,2985,77,6,204,2704,2902,431,18,4,31,382,409.0
2020-03-27,3417,92,6,240,3085,3319,432,15,0,36,381,417.0
2020-03-28,3904,111,6,280,3513,3787,487,19,0,40,428,468.0
