,Total Confirmed,Total Deaths,Total Recovered_Old,Total Recovered,Total Active,Total Active_Old,Change in Confirmed,Change in Deaths,Change in Recovered_Old,Change in Recovered,Change in Active,Change in Active_Old
2020-01-22,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-01-23,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-01-24,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-01-25,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-01-26,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-01-27,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-01-28,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-01-29,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-01-30,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-01-31,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-01,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-02,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-03,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-04,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-05,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-06,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-07,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-08,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-09,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-10,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-11,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-12,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-13,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-14,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-15,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-16,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-17,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-18,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-19,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-20,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-21,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-22,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-23,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-24,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-25,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-26,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-27,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-28,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-29,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-03-01,3,0,0,0,3,3,3,0,0,0,3,3.0
2020-03-02,3,0,0,0,3,3,0,0,0,0,0,0.0
2020-03-03,5,0,0,0,5,5,2,0,0,0,2,2.0
2020-03-04,8,0,0,0,8,8,3,0,0,0,3,3.0
2020-03-05,12,0,0,0,12,12,4,0,0,0,4,4.0
2020-03-06,18,0,0,0,18,18,6,0,0,0,6,6.0
2020-03-07,19,0,0,0,19,19,1,0,0,0,1,1.0
2020-03-08,31,0,0,1,30,31,12,0,0,1,11,12.0
2020-03-09,31,0,0,2,29,31,0,0,0,1,-1,0.0
2020-03-10,41,0,0,3,38,41,10,0,0,1,9,10.0
2020-03-11,91,0,0,5,86,91,50,0,0,2,48,50.0
2020-03-12,94,0,0,7,87,94,3,0,0,2,1,3.0
2020-03-13,141,0,0,10,131,141,47,0,0,3,44,47.0
2020-03-14,189,0,0,14,175,189,48,0,0,4,44,48.0
2020-03-15,253,0,0,18,235,253,64,0,0,4,60,64.0
2020-03-16,298,0,3,23,275,295,45,0,3,5,40,42.0
2020-03-17,396,0,3,29,367,393,98,0,0,6,92,98.0
2020-03-18,464,0,3,36,428,461,68,0,0,7,61,68.0
2020-03-19,694,0,3,45,649,691,230,0,0,9,221,230.0
2020-03-20,833,0,4,55,778,829,139,0,1,10,129,138.0
2020-03-21,995,0,6,67,928,989,162,0,2,12,150,160.0
2020-03-22,1120,1,6,81,1038,1113,125,1,0,14,110,124.0
2020-03-23,1236,1,6,97,1138,1229,116,0,0,16,100,116.0
2020-03-24,1394,3,10,115,1276,1381,158,2,4,18,138,152.0
2020-03-25,1654,6,10,136,1512,1638,260,3,0,21,236,257.0
2020-03-26,1925,9,10,160,1756,1906,271,3,0,24,244,268.0
2020-03-27,2279,9,11,186,2084,2259,354,0,1,26,328,353.0
2020-03-28,2631,11,11,216,2404,2609,352,2,0,30,320,350.0
