,Total Confirmed,Total Deaths,Total Recovered_Old,Total Recovered,Total Active,Total Active_Old,Change in Confirmed,Change in Deaths,Change in Recovered_Old,Change in Recovered,Change in Active,Change in Active_Old
2020-01-22,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-01-23,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-01-24,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-01-25,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-01-26,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-01-27,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-01-28,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-01-29,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-01-30,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-01-31,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-01,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-02,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-03,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-04,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-05,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-06,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-07,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-08,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-09,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-10,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-11,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-12,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-13,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-14,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-15,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-16,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-17,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-18,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-19,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-20,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-21,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-22,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-23,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-24,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-25,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-26,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-27,1,0,0,0,1,1,1,0,0,0,1,1.0
2020-02-28,1,0,0,0,1,1,0,0,0,0,0,0.0
2020-02-29,3,0,0,0,3,3,2,0,0,0,2,2.0
2020-03-01,4,0,0,0,4,4,1,0,0,0,1,1.0
2020-03-02,4,0,0,0,4,4,0,0,0,0,0,0.0
2020-03-03,6,0,0,1,5,6,2,0,0,1,1,2.0
2020-03-04,11,0,0,2,9,11,5,0,0,1,4,5.0
2020-03-05,11,0,0,3,8,11,0,0,0,1,-1,0.0
2020-03-06,24,0,1,4,20,23,13,0,1,1,12,12.0
2020-03-07,24,0,1,6,18,23,0,0,0,2,-2,0.0
2020-03-08,37,0,1,8,29,36,13,0,0,2,11,13.0
2020-03-09,92,0,1,11,81,91,55,0,0,3,52,55.0
2020-03-10,264,0,1,15,249,263,172,0,0,4,168,172.0
2020-03-11,444,0,1,19,425,443,180,0,0,4,176,180.0
2020-03-12,617,0,1,24,593,616,173,0,0,5,168,173.0
2020-03-13,804,0,1,30,774,803,187,0,0,6,181,187.0
2020-03-14,836,1,1,37,798,834,32,1,0,7,24,31.0
2020-03-15,875,2,1,46,827,872,39,1,0,9,29,38.0
2020-03-16,933,3,1,56,874,929,58,1,0,10,47,57.0
2020-03-17,1025,4,1,68,953,1020,92,1,0,12,79,91.0
2020-03-18,1116,4,1,81,1031,1111,91,0,0,13,78,91.0
2020-03-19,1225,6,1,96,1123,1218,109,2,0,15,92,107.0
2020-03-20,1337,9,1,113,1215,1327,112,3,0,17,92,109.0
2020-03-21,1420,13,1,133,1274,1406,83,4,0,20,59,79.0
2020-03-22,1514,13,1,156,1345,1500,94,0,0,23,71,94.0
2020-03-23,1572,24,1,181,1367,1547,58,11,0,25,22,47.0
2020-03-24,1718,32,36,209,1477,1650,146,8,35,28,110,103.0
2020-03-25,1862,34,41,239,1589,1787,144,2,5,30,112,137.0
2020-03-26,2023,41,50,272,1710,1932,161,7,9,33,121,145.0
2020-03-27,2200,52,57,309,1839,2091,177,11,7,37,129,159.0
2020-03-28,2366,65,57,349,1952,2244,166,13,0,40,113,153.0
