,Total Confirmed,Total Deaths,Total Recovered_Old,Total Recovered,Total Active,Total Active_Old,Change in Confirmed,Change in Deaths,Change in Recovered_Old,Change in Recovered,Change in Active,Change in Active_Old
2020-01-22,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-01-23,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-01-24,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-01-25,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-01-26,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-01-27,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-01-28,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-01-29,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-01-30,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-01-31,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-01,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-02,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-03,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-04,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-05,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-06,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-07,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-08,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-09,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-10,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-11,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-12,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-13,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-14,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-15,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-16,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-17,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-18,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-19,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-20,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-21,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-22,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-23,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-24,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-25,1,0,0,0,1,1,1,0,0,0,1,1.0
2020-02-26,3,0,0,0,3,3,2,0,0,0,2,2.0
2020-02-27,3,0,0,0,3,3,0,0,0,0,0,0.0
2020-02-28,5,0,0,0,5,5,2,0,0,0,2,2.0
2020-02-29,6,0,0,0,6,6,1,0,0,0,1,1.0
2020-03-01,7,0,0,0,7,7,1,0,0,0,1,1.0
2020-03-02,7,0,0,0,7,7,0,0,0,0,0,0.0
2020-03-03,9,0,0,0,9,9,2,0,0,0,2,2.0
2020-03-04,10,0,0,0,10,10,1,0,0,0,1,1.0
2020-03-05,10,0,0,0,10,10,0,0,0,0,0,0.0
2020-03-06,11,0,0,0,11,11,1,0,0,0,1,1.0
2020-03-07,12,0,0,0,12,12,1,0,0,0,1,1.0
2020-03-08,12,0,0,0,12,12,0,0,0,0,0,0.0
2020-03-09,12,0,0,0,12,12,0,0,0,0,0,0.0
2020-03-10,14,0,0,0,14,14,2,0,0,0,2,2.0
2020-03-11,19,0,0,0,19,19,5,0,0,0,5,5.0
2020-03-12,19,0,0,0,19,19,0,0,0,0,0,0.0
2020-03-13,32,0,1,0,32,31,13,0,1,0,13,12.0
2020-03-14,38,0,1,1,37,37,6,0,0,1,5,6.0
2020-03-15,49,0,1,2,47,48,11,0,0,1,10,11.0
2020-03-16,57,0,2,3,54,55,8,0,1,1,7,7.0
2020-03-17,65,0,4,4,61,61,8,0,2,1,7,6.0
2020-03-18,81,0,4,5,76,77,16,0,0,1,15,16.0
2020-03-19,105,1,5,7,97,99,24,1,1,2,21,22.0
2020-03-20,128,1,5,9,118,122,23,0,0,2,21,23.0
2020-03-21,206,1,5,11,194,200,78,0,0,2,76,78.0
2020-03-22,254,1,5,14,239,248,48,0,0,3,45,48.0
2020-03-23,315,1,5,17,297,309,61,0,0,3,58,61.0
2020-03-24,382,1,5,21,360,376,67,0,0,4,63,67.0
2020-03-25,442,1,22,25,416,419,60,0,17,4,56,43.0
2020-03-26,495,3,22,30,462,470,53,2,0,5,46,51.0
2020-03-27,586,3,37,36,547,546,91,0,15,6,85,76.0
2020-03-28,657,5,45,43,609,607,71,2,8,7,62,61.0
