,Total Confirmed,Total Deaths,Total Recovered_Old,Total Recovered,Total Active,Total Active_Old,Change in Confirmed,Change in Deaths,Change in Recovered_Old,Change in Recovered,Change in Active,Change in Active_Old
2020-01-22,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-01-23,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-01-24,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-01-25,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-01-26,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-01-27,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-01-28,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-01-29,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-01-30,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-01-31,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-01,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-02,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-03,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-04,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-05,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-06,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-07,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-08,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-09,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-10,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-11,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-12,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-13,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-14,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-15,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-16,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-17,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-18,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-19,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-20,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-21,1,0,0,0,1,1,1,0,0,0,1,1.0
2020-02-22,1,0,0,0,1,1,0,0,0,0,0,0.0
2020-02-23,1,0,0,0,1,1,0,0,0,0,0,0.0
2020-02-24,1,0,0,0,1,1,0,0,0,0,0,0.0
2020-02-25,1,0,0,0,1,1,0,0,0,0,0,0.0
2020-02-26,2,0,0,0,2,2,1,0,0,0,1,1.0
2020-02-27,3,0,1,0,3,2,1,0,1,0,1,0.0
2020-02-28,4,0,1,0,4,3,1,0,0,0,1,1.0
2020-02-29,7,0,1,0,7,6,3,0,0,0,3,3.0
2020-03-01,10,0,1,0,10,9,3,0,0,0,3,3.0
2020-03-02,10,0,1,0,10,9,0,0,0,0,0,0.0
2020-03-03,12,0,1,0,12,11,2,0,0,0,2,2.0
2020-03-04,15,0,1,0,15,14,3,0,0,0,3,3.0
2020-03-05,20,0,1,0,20,19,5,0,0,0,5,5.0
2020-03-06,37,0,2,0,37,35,17,0,1,0,17,16.0
2020-03-07,43,0,2,0,43,41,6,0,0,0,6,6.0
2020-03-08,61,0,2,1,60,59,18,0,0,1,17,18.0
2020-03-09,61,0,2,2,59,59,0,0,0,1,-1,0.0
2020-03-10,75,0,4,3,72,71,14,0,2,1,13,12.0
2020-03-11,79,0,4,5,74,75,4,0,0,2,2,4.0
2020-03-12,100,0,4,7,93,96,21,0,0,2,19,21.0
2020-03-13,126,0,4,10,116,122,26,0,0,3,23,26.0
2020-03-14,155,0,4,14,141,151,29,0,0,4,25,29.0
2020-03-15,213,0,4,19,194,209,58,0,0,5,53,58.0
2020-03-16,218,0,4,25,193,214,5,0,0,6,-1,5.0
2020-03-17,250,0,11,32,218,239,32,0,7,7,25,25.0
2020-03-18,304,0,11,40,264,293,54,0,0,8,46,54.0
2020-03-19,427,0,11,49,378,416,123,0,0,9,114,123.0
2020-03-20,529,0,14,60,469,515,102,0,3,11,91,99.0
2020-03-21,712,1,36,73,638,675,183,1,22,13,169,160.0
2020-03-22,883,1,37,88,794,845,171,0,1,15,156,170.0
2020-03-23,1071,1,37,105,965,1033,188,0,0,17,171,188.0
2020-03-24,1238,3,53,125,1110,1182,167,2,16,20,145,149.0
2020-03-25,2369,5,58,148,2216,2306,1131,2,5,23,1106,1124.0
2020-03-26,2693,8,68,174,2511,2617,324,3,10,26,295,311.0
2020-03-27,3035,12,79,204,2819,2944,342,4,11,30,308,327.0
2020-03-28,3619,12,89,238,3369,3518,584,0,10,34,550,574.0
