,Total Confirmed,Total Deaths,Total Recovered_Old,Total Recovered,Total Active,Total Active_Old,Change in Confirmed,Change in Deaths,Change in Recovered_Old,Change in Recovered,Change in Active,Change in Active_Old
2020-01-22,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-01-23,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-01-24,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-01-25,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-01-26,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-01-27,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-01-28,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-01-29,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-01-30,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-01-31,2,0,0,0,2,2,2,0,0,0,2,2.0
2020-02-01,2,0,0,0,2,2,0,0,0,0,0,0.0
2020-02-02,2,0,0,0,2,2,0,0,0,0,0,0.0
2020-02-03,2,0,0,0,2,2,0,0,0,0,0,0.0
2020-02-04,2,0,0,0,2,2,0,0,0,0,0,0.0
2020-02-05,2,0,0,0,2,2,0,0,0,0,0,0.0
2020-02-06,2,0,0,0,2,2,0,0,0,0,0,0.0
2020-02-07,3,0,0,0,3,3,1,0,0,0,1,1.0
2020-02-08,3,0,0,0,3,3,0,0,0,0,0,0.0
2020-02-09,3,0,0,0,3,3,0,0,0,0,0,0.0
2020-02-10,3,0,0,0,3,3,0,0,0,0,0,0.0
2020-02-11,3,0,0,0,3,3,0,0,0,0,0,0.0
2020-02-12,3,0,0,0,3,3,0,0,0,0,0,0.0
2020-02-13,3,0,0,0,3,3,0,0,0,0,0,0.0
2020-02-14,3,0,0,0,3,3,0,0,0,0,0,0.0
2020-02-15,3,0,0,0,3,3,0,0,0,0,0,0.0
2020-02-16,3,0,0,1,2,3,0,0,0,1,-1,0.0
2020-02-17,3,0,0,2,1,3,0,0,0,1,-1,0.0
2020-02-18,3,0,0,4,-1,3,0,0,0,2,-2,0.0
2020-02-19,3,0,0,6,-3,3,0,0,0,2,-2,0.0
2020-02-20,3,0,0,9,-6,3,0,0,0,3,-3,0.0
2020-02-21,20,1,0,13,6,19,17,1,0,4,12,16.0
2020-02-22,62,2,1,18,42,59,42,1,1,5,36,40.0
2020-02-23,155,3,2,25,127,150,93,1,1,7,85,91.0
2020-02-24,229,7,1,34,188,221,74,4,-1,9,61,71.0
2020-02-25,322,10,1,46,266,311,93,3,0,12,78,90.0
2020-02-26,453,12,3,61,380,438,131,2,2,15,114,127.0
2020-02-27,655,17,45,79,559,593,202,5,42,18,179,155.0
2020-02-28,888,21,46,102,765,821,233,4,1,23,206,228.0
2020-02-29,1128,29,46,130,969,1053,240,8,0,28,204,232.0
2020-03-01,1694,34,83,165,1495,1577,566,5,37,35,526,524.0
2020-03-02,2036,52,149,208,1776,1835,342,18,66,43,281,258.0
2020-03-03,2502,79,160,260,2163,2263,466,27,11,52,387,428.0
2020-03-04,3089,107,276,323,2659,2706,587,28,116,63,496,443.0
2020-03-05,3858,148,414,399,3311,3296,769,41,138,76,652,590.0
2020-03-06,4636,197,523,489,3950,3916,778,49,109,90,639,620.0
2020-03-07,5883,233,589,596,5054,5061,1247,36,66,107,1104,1145.0
2020-03-08,7375,366,622,723,6286,6387,1492,133,33,127,1232,1326.0
2020-03-09,9172,463,724,873,7836,7985,1797,97,102,150,1550,1598.0
2020-03-10,10149,631,724,1049,8469,8794,977,168,0,176,633,809.0
2020-03-11,12462,827,1045,1255,10380,10590,2313,196,321,206,1911,1796.0
2020-03-12,12462,827,1045,1494,10141,10590,0,0,0,239,-239,0.0
2020-03-13,17660,1266,1439,1770,14624,14955,5198,439,394,276,4483,4365.0
2020-03-14,21157,1441,1966,2088,17628,17750,3497,175,527,318,3004,2795.0
2020-03-15,24747,1809,2335,2452,20486,20603,3590,368,369,364,2858,2853.0
2020-03-16,27980,2158,2749,2867,22955,23073,3233,349,414,415,2469,2470.0
2020-03-17,31506,2503,2941,3339,25664,26062,3526,345,192,472,2709,2989.0
2020-03-18,35713,2978,4025,3873,28862,28710,4207,475,1084,534,3198,2648.0
2020-03-19,41035,3405,4440,4475,33155,33190,5322,427,415,602,4293,4480.0
2020-03-20,47021,4032,4440,5151,37838,38549,5986,627,0,676,4683,5359.0
2020-03-21,53578,4825,6072,5906,42847,42681,6557,793,1632,755,5009,4132.0
2020-03-22,59138,5476,7024,6746,46916,46638,5560,651,952,840,4069,3957.0
2020-03-23,63927,6077,7024,7678,50172,50826,4789,601,0,932,3256,4188.0
2020-03-24,69176,6820,8326,8706,53650,54030,5249,743,1302,1028,3478,3204.0
2020-03-25,74386,7503,9362,9835,57048,57521,5210,683,1036,1129,3398,3491.0
2020-03-26,80589,8215,10361,11070,61304,62013,6203,712,999,1235,4256,4492.0
2020-03-27,86498,9134,10950,12414,64950,66414,5909,919,589,1344,3646,4401.0
2020-03-28,92472,10023,12384,13871,68578,70065,5974,889,1434,1457,3628,3651.0
