,Total Confirmed,Total Deaths,Total Recovered_Old,Total Recovered,Total Active,Total Active_Old,Change in Confirmed,Change in Deaths,Change in Recovered_Old,Change in Recovered,Change in Active,Change in Active_Old
2020-01-22,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-01-23,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-01-24,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-01-25,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-01-26,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-01-27,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-01-28,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-01-29,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-01-30,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-01-31,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-01,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-02,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-03,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-04,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-05,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-06,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-07,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-08,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-09,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-10,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-11,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-12,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-13,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-14,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-15,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-16,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-17,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-18,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-19,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-20,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-21,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-22,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-23,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-24,1,0,0,0,1,1,1,0,0,0,1,1.0
2020-02-25,11,0,0,0,11,11,10,0,0,0,10,10.0
2020-02-26,26,0,0,0,26,26,15,0,0,0,15,15.0
2020-02-27,43,0,0,0,43,43,17,0,0,0,17,17.0
2020-02-28,45,0,0,0,45,45,2,0,0,0,2,2.0
2020-02-29,45,0,0,0,45,45,0,0,0,0,0,0.0
2020-03-01,45,0,0,0,45,45,0,0,0,0,0,0.0
2020-03-02,56,0,0,0,56,56,11,0,0,0,11,11.0
2020-03-03,56,0,0,0,56,56,0,0,0,0,0,0.0
2020-03-04,56,0,0,0,56,56,0,0,0,0,0,0.0
2020-03-05,58,0,0,0,58,58,2,0,0,0,2,2.0
2020-03-06,58,0,0,0,58,58,0,0,0,0,0,0.0
2020-03-07,61,0,0,1,60,61,3,0,0,1,2,3.0
2020-03-08,64,0,1,2,62,63,3,0,1,1,2,2.0
2020-03-09,64,0,1,3,61,63,0,0,0,1,-1,0.0
2020-03-10,69,0,1,4,65,68,5,0,0,1,4,5.0
2020-03-11,72,0,2,5,67,70,3,0,1,1,2,2.0
2020-03-12,80,0,5,6,74,75,8,0,3,1,7,5.0
2020-03-13,80,0,5,7,73,75,0,0,0,1,-1,0.0
2020-03-14,104,0,5,9,95,99,24,0,0,2,22,24.0
2020-03-15,112,0,5,11,101,107,8,0,0,2,6,8.0
2020-03-16,123,0,9,13,110,114,11,0,4,2,9,7.0
2020-03-17,130,0,9,15,115,121,7,0,0,2,5,7.0
2020-03-18,142,0,15,17,125,127,12,0,6,2,10,6.0
2020-03-19,148,0,18,19,129,130,6,0,3,2,4,3.0
2020-03-20,159,0,18,22,137,141,11,0,0,3,8,11.0
2020-03-21,176,0,27,25,151,149,17,0,9,3,14,8.0
2020-03-22,188,0,27,28,160,161,12,0,0,3,9,12.0
2020-03-23,189,0,27,31,158,162,1,0,0,3,-2,1.0
2020-03-24,191,0,39,34,157,152,2,0,12,3,-1,-10.0
2020-03-25,195,0,43,38,157,152,4,0,4,4,0,0.0
2020-03-26,208,0,49,42,166,159,13,0,6,4,9,7.0
2020-03-27,225,0,57,46,179,168,17,0,8,4,13,9.0
2020-03-28,235,0,64,50,185,171,10,0,7,4,6,3.0
