,Total Confirmed,Total Deaths,Total Recovered_Old,Total Recovered,Total Active,Total Active_Old,Change in Confirmed,Change in Deaths,Change in Recovered_Old,Change in Recovered,Change in Active,Change in Active_Old
2020-01-22,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-01-23,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-01-24,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-01-25,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-01-26,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-01-27,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-01-28,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-01-29,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-01-30,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-01-31,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-01,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-02,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-03,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-04,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-05,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-06,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-07,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-08,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-09,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-10,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-11,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-12,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-13,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-14,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-15,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-16,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-17,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-18,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-19,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-20,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-21,1,0,0,0,1,1,1,0,0,0,1,1.0
2020-02-22,1,0,0,0,1,1,0,0,0,0,0,0.0
2020-02-23,1,0,0,0,1,1,0,0,0,0,0,0.0
2020-02-24,1,0,0,0,1,1,0,0,0,0,0,0.0
2020-02-25,1,0,0,0,1,1,0,0,0,0,0,0.0
2020-02-26,2,0,0,0,2,2,1,0,0,0,1,1.0
2020-02-27,2,0,0,0,2,2,0,0,0,0,0,0.0
2020-02-28,2,0,0,0,2,2,0,0,0,0,0,0.0
2020-02-29,4,0,0,0,4,4,2,0,0,0,2,2.0
2020-03-01,10,0,0,0,10,10,6,0,0,0,6,6.0
2020-03-02,13,0,0,0,13,13,3,0,0,0,3,3.0
2020-03-03,13,0,0,0,13,13,0,0,0,0,0,0.0
2020-03-04,13,0,1,0,13,12,0,0,1,0,0,-1.0
2020-03-05,16,0,1,0,16,15,3,0,0,0,3,3.0
2020-03-06,22,0,1,0,22,21,6,0,0,0,6,6.0
2020-03-07,22,0,1,0,22,21,0,0,0,0,0,0.0
2020-03-08,32,0,1,0,32,31,10,0,0,0,10,10.0
2020-03-09,32,0,1,0,32,31,0,0,0,0,0,0.0
2020-03-10,41,1,1,0,40,39,9,1,0,0,8,8.0
2020-03-11,61,3,1,0,58,57,20,2,0,0,18,18.0
2020-03-12,61,3,1,1,57,57,0,0,0,1,-1,0.0
2020-03-13,77,3,1,2,72,73,16,0,0,1,15,16.0
2020-03-14,93,3,1,3,87,89,16,0,0,1,15,16.0
2020-03-15,110,3,1,4,103,106,17,0,0,1,16,17.0
2020-03-16,110,3,1,5,102,106,0,0,0,1,-1,0.0
2020-03-17,120,3,3,6,111,114,10,0,2,1,9,8.0
2020-03-18,133,3,3,8,122,127,13,0,0,2,11,13.0
2020-03-19,157,4,4,10,143,149,24,1,1,2,21,22.0
2020-03-20,163,4,4,12,147,155,6,0,0,2,4,6.0
2020-03-21,187,4,4,15,168,179,24,0,0,3,21,24.0
2020-03-22,248,4,8,18,226,236,61,0,4,3,58,57.0
2020-03-23,267,4,8,21,242,255,19,0,0,3,16,19.0
2020-03-24,318,4,8,25,289,306,51,0,0,4,47,51.0
2020-03-25,333,6,20,29,298,307,15,2,12,4,9,1.0
2020-03-26,368,6,23,34,328,339,35,0,3,5,30,32.0
2020-03-27,391,8,27,39,344,356,23,2,4,5,16,17.0
2020-03-28,412,8,30,45,359,374,21,0,3,6,15,18.0
