,Total Confirmed,Total Deaths,Total Recovered_Old,Total Recovered,Total Active,Total Active_Old,Change in Confirmed,Change in Deaths,Change in Recovered_Old,Change in Recovered,Change in Active,Change in Active_Old
2020-01-22,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-01-23,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-01-24,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-01-25,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-01-26,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-01-27,1,0,0,0,1,1,1,0,0,0,1,1.0
2020-01-28,1,0,0,0,1,1,0,0,0,0,0,0.0
2020-01-29,1,0,0,0,1,1,0,0,0,0,0,0.0
2020-01-30,1,0,0,0,1,1,0,0,0,0,0,0.0
2020-01-31,1,0,0,0,1,1,0,0,0,0,0,0.0
2020-02-01,1,0,0,0,1,1,0,0,0,0,0,0.0
2020-02-02,1,0,0,0,1,1,0,0,0,0,0,0.0
2020-02-03,1,0,0,0,1,1,0,0,0,0,0,0.0
2020-02-04,1,0,0,0,1,1,0,0,0,0,0,0.0
2020-02-05,1,0,0,0,1,1,0,0,0,0,0,0.0
2020-02-06,1,0,0,0,1,1,0,0,0,0,0,0.0
2020-02-07,1,0,0,0,1,1,0,0,0,0,0,0.0
2020-02-08,1,0,1,0,1,0,0,0,1,0,0,-1.0
2020-02-09,1,0,1,0,1,0,0,0,0,0,0,0.0
2020-02-10,1,0,1,0,1,0,0,0,0,0,0,0.0
2020-02-11,1,0,1,0,1,0,0,0,0,0,0,0.0
2020-02-12,1,0,1,0,1,0,0,0,0,0,0,0.0
2020-02-13,1,0,1,0,1,0,0,0,0,0,0,0.0
2020-02-14,1,0,1,0,1,0,0,0,0,0,0,0.0
2020-02-15,1,0,1,0,1,0,0,0,0,0,0,0.0
2020-02-16,1,0,1,0,1,0,0,0,0,0,0,0.0
2020-02-17,1,0,1,0,1,0,0,0,0,0,0,0.0
2020-02-18,1,0,1,0,1,0,0,0,0,0,0,0.0
2020-02-19,1,0,1,0,1,0,0,0,0,0,0,0.0
2020-02-20,1,0,1,0,1,0,0,0,0,0,0,0.0
2020-02-21,1,0,1,0,1,0,0,0,0,0,0,0.0
2020-02-22,1,0,1,0,1,0,0,0,0,0,0,0.0
2020-02-23,1,0,1,0,1,0,0,0,0,0,0,0.0
2020-02-24,1,0,1,0,1,0,0,0,0,0,0,0.0
2020-02-25,1,0,1,0,1,0,0,0,0,0,0,0.0
2020-02-26,1,0,1,0,1,0,0,0,0,0,0,0.0
2020-02-27,1,0,1,0,1,0,0,0,0,0,0,0.0
2020-02-28,1,0,1,0,1,0,0,0,0,0,0,0.0
2020-02-29,1,0,1,0,1,0,0,0,0,0,0,0.0
2020-03-01,1,0,1,0,1,0,0,0,0,0,0,0.0
2020-03-02,1,0,1,0,1,0,0,0,0,0,0,0.0
2020-03-03,1,0,1,0,1,0,0,0,0,0,0,0.0
2020-03-04,1,0,1,0,1,0,0,0,0,0,0,0.0
2020-03-05,1,0,1,0,1,0,0,0,0,0,0,0.0
2020-03-06,1,0,1,0,1,0,0,0,0,0,0,0.0
2020-03-07,1,0,1,0,1,0,0,0,0,0,0,0.0
2020-03-08,1,0,1,0,1,0,0,0,0,0,0,0.0
2020-03-09,1,0,1,0,1,0,0,0,0,0,0,0.0
2020-03-10,1,0,1,0,1,0,0,0,0,0,0,0.0
2020-03-11,2,0,1,0,2,1,1,0,0,0,1,1.0
2020-03-12,2,0,1,0,2,1,0,0,0,0,0,0.0
2020-03-13,6,0,1,0,6,5,4,0,0,0,4,4.0
2020-03-14,10,0,1,0,10,9,4,0,0,0,4,4.0
2020-03-15,18,0,1,0,18,17,8,0,0,0,8,8.0
2020-03-16,28,0,1,0,28,27,10,0,0,0,10,10.0
2020-03-17,44,0,1,0,44,43,16,0,0,0,16,16.0
2020-03-18,51,0,1,0,51,50,7,0,0,0,7,7.0
2020-03-19,60,0,3,0,60,57,9,0,2,0,9,7.0
2020-03-20,73,0,3,0,73,70,13,0,0,0,13,13.0
2020-03-21,77,0,1,0,77,76,4,0,-2,0,4,6.0
2020-03-22,82,0,3,0,82,79,5,0,2,0,5,3.0
2020-03-23,97,0,3,1,96,94,15,0,0,1,14,15.0
2020-03-24,102,0,2,2,100,100,5,0,-1,1,4,6.0
2020-03-25,102,0,3,3,99,99,0,0,1,1,-1,-1.0
2020-03-26,106,0,7,4,102,99,4,0,4,1,3,0.0
2020-03-27,106,0,7,5,101,99,0,0,0,1,-1,0.0
2020-03-28,113,1,9,6,106,103,7,1,2,1,5,4.0
