,Total Confirmed,Total Deaths,Total Recovered_Old,Total Recovered,Total Active,Total Active_Old,Change in Confirmed,Change in Deaths,Change in Recovered_Old,Change in Recovered,Change in Active,Change in Active_Old
2020-01-22,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-01-23,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-01-24,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-01-25,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-01-26,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-01-27,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-01-28,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-01-29,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-01-30,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-01-31,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-01,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-02,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-03,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-04,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-05,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-06,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-07,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-08,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-09,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-10,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-11,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-12,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-13,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-14,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-15,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-16,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-17,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-18,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-19,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-20,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-21,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-22,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-23,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-24,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-25,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-26,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-27,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-28,1,0,0,0,1,1,1,0,0,0,1,1.0
2020-02-29,4,0,0,0,4,4,3,0,0,0,3,3.0
2020-03-01,5,0,0,0,5,5,1,0,0,0,1,1.0
2020-03-02,5,0,0,0,5,5,0,0,0,0,0,0.0
2020-03-03,5,0,1,0,5,4,0,0,1,0,0,-1.0
2020-03-04,5,0,1,0,5,4,0,0,0,0,0,0.0
2020-03-05,5,0,1,0,5,4,0,0,0,0,0,0.0
2020-03-06,6,0,1,0,6,5,1,0,0,0,1,1.0
2020-03-07,6,0,1,0,6,5,0,0,0,0,0,0.0
2020-03-08,7,0,1,0,7,6,1,0,0,0,1,1.0
2020-03-09,7,0,1,0,7,6,0,0,0,0,0,0.0
2020-03-10,7,0,4,0,7,3,0,0,3,0,0,-3.0
2020-03-11,8,0,4,0,8,4,1,0,0,0,1,1.0
2020-03-12,12,0,4,0,12,8,4,0,0,0,4,4.0
2020-03-13,12,0,4,0,12,8,0,0,0,0,0,0.0
2020-03-14,26,0,4,0,26,22,14,0,0,0,14,14.0
2020-03-15,41,0,4,1,40,37,15,0,0,1,14,15.0
2020-03-16,53,0,4,2,51,49,12,0,0,1,11,12.0
2020-03-17,82,0,4,3,79,78,29,0,0,1,28,29.0
2020-03-18,93,0,4,4,89,89,11,0,0,1,10,11.0
2020-03-19,118,1,4,6,111,113,25,1,0,2,22,24.0
2020-03-20,164,1,4,8,155,159,46,0,0,2,44,46.0
2020-03-21,203,2,4,10,191,197,39,1,0,2,36,38.0
2020-03-22,251,2,4,13,236,245,48,0,0,3,45,48.0
2020-03-23,316,3,4,16,297,309,65,1,0,3,61,64.0
2020-03-24,367,4,4,20,343,359,51,1,0,4,46,50.0
2020-03-25,405,5,4,25,375,396,38,1,0,5,32,37.0
2020-03-26,475,6,4,30,439,465,70,1,0,5,64,69.0
2020-03-27,585,8,4,36,541,573,110,2,0,6,102,108.0
2020-03-28,717,12,4,43,662,701,132,4,0,7,121,128.0
