,Total Confirmed,Total Deaths,Total Recovered_Old,Total Recovered,Total Active,Total Active_Old,Change in Confirmed,Change in Deaths,Change in Recovered_Old,Change in Recovered,Change in Active,Change in Active_Old
2020-01-22,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-01-23,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-01-24,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-01-25,3,0,0,0,3,3,3,0,0,0,3,3.0
2020-01-26,4,0,0,0,4,4,1,0,0,0,1,1.0
2020-01-27,4,0,0,0,4,4,0,0,0,0,0,0.0
2020-01-28,4,0,0,0,4,4,0,0,0,0,0,0.0
2020-01-29,7,0,0,0,7,7,3,0,0,0,3,3.0
2020-01-30,8,0,0,0,8,8,1,0,0,0,1,1.0
2020-01-31,8,0,0,0,8,8,0,0,0,0,0,0.0
2020-02-01,8,0,0,0,8,8,0,0,0,0,0,0.0
2020-02-02,8,0,0,0,8,8,0,0,0,0,0,0.0
2020-02-03,8,0,0,0,8,8,0,0,0,0,0,0.0
2020-02-04,10,0,0,0,10,10,2,0,0,0,2,2.0
2020-02-05,12,0,0,0,12,12,2,0,0,0,2,2.0
2020-02-06,12,0,0,0,12,12,0,0,0,0,0,0.0
2020-02-07,12,0,1,0,12,11,0,0,1,0,0,-1.0
2020-02-08,16,0,1,0,16,15,4,0,0,0,4,4.0
2020-02-09,16,0,1,0,16,15,0,0,0,0,0,0.0
2020-02-10,18,0,1,0,18,17,2,0,0,0,2,2.0
2020-02-11,18,0,3,0,18,15,0,0,2,0,0,-2.0
2020-02-12,18,0,3,0,18,15,0,0,0,0,0,0.0
2020-02-13,19,0,3,0,19,16,1,0,0,0,1,1.0
2020-02-14,19,0,3,0,19,16,0,0,0,0,0,0.0
2020-02-15,22,0,7,0,22,15,3,0,4,0,3,-1.0
2020-02-16,22,0,7,0,22,15,0,0,0,0,0,0.0
2020-02-17,22,0,7,0,22,15,0,0,0,0,0,0.0
2020-02-18,22,0,13,0,22,9,0,0,6,0,0,-6.0
2020-02-19,22,0,15,0,22,7,0,0,2,0,0,-2.0
2020-02-20,22,0,15,0,22,7,0,0,0,0,0,0.0
2020-02-21,22,0,15,0,22,7,0,0,0,0,0,0.0
2020-02-22,22,0,15,0,22,7,0,0,0,0,0,0.0
2020-02-23,22,0,15,0,22,7,0,0,0,0,0,0.0
2020-02-24,22,0,18,0,22,4,0,0,3,0,0,-3.0
2020-02-25,22,0,18,0,22,4,0,0,0,0,0,0.0
2020-02-26,22,0,18,0,22,4,0,0,0,0,0,0.0
2020-02-27,23,0,18,0,23,5,1,0,0,0,1,1.0
2020-02-28,23,0,18,0,23,5,0,0,0,0,0,0.0
2020-02-29,25,0,18,0,25,7,2,0,0,0,2,2.0
2020-03-01,29,0,18,1,28,11,4,0,0,1,3,4.0
2020-03-02,29,0,18,2,27,11,0,0,0,1,-1,0.0
2020-03-03,36,0,22,3,33,14,7,0,4,1,6,3.0
2020-03-04,50,0,22,4,46,28,14,0,0,1,13,14.0
2020-03-05,50,0,22,5,45,28,0,0,0,1,-1,0.0
2020-03-06,83,0,22,6,77,61,33,0,0,1,32,33.0
2020-03-07,93,0,23,8,85,70,10,0,1,2,8,9.0
2020-03-08,99,0,24,10,89,75,6,0,1,2,4,5.0
2020-03-09,117,0,24,12,105,93,18,0,0,2,16,18.0
2020-03-10,129,0,24,15,114,105,12,0,0,3,9,12.0
2020-03-11,149,0,26,18,131,123,20,0,2,3,17,18.0
2020-03-12,149,0,26,22,127,123,0,0,0,4,-4,0.0
2020-03-13,197,0,26,26,171,171,48,0,0,4,44,48.0
2020-03-14,238,0,35,31,207,203,41,0,9,5,36,32.0
2020-03-15,428,0,42,37,391,386,190,0,7,6,184,183.0
2020-03-16,566,0,42,44,522,524,138,0,0,7,131,138.0
2020-03-17,673,2,49,52,619,622,107,2,7,8,97,98.0
2020-03-18,790,2,60,62,726,728,117,0,11,10,107,106.0
2020-03-19,900,2,75,73,825,823,110,0,15,11,99,95.0
2020-03-20,1030,3,87,86,941,940,130,1,12,13,116,117.0
2020-03-21,1183,4,114,100,1079,1065,153,1,27,14,138,125.0
2020-03-22,1306,10,139,116,1180,1157,123,6,25,16,101,92.0
2020-03-23,1518,14,139,135,1369,1365,212,4,0,19,189,208.0
2020-03-24,1624,16,183,156,1452,1425,106,2,44,21,83,60.0
2020-03-25,1796,20,199,179,1597,1577,172,4,16,23,145,152.0
2020-03-26,2031,23,215,205,1803,1793,235,3,16,26,206,216.0
2020-03-27,2161,26,259,234,1901,1876,130,3,44,29,98,83.0
2020-03-28,2320,27,320,266,2027,1973,159,1,61,32,126,97.0
