,Total Confirmed,Total Deaths,Total Recovered_Old,Total Recovered,Total Active,Total Active_Old,Change in Confirmed,Change in Deaths,Change in Recovered_Old,Change in Recovered,Change in Active,Change in Active_Old
2020-01-22,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-01-23,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-01-24,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-01-25,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-01-26,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-01-27,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-01-28,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-01-29,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-01-30,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-01-31,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-01,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-02,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-03,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-04,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-05,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-06,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-07,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-08,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-09,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-10,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-11,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-12,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-13,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-14,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-15,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-16,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-17,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-18,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-19,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-20,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-21,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-22,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-23,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-24,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-25,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-26,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-27,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-28,1,0,0,0,1,1,1,0,0,0,1,1.0
2020-02-29,1,0,0,0,1,1,0,0,0,0,0,0.0
2020-03-01,1,0,0,0,1,1,0,0,0,0,0,0.0
2020-03-02,1,0,0,0,1,1,0,0,0,0,0,0.0
2020-03-03,1,0,0,0,1,1,0,0,0,0,0,0.0
2020-03-04,1,0,0,0,1,1,0,0,0,0,0,0.0
2020-03-05,1,0,0,0,1,1,0,0,0,0,0,0.0
2020-03-06,1,0,0,0,1,1,0,0,0,0,0,0.0
2020-03-07,1,0,0,0,1,1,0,0,0,0,0,0.0
2020-03-08,1,0,0,0,1,1,0,0,0,0,0,0.0
2020-03-09,2,0,0,0,2,2,1,0,0,0,1,1.0
2020-03-10,2,0,0,0,2,2,0,0,0,0,0,0.0
2020-03-11,2,0,0,0,2,2,0,0,0,0,0,0.0
2020-03-12,2,0,0,0,2,2,0,0,0,0,0,0.0
2020-03-13,2,0,0,0,2,2,0,0,0,0,0,0.0
2020-03-14,2,0,0,0,2,2,0,0,0,0,0,0.0
2020-03-15,2,0,0,0,2,2,0,0,0,0,0,0.0
2020-03-16,2,0,0,0,2,2,0,0,0,0,0,0.0
2020-03-17,3,0,0,0,3,3,1,0,0,0,1,1.0
2020-03-18,8,0,1,0,8,7,5,0,1,0,5,4.0
2020-03-19,8,0,1,0,8,7,0,0,0,0,0,0.0
2020-03-20,13,0,1,0,13,12,5,0,0,0,5,5.0
2020-03-21,23,0,1,0,23,22,10,0,0,0,10,10.0
2020-03-22,32,0,2,0,32,30,9,0,1,0,9,8.0
2020-03-23,43,1,2,0,42,40,11,1,0,0,10,10.0
2020-03-24,47,1,2,0,46,44,4,0,0,0,4,4.0
2020-03-25,58,2,2,0,56,54,11,1,0,0,10,10.0
2020-03-26,75,2,2,0,73,71,17,0,0,0,17,17.0
2020-03-27,80,2,3,0,78,75,5,0,1,0,5,4.0
2020-03-28,99,2,3,0,97,94,19,0,0,0,19,19.0
