,Total Confirmed,Total Deaths,Total Recovered_Old,Total Recovered,Total Active,Total Active_Old,Change in Confirmed,Change in Deaths,Change in Recovered_Old,Change in Recovered,Change in Active,Change in Active_Old
2020-01-22,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-01-23,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-01-24,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-01-25,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-01-26,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-01-27,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-01-28,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-01-29,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-01-30,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-01-31,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-01,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-02,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-03,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-04,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-05,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-06,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-07,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-08,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-09,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-10,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-11,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-12,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-13,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-14,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-15,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-16,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-17,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-18,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-19,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-20,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-21,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-22,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-23,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-24,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-25,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-26,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-27,1,0,0,0,1,1,1,0,0,0,1,1.0
2020-02-28,1,0,0,0,1,1,0,0,0,0,0,0.0
2020-02-29,6,0,0,0,6,6,5,0,0,0,5,5.0
2020-03-01,10,0,0,1,9,10,4,0,0,1,3,4.0
2020-03-02,18,0,0,2,16,18,8,0,0,1,7,8.0
2020-03-03,24,0,0,3,21,24,6,0,0,1,5,6.0
2020-03-04,38,0,0,5,33,38,14,0,0,2,12,14.0
2020-03-05,82,0,0,7,75,82,44,0,0,2,42,44.0
2020-03-06,128,1,0,10,117,127,46,1,0,3,42,45.0
2020-03-07,188,1,0,14,173,187,60,0,0,4,56,60.0
2020-03-08,265,3,0,19,243,262,77,2,0,5,70,75.0
2020-03-09,321,3,0,25,293,318,56,0,0,6,50,56.0
2020-03-10,382,4,0,33,345,378,61,1,0,8,52,60.0
2020-03-11,503,5,0,43,455,498,121,1,0,10,110,120.0
2020-03-12,503,5,0,55,443,498,0,0,0,12,-12,0.0
2020-03-13,806,10,0,69,727,796,303,5,0,14,284,298.0
2020-03-14,962,12,2,86,864,948,156,2,2,17,137,152.0
2020-03-15,1138,20,2,106,1012,1116,176,8,0,20,148,168.0
2020-03-16,1416,24,2,130,1262,1390,278,4,0,24,250,274.0
2020-03-17,1711,43,2,158,1510,1666,295,19,0,28,248,276.0
2020-03-18,2058,58,2,191,1809,1998,347,15,0,33,299,332.0
2020-03-19,2467,77,2,229,2161,2388,409,19,0,38,352,390.0
2020-03-20,3003,107,2,273,2623,2894,536,30,0,44,462,506.0
2020-03-21,3640,137,2,323,3180,3501,637,30,0,50,557,607.0
2020-03-22,4217,180,2,380,3657,4035,577,43,0,57,477,534.0
2020-03-23,4764,214,2,445,4105,4548,547,34,0,65,448,513.0
2020-03-24,5580,277,3,519,4784,5300,816,63,1,74,679,752.0
2020-03-25,6438,357,4,602,5479,6077,858,80,1,83,695,777.0
2020-03-26,7468,435,6,696,6337,7027,1030,78,2,94,858,950.0
2020-03-27,8647,547,6,800,7300,8094,1179,112,0,104,963,1067.0
2020-03-28,9819,640,6,916,8263,9173,1172,93,0,116,963,1079.0
