,Total Confirmed,Total Deaths,Total Recovered_Old,Total Recovered,Total Active,Total Active_Old,Change in Confirmed,Change in Deaths,Change in Recovered_Old,Change in Recovered,Change in Active,Change in Active_Old
2020-01-22,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-01-23,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-01-24,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-01-25,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-01-26,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-01-27,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-01-28,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-01-29,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-01-30,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-01-31,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-01,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-02,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-03,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-04,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-05,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-06,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-07,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-08,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-09,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-10,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-11,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-12,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-13,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-14,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-15,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-16,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-17,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-18,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-19,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-20,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-21,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-22,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-23,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-24,2,0,0,0,2,2,2,0,0,0,2,2.0
2020-02-25,2,0,0,0,2,2,0,0,0,0,0,0.0
2020-02-26,4,0,0,0,4,4,2,0,0,0,2,2.0
2020-02-27,4,0,0,0,4,4,0,0,0,0,0,0.0
2020-02-28,4,0,0,0,4,4,0,0,0,0,0,0.0
2020-02-29,6,0,1,0,6,5,2,0,1,0,2,1.0
2020-03-01,6,0,1,0,6,5,0,0,0,0,0,0.0
2020-03-02,6,0,1,0,6,5,0,0,0,0,0,0.0
2020-03-03,12,0,2,0,12,10,6,0,1,0,6,5.0
2020-03-04,15,0,2,0,15,13,3,0,0,0,3,3.0
2020-03-05,16,0,2,0,16,14,1,0,0,0,1,1.0
2020-03-06,16,0,2,0,16,14,0,0,0,0,0,0.0
2020-03-07,16,0,2,0,16,14,0,0,0,0,0,0.0
2020-03-08,16,0,2,0,16,14,0,0,0,0,0,0.0
2020-03-09,16,0,2,0,16,14,0,0,0,0,0,0.0
2020-03-10,18,0,9,0,18,9,2,0,7,0,2,-5.0
2020-03-11,18,0,9,0,18,9,0,0,0,0,0,0.0
2020-03-12,18,0,9,0,18,9,0,0,0,0,0,0.0
2020-03-13,19,0,9,0,19,10,1,0,0,0,1,1.0
2020-03-14,19,0,9,0,19,10,0,0,0,0,0,0.0
2020-03-15,22,0,9,0,22,13,3,0,0,0,3,3.0
2020-03-16,22,0,9,0,22,13,0,0,0,0,0,0.0
2020-03-17,24,0,9,0,24,15,2,0,0,0,2,2.0
2020-03-18,39,0,12,0,39,27,15,0,3,0,15,12.0
2020-03-19,48,0,12,0,48,36,9,0,0,0,9,9.0
2020-03-20,48,0,12,0,48,36,0,0,0,0,0,0.0
2020-03-21,52,0,12,1,51,40,4,0,0,1,3,4.0
2020-03-22,55,0,17,2,53,38,3,0,5,1,2,-2.0
2020-03-23,66,0,17,3,63,49,11,0,0,1,10,11.0
2020-03-24,84,0,17,4,80,67,18,0,0,1,17,18.0
2020-03-25,99,0,17,5,94,82,15,0,0,1,14,15.0
2020-03-26,109,0,23,6,103,86,10,0,6,1,9,4.0
2020-03-27,131,0,23,7,124,108,22,0,0,1,21,22.0
2020-03-28,152,0,23,8,144,129,21,0,0,1,20,21.0
